Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,18-05-2026,23482.2,23695.65,23317.1,23649.95,6.45,.03,391968426,30029.02,20.45,3.24,1.32
Nifty Next 50,18-05-2026,68832.1,68832.1,67629.05,68618.0,-662.25,-.96,305742528,13691.31,19.02,3.66,1.45
Nifty 100,18-05-2026,24406.15,24578.7,24193.45,24534.25,-37.9,-.15,697710954,43720.34,20.17,3.31,1.35
Nifty 200,18-05-2026,13505.6,13597.15,13379.85,13575.35,-21.0,-.15,2603165619,66787.88,21.93,3.52,1.21
Nifty 500,18-05-2026,22382,22494.1,22150.5,22461.05,-70.1,-.31,3430710965,93692.01,22.67,3.55,1.14
Nifty Midcap 50,18-05-2026,17163.9,17284.4,16981.55,17261.35,-11.8,-.07,365874821,12112,32.64,4.7,.6
NIFTY Midcap 100,18-05-2026,60183.9,60545.15,59457.65,60473.8,-93.35,-.15,1905454665,23067.54,33.97,4.77,.65
NIFTY Smallcap 100,18-05-2026,17777.7,17777.9,17420.8,17656.75,-225.85,-1.26,349368578,16423.06,30.14,3.44,.68
Nifty50 Dividend Points,18-05-2026,-,-,-,21.22,0.0,-,-,-,-,-,-
Nifty Auto,18-05-2026,25909.3,25921.1,25486.4,25624.3,-446.4,-1.71,61887041,4291.74,29.83,4.39,1.24
Nifty Bank,18-05-2026,53282.15,53667.55,52783.45,53537.0,-173.35,-.32,311842492,8918.05,13.52,1.83,1.12
Nifty Energy,18-05-2026,39607.65,39607.65,39144.05,39519.5,-297.35,-.75,515493497,10183.86,15.2,2.44,1.82
Nifty Financial Services,18-05-2026,25087.65,25403.1,24911.45,25349.75,5.9,.02,132444562,11960.24,16.36,2.72,.9
Nifty FMCG,18-05-2026,50973.8,50987.05,50344.1,50900.1,-151.25,-.3,34029506,2443.86,35.69,8.97,1.62
Nifty IT,18-05-2026,27689.6,28466.1,27663.8,28389.8,672.9,2.43,47307823,5177.6,19.32,5.27,3.69
Nifty Media,18-05-2026,1421.6,1424.6,1392.05,1404.0,-32.1,-2.24,43007504,875.44,26.67,1.48,1.25
Nifty Metal,18-05-2026,13157.65,13212.3,12985,13169.95,-130.65,-.98,193776780,6493.73,19.48,3.45,1.57
Nifty MNC,18-05-2026,31620.6,31620.6,31223.4,31573.85,-143.85,-.45,64767868,5947.29,39.15,8.59,1.46
Nifty Pharma,18-05-2026,24617,24788.95,24436.25,24762.85,128.05,.52,29483885,4723.92,38.92,5.4,.64
Nifty PSU Bank,18-05-2026,7949.9,7957.4,7809.15,7873.0,-154.2,-1.92,157999406,3268.05,7.65,1.28,2.46
Nifty Realty,18-05-2026,746.4,754.05,734.9,751.95,-4.35,-.58,10963699,939.29,33.55,3.6,.39
Nifty India Consumption,18-05-2026,11320.45,11340.35,11200.3,11324.85,-57.55,-.51,127228905,12055.41,36.74,7.64,.99
Nifty Commodities,18-05-2026,10136.45,10156.8,10012.35,10138.8,-66.6,-.65,271122625,10432.09,15.89,2.41,1.63
Nifty Dividend Opportunities 50,18-05-2026,5845.5,5852.8,5784,5844.0,-42.5,-.72,546635007,17670.18,13.78,2.79,2.95
Nifty Infrastructure,18-05-2026,9272.05,9320.75,9189.25,9306.95,-20.9,-.22,265202471,12082.22,21.46,3.1,.98
Nifty PSE,18-05-2026,10412.4,10415.1,10232.8,10341.0,-144.85,-1.38,181640983,5338,11,2.07,2.74
Nifty Services Sector,18-05-2026,29466.4,29861.3,29321.1,29801.35,98.4,.33,251496163,20771.1,19.04,3.18,1.41
Nifty50 Shariah,18-05-2026,4287.25,4334.45,4268.25,4326.8,23.4,.54,65428889,7519.36,24.18,4.16,2.2
Nifty500 Shariah,18-05-2026,6773.9,6804.05,6702.05,6795.55,-14.65,-.22,583894612,29326.2,28.3,4.68,1.41
Nifty Low Volatility 50,18-05-2026,24127.8,24254.1,23896.4,24216.75,-51.2,-.21,216610713,23724.03,28.48,4.91,1.26
Nifty Alpha 50,18-05-2026,51569.95,51574.9,50835.45,51400.75,-473.15,-.91,247904278,18472.48,26.54,4.32,.79
Nifty High Beta 50,18-05-2026,4073.75,4081.2,3997.4,4073.9,-36.5,-.89,1759862182,21009.05,30.48,3.75,.88
Nifty100 Equal Weight,18-05-2026,33256.05,33354.4,32833.25,33303.4,-179.25,-.54,697710954,43720.34,21.79,3.68,1.33
Nifty100 Liquid 15,18-05-2026,7064.45,7122.15,6994.1,7108.35,-8.8,-.12,144523275,12302.09,23.59,3.41,.94
Nifty CPSE,18-05-2026,7256.95,7263.2,7164.75,7230.45,-82.65,-1.13,110716273,3198.77,14.61,2.33,2.56
Nifty50 Value 20,18-05-2026,11844.45,11926.9,11784.2,11905.35,-14.5,-.12,167483527,12312.13,15.76,2.74,2.1
Nifty Midcap Liquid 15,18-05-2026,16274.85,16499.15,16151.5,16468.45,59.0,.36,238347420,6957.6,39.54,5.42,.47
Nifty Shariah 25,18-05-2026,7747.75,7798,7671.5,7787.05,3.85,.05,81381668,7614.13,27.13,4.89,1.82
India VIX,18-05-2026,18.79,20.0575,17.72,19.63,0.84,4.47,-,-,-,-,-
Nifty Growth Sectors 15,18-05-2026,10745.4,10827.75,10666.05,10807.85,19.55,.18,38013232,7865.64,28.27,6.92,1.84
Nifty50 TR 1x Inverse,18-05-2026,183.05,184.3,181.4,181.75,0.0,0,-,-,-,-,-
Nifty50 TR 2x Leverage,18-05-2026,17289.75,17606,17045.5,17538.55,2.2,.01,-,-,-,-,-
