Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,18-08-2025,24938.2,25022,24852.85,24876.95,245.65,1,363071305,37637.67,21.86,3.35,1.36
Nifty Next 50,18-08-2025,67396.5,67852.2,67295.95,67399.6,888.0,1.34,189355499,12295.05,21.05,3.67,1.33
Nifty 100,18-08-2025,25544.15,25633.35,25478.5,25492.35,266.1,1.05,552426804,49932.72,21.71,3.4,1.36
Nifty 200,18-08-2025,13875.95,13926.25,13846.15,13852.8,145.1,1.06,1932815678,68391.6,22.87,3.53,1.29
Nifty 500,18-08-2025,22958.3,23040.85,22913.05,22931.5,251.25,1.11,2389678600,87578.2,24.02,3.62,1.2
Nifty Midcap 50,18-08-2025,16092.75,16215.65,16076.75,16136.95,210.8,1.32,936343882,10607.01,36.28,4.87,.85
NIFTY Midcap 100,18-08-2025,57105.9,57451.5,57037.15,57113.15,608.9,1.08,1380388874,18458.88,31.07,4.34,.92
NIFTY Smallcap 100,18-08-2025,17773.15,17827.35,17666.9,17790.4,242.95,1.38,228545564,10173.38,31.7,3.93,.79
Nifty50 Dividend Points,18-08-2025,-,-,-,202.28,0.0,-,-,-,-,-,-
Nifty Auto,18-08-2025,24804.65,25281.95,24782.3,25127.2,1008.4,4.18,131689601,12425.01,25.82,4.59,1.1
Nifty Bank,18-08-2025,55940.6,56156.3,55647.65,55734.9,393.05,.71,101715772,6271.46,15.18,2.09,1.07
Nifty Energy,18-08-2025,34812.7,34822.5,34364.55,34483.2,14.15,.04,365234301,7184.69,15.13,2.4,2.26
Nifty Financial Services,18-08-2025,26670.2,26840.3,26592.8,26609.1,275.65,1.05,95666772,10064.27,17.42,2.77,1
Nifty FMCG,18-08-2025,55379.8,55775.4,55223.9,55304.25,647.95,1.19,61405707,4716.31,41.42,10.51,2.06
Nifty IT,18-08-2025,35152.7,35158.7,34514,34634.95,-198.25,-.57,21934572,3263.72,25.01,6.67,3.12
Nifty Media,18-08-2025,1668.15,1670.65,1647.2,1649.45,-3.7,-.22,16130828,259.64,166.94,1.95,.97
Nifty Metal,18-08-2025,9335,9414.55,9290.75,9387.5,171.25,1.86,110641932,3035.31,18.04,2.49,2.05
Nifty MNC,18-08-2025,28895.5,29242.65,28871.7,29073.45,786.85,2.78,109516931,8696.47,34.3,8.1,1.8
Nifty Pharma,18-08-2025,22243.5,22253.3,22038.7,22141.15,-10.7,-.05,17993633,2677.34,31.92,4.85,.71
Nifty PSU Bank,18-08-2025,7091.45,7100.35,7039.5,7053.8,28.55,.41,71362007,1293.03,7.27,1.14,2.67
Nifty Realty,18-08-2025,890.25,906.95,887.6,898.45,19.1,2.17,10469548,1217.55,43.08,4.34,.28
Nifty India Consumption,18-08-2025,12031.75,12172.55,12027.25,12089.95,250.05,2.11,145506805,21544.08,41.29,8.19,1.08
