Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,27-11-2025,26261.25,26310.45,26141.9,26215.55,10.25,.04,240287057,25306.47,22.82,3.56,1.28
Nifty Next 50,27-11-2025,69349.7,69408.1,68858.45,69069.8,-119.6,-.17,173335095,7015.8,20.11,3.59,1.4
Nifty 100,27-11-2025,26800.95,26833.2,26670.25,26744.35,1.3,0,413622152,32322.27,22.34,3.57,1.3
Nifty 200,27-11-2025,14615.1,14626.05,14541.95,14585.35,2.85,.02,1447063457,46636.87,23.79,3.69,1.21
Nifty 500,27-11-2025,24011.9,24026.25,23879.6,23947.75,-7.45,-.03,1997416096,65385.7,24.46,3.71,1.15
Nifty Midcap 50,27-11-2025,17469.25,17483.75,17374.85,17451.7,27.6,.16,303063865,9305.1,33.91,4.56,.79
NIFTY Midcap 100,27-11-2025,61216.85,61229.8,60866.3,61113.15,51.45,.08,1033441305,14314.6,33.63,4.36,.8
NIFTY Smallcap 100,27-11-2025,18023.25,18029,17837.5,17876.8,-95.05,-.53,236194028,9278.26,32.16,3.86,.74
Nifty50 Dividend Points,27-11-2025,-,-,-,249.14,0.0,-,-,-,-,-,-
Nifty Auto,27-11-2025,27782.9,27832.6,27527.45,27603.65,-92.75,-.33,151747470,5421.29,29.98,4.73,1.14
Nifty Bank,27-11-2025,59605.3,59866.6,59523,59737.3,209.25,.35,137809670,8782.7,16.69,2.25,.98
Nifty Energy,27-11-2025,36049.55,36064.35,35677.65,35756.15,-208.65,-.58,316400691,5859.86,15.22,2.31,2.23
Nifty Financial Services,27-11-2025,27835.05,28055.35,27802.25,27946.2,146.7,.53,109303068,12118.96,18.23,2.91,.93
Nifty FMCG,27-11-2025,55526.4,55638.5,55264.85,55470.55,27.95,.05,22739723,1995.01,40.62,10,2
Nifty IT,27-11-2025,37487.65,37668.55,37208.25,37446.3,81.7,.22,22476589,3878.7,26.52,7.01,2.98
Nifty Media,27-11-2025,1451.6,1464.15,1449.25,1460.2,12.15,.84,19724525,535,58.83,1.51,1.31
Nifty Metal,27-11-2025,10334.4,10379.6,10211.55,10273.75,-6.95,-.07,78068712,2676.7,18.42,2.68,2.02
Nifty MNC,27-11-2025,30386.6,30402.65,30246.65,30338.55,27.8,.09,105741034,4645.73,36.7,8.71,1.63
Nifty Pharma,27-11-2025,22879.35,22948,22812.7,22863.0,0.65,0,15901875,2151.9,33.81,4.95,.67
Nifty PSU Bank,27-11-2025,8581.65,8591,8462.6,8502.1,-49.85,-.58,86022686,2215.33,8.7,1.38,2.21
Nifty Realty,27-11-2025,914.35,916.25,902.9,904.9,-6.55,-.72,5335092,524.41,41.64,4.37,.33
Nifty India Consumption,27-11-2025,12522.85,12530,12416.95,12450.35,-47.55,-.38,84530728,8480.65,40.99,8.4,1.04
Nifty Commodities,27-11-2025,9271.7,9279.7,9182.3,9218.55,-25.3,-.27,124606675,5792.27,16.31,2.2,1.81
Nifty Dividend Opportunities 50,27-11-2025,6279.35,6280.05,6237.85,6261.1,0.85,.01,302834422,11999.71,14.76,2.92,3.06
Nifty Infrastructure,27-11-2025,9723,9729.85,9653.4,9682.0,-16.25,-.17,238262586,9211.02,21.82,3.14,1
Nifty PSE,27-11-2025,9862.85,9872.35,9785.35,9808.0,-32.6,-.33,99492304,2906.84,11.22,1.97,3.06
Nifty Services Sector,27-11-2025,34087.3,34216.65,33993.95,34101.05,83.7,.25,174306678,17508.33,21.83,3.59,1.29
Nifty50 Shariah,27-11-2025,4797.4,4805.2,4765.45,4783.95,-0.25,-.01,44874062,6015.7,25.04,4.63,2.12
Nifty500 Shariah,27-11-2025,7194.55,7195.55,7143.85,7167.35,-8.95,-.12,347803141,20041.8,28.25,4.87,1.44
Nifty Low Volatility 50,27-11-2025,25816.85,25832.5,25651.6,25719.2,-61.6,-.24,132184590,19518.44,32.97,5.38,1.21
Nifty Alpha 50,27-11-2025,52371.1,52395.25,51891.9,52088.15,-99.0,-.19,167693610,13356.12,51.61,6.04,.43
Nifty High Beta 50,27-11-2025,3984.7,3991.2,3953.15,3965.4,-7.25,-.18,970001867,11295.56,22.97,2.75,1.26
Nifty100 Equal Weight,27-11-2025,34052.55,34070.2,33817.85,33909.2,-61.85,-.18,413622152,32322.27,22.67,3.78,1.33
Nifty100 Liquid 15,27-11-2025,7611,7612,7547.2,7562.8,-27.45,-.36,116101937,9552.92,23.29,3.4,.85
Nifty CPSE,27-11-2025,6441,6449.15,6388.6,6399.55,-26.1,-.41,52837392,1351.57,13.4,2.06,3.14
Nifty50 Value 20,27-11-2025,13175.7,13182.4,13093.35,13139.15,4.55,.03,105582476,10669.12,17.09,2.91,2.04
Nifty Midcap Liquid 15,27-11-2025,16666.55,16692.75,16576.3,16679.65,55.55,.33,141392114,3879.04,37.6,4.55,.59
Nifty Shariah 25,27-11-2025,8524.45,8539.7,8471,8501.15,-9.4,-.11,31831189,5696.17,29.67,5.38,1.87
India VIX,27-11-2025,11.9675,12.2425,11.5075,11.79,-0.18,-1.52,-,-,-,-,-
Nifty Growth Sectors 15,27-11-2025,12419.65,12444.95,12339.2,12380.45,-15.25,-.12,26957823,5876.3,32.1,7.39,1.79
Nifty50 TR 1x Inverse,27-11-2025,162.15,162.9,161.85,162.4,-0.05,-.03,-,-,-,-,-
Nifty50 TR 2x Leverage,27-11-2025,22338.3,22421.2,22136.1,22260.75,14.15,.06,-,-,-,-,-
Nifty50 PR 1x Inverse,27-11-2025,198.15,199.05,197.8,198.5,-0.05,-.03,-,-,-,-,-
Nifty50 PR 2x Leverage,27-11-2025,14928.5,14983.9,14793.35,14876.65,9.45,.06,-,-,-,-,-
NIFTY100 Quality 30,27-11-2025,5843.15,5851.65,5801.45,5821.15,-13.6,-.23,77348102,10089.05,29.95,6.95,1.97
Nifty India Corporate Group Index - Mahindra Group,27-11-2025,-,-,-,38901.09,22.86,.06,7781791,1111.28,29.69,4.86,1.27
Nifty India Corporate Group Index - Tata Group,27-11-2025,-,-,-,15925.36,-78.0,-.49,60664182,3349.22,30.29,5.91,2.27
Nifty India Corporate Group Index - Aditya Birla Group,27-11-2025,-,-,-,8704.78,-22.04,-.25,630850674,1604.42,83.66,3,.49
Nifty Conglomerate 50,27-11-2025,-,-,-,14936.38,-8.48,-.06,753944488,12660.64,28.99,3.92,1.02
Nifty India Infrastructure & Logistics,27-11-2025,11566.8,11569.85,11490.45,11511.55,-25.05,-.22,1102886540,13004.34,30.6,4.14,.86
Nifty India FPI 150,27-11-2025,1626.1,1626.9,1616.5,1621.6,-0.7,-.04,617964281,39796.6,24.69,3.91,1.23
Nifty Waves,27-11-2025,1986.05,2000.9,1985.6,1992.1,7.0,.35,26841742,551.64,-,2.33,.67
Nifty500 Healthcare,27-11-2025,19152.8,19165.3,19057.95,19090.0,-30.85,-.16,32556109,3875.37,38.87,5.73,.54
Nifty India Corporate Group Index - Tata Group 25% Cap,27-11-2025,15048.4,15059.45,14898.9,14936.85,-62.4,-.42,41592416,2707.26,31.81,4.86,1.75
Nifty Private Bank,27-11-2025,28735.45,28867.3,28688,28792.05,96.7,.34,165846194,7330.77,20.27,2.22,.53
Nifty Smallcap 250,27-11-2025,16883.15,16890.9,16735.95,16770.05,-59.75,-.36,508071079,17118.5,29.25,3.57,.72
Nifty Smallcap 50,27-11-2025,8792.25,8793.95,8689.3,8712.4,-50.3,-.57,138187434,5034.63,32.32,3.86,.77
Nifty Midcap 150,27-11-2025,22479.6,22483.7,22334.7,22420.1,1.0,0,1075722865,15944.93,33.41,4.47,.8
Nifty Midcap Select,27-11-2025,14044.65,14089.9,13991.85,14075.9,66.6,.48,223314983,6349.24,29.75,4.59,.79
NIFTY LargeMidcap 250,27-11-2025,16966.95,16972.7,16871.7,16926.55,0.8,0,1489345017,48267.2,26.8,3.97,1.05
NIFTY SME EMERGE,27-11-2025,15241.4,15356.25,15240.85,15317.05,105.25,.69,-,-,26.97,4.73,.23
Nifty Oil & Gas,27-11-2025,12234.85,12244.3,12059.85,12118.25,-89.55,-.73,35835297,2270.63,11.46,1.69,2.43
Nifty Financial Services 25/50,27-11-2025,30446.45,30634.35,30405.2,30536.55,138.75,.46,109303068,12118.96,18,3.08,.92
Nifty Healthcare Index,27-11-2025,14986.35,15002.2,14919.85,14949.35,-17.75,-.12,18786894,2575.31,37.51,5.57,.56
Nifty500 Multicap 50:25:25,27-11-2025,16604.55,16610.7,16502.8,16548.9,-13.55,-.08,1997416096,65385.7,26,3.76,1.03
Nifty Microcap 250,27-11-2025,23329.4,23339.9,23097.2,23137.35,-104.15,-.45,505785837,5683.12,28.25,2.88,.77
Nifty Total Market,27-11-2025,13486.6,13494.1,13410.2,13447.75,-6.3,-.05,2503201933,71068.83,24.58,3.67,1.13
Nifty India Digital,27-11-2025,9465.4,9469.1,9388.1,9432.5,3.9,.04,683719569,7502.75,66.45,9,1.56
Nifty Mobility,27-11-2025,23378.7,23383.35,23161.2,23230.05,-83.0,-.36,218168805,8832.99,29.7,4.61,1.04
