Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,21-04-2025,23949.15,24189.55,23903.65,24125.55,273.9,1.15,406145632,33125.62,21.93,3.57,1.28
Nifty Next 50,21-04-2025,64750.35,65496.65,64441.8,65406.2,1150.65,1.79,264574931,11568.97,22.29,4.09,1.39
Nifty 100,21-04-2025,24533.4,24777.45,24475,24725.8,307.45,1.26,670720563,44694.58,21.99,3.65,1.3
Nifty 200,21-04-2025,13249.4,13399.55,13219.2,13378.65,192.55,1.46,2692715615,70270.77,23.34,3.79,1.23
Nifty 500,21-04-2025,21787.05,22033.75,21732.45,22005.75,324.2,1.5,3318620552,91564.24,24.28,3.84,1.17
Nifty Midcap 50,21-04-2025,14910.75,15206.45,14865.95,15191.9,362.65,2.45,1512726597,13754.98,40.92,5.39,.76
NIFTY Midcap 100,21-04-2025,52935.05,54025,52840,53974.45,1316.65,2.5,2021995052,25576.18,33.94,4.75,.84
NIFTY Smallcap 100,21-04-2025,16497.35,16793.85,16442.35,16773.35,363.15,2.21,311044186,11405.75,30.13,4.1,1.04
Nifty50 Dividend Points,21-04-2025,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,21-04-2025,21463.45,21848.15,21272.15,21826.0,452.9,2.12,40671606,3997.75,21.34,4.62,.93
Nifty Bank,21-04-2025,54891.25,55461.65,54674.95,55304.5,1014.3,1.87,267372839,13622.84,14.13,2.36,.94
Nifty Energy,21-04-2025,33968.5,34711.35,33840.1,34640.75,843.25,2.5,508264358,9544.33,16.2,2.55,2.26
Nifty Financial Services,21-04-2025,26341.8,26527.7,26224.65,26435.1,363.5,1.39,147713223,15660.83,17.72,3.06,.82
Nifty FMCG,21-04-2025,56768.35,56789.75,56084.8,56130.2,-544.0,-.96,44003006,2903.11,44.84,10.74,1.96
Nifty IT,21-04-2025,33299.6,34528.55,33283.85,34135.05,762.7,2.29,44704508,6252.36,25.82,7.07,3.03
Nifty Media,21-04-2025,1584.55,1603.8,1569.35,1596.25,15.1,.96,34286870,392.86,-,1.3,.98
Nifty Metal,21-04-2025,8502.75,8674,8469,8653.5,177.0,2.09,106598046,2456.73,20.14,2.51,2.4
Nifty MNC,21-04-2025,26793.45,26917.65,26643.25,26876.9,172.95,.65,26195563,3371.92,34.2,8.66,1.87
Nifty Pharma,21-04-2025,21308.9,21380.4,21078.05,21351.05,224.3,1.06,16796235,2295.84,32.35,5.23,.65
