Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,10-09-2024,24999.4,25130.5,24896.8,25041.1,104.7,.42,251274802,27846.31,23.29,4.15,1.22
Nifty Next 50,10-09-2024,74877.4,75092.2,74535.55,74737.6,164.7,.22,360035296,15811.34,26.56,4.88,1.28
Nifty 100,10-09-2024,26086.5,26214.75,25979.9,26115.2,103.95,.4,611310098,43657.65,24.29,4.28,1.19
Nifty 200,10-09-2024,14190.45,14264.75,14144.25,14213.5,74.5,.53,1643159315,63811.39,26.21,4.4,1.11
Nifty 500,10-09-2024,23591.85,23712.95,23531.65,23643.65,141.5,.6,2226529458,84208.02,27.08,4.48,1.07
Nifty Midcap 50,10-09-2024,16458.8,16617.25,16444.6,16562.85,233.95,1.43,818383635,9941.89,47.65,5.71,.7
NIFTY Midcap 100,10-09-2024,58784.5,59200.1,58754.15,59039.05,691.65,1.19,1031849217,20153.74,44.07,5.12,.67
NIFTY Smallcap 100,10-09-2024,19193.3,19332.15,19192,19317.4,220.0,1.15,286576325,9177.11,30.29,4.35,.8
Nifty50 Dividend Points,10-09-2024,-,-,-,194.25,0.0,-,-,-,-,-,-
Nifty Auto,10-09-2024,25539.5,25627.15,25398.3,25556.45,61.2,.24,31064534,3905.69,25.12,5.8,.86
Nifty Bank,10-09-2024,51328.3,51366,50958.25,51272.3,154.5,.3,119254409,8086,14.88,2.74,.92
Nifty Energy,10-09-2024,41961.95,42386.75,41942.05,42243.4,316.65,.76,126660792,6171.67,15.6,2.69,2.31
Nifty Financial Services,10-09-2024,23806.95,23807.4,23559.2,23649.4,-72.75,-.31,107000775,12159.03,16.84,3.28,.92
Nifty FMCG,10-09-2024,64701.45,64883.9,64348.4,64584.95,119.1,.18,28307751,3167.83,50.74,12.52,1.65
Nifty IT,10-09-2024,42128.3,42937.45,42055.85,42644.2,725.15,1.73,21642487,4939.26,34.85,8.87,1.83
Nifty Media,10-09-2024,2062.1,2115.9,2059.05,2107.35,55.15,2.69,80771981,1099.42,-,2.2,.38
Nifty Metal,10-09-2024,9140.65,9231.75,9100.05,9156.2,57.2,.63,96812615,2761.19,30.31,2.78,2.2
