Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,18-10-2024,24664.95,24886.2,24567.65,24854.05,104.2,.42,290855392,31772.76,23.38,3.72,1.22
Nifty Next 50,18-10-2024,73813.6,74415.9,73085,74288.1,280.9,.38,354110930,13650.37,23.9,3.98,1.42
Nifty 100,18-10-2024,25671.4,25888.85,25547.55,25853.8,88.45,.34,644966322,45423.14,23.93,3.78,1.21
Nifty 200,18-10-2024,13980.65,14099.9,13899.15,14080.5,47.45,.34,1322265835,66128.73,25.88,3.97,1.13
Nifty 500,18-10-2024,23285.65,23471.2,23120.95,23440.7,63.7,.27,1947586692,89960.3,26.94,4.08,1.08
Nifty Midcap 50,18-10-2024,16342.65,16490.35,16181.25,16460.6,61.4,.37,496636033,8244.38,48.86,5.89,.68
NIFTY Midcap 100,18-10-2024,58222.65,58752.7,57575.3,58649.15,183.2,.31,677299513,20705.6,43.37,5.37,.72
NIFTY Smallcap 100,18-10-2024,18957.75,19102.65,18645.4,19077.8,11.85,.06,356753186,14330,36.03,4.3,.95
Nifty50 Dividend Points,18-10-2024,-,-,-,196.53,0.0,-,-,-,-,-,-
Nifty Auto,18-10-2024,24907.95,25247.8,24699.35,25146.9,155.7,.62,42828763,5847.49,24.76,5.16,.87
Nifty Bank,18-10-2024,51261,52199.45,51000.9,52094.2,805.4,1.57,139076902,9097.47,14.62,2.34,.95
Nifty Energy,18-10-2024,40925.5,41294.1,40538.75,41205.55,222.55,.54,76806806,4131.88,15.01,2.33,2.26
Nifty Financial Services,18-10-2024,23550.8,23987.5,23428.9,23938.1,354.35,1.5,85970527,11111.36,17.19,2.89,.9
Nifty FMCG,18-10-2024,61372.5,61409.4,60453.2,61042.1,-310.65,-.51,38267364,3084.91,48.77,11.88,1.72
Nifty IT,18-10-2024,42216.9,42579.75,41838,42106.5,-627.8,-1.47,58536881,7395.86,34.32,8.67,1.93
Nifty Media,18-10-2024,2011,2050.4,1986.4,2042.2,27.8,1.38,60145884,869.88,-,2.39,.39
Nifty Metal,18-10-2024,9579.15,9780,9484.2,9753.9,150.6,1.57,132863255,3843.95,32.07,2.79,2.17
Nifty MNC,18-10-2024,30916.2,31040.1,30528.2,31006.0,31.75,.1,29672241,3861.97,46.41,9.88,1.76
Nifty Pharma,18-10-2024,23249.25,23426.55,23075.5,23356.2,102.2,.44,16426028,2205.8,38.92,5.67,.57
Nifty PSU Bank,18-10-2024,6573.35,6693.35,6513.55,6671.25,86.3,1.31,114080606,2018.12,8.09,1.29,2.23
Nifty Realty,18-10-2024,1038.95,1051.05,1023.35,1047.3,3.15,.3,7067643,1022.36,54.4,5.96,.36
Nifty India Consumption,18-10-2024,12030.05,12053.4,11930.4,12026.9,-39.3,-.33,178471216,13814.06,49.29,9.43,.9
Nifty Commodities,18-10-2024,9176.05,9300.65,9094.4,9287.65,101.6,1.11,211706904,8600.15,19.71,2.48,2.03
Nifty Dividend Opportunities 50,18-10-2024,6658.2,6701.4,6613.7,6689.7,-10.9,-.16,479074849,22483.35,18.95,3.57,2.56
Nifty Infrastructure,18-10-2024,9128.8,9203.75,9049.25,9182.0,47.5,.52,129249823,8720.48,24.48,3.22,1.16
Nifty PSE,18-10-2024,10690.65,10801.1,10562.5,10783.8,67.15,.63,203667586,5653.67,12.72,2.39,3.02
Nifty Services Sector,18-10-2024,31952.25,32291.8,31901.55,32240.25,107.75,.34,296357937,22991.72,22.78,3.74,1.15
Nifty50 Shariah,18-10-2024,-,-,-,5407.52,-4.69,-.09,43639655,5955.75,27.97,6.37,1.84
Nifty500 Shariah,18-10-2024,-,-,-,7942.08,-10.19,-.13,378914747,26946.42,34.43,6.23,1.25
Nifty Low Volatility 50,18-10-2024,-,-,-,25224.68,52.95,.21,180430644,25880.93,36.66,5.86,.95
Nifty Alpha 50,18-10-2024,58529.5,59012,57689.3,58927.15,60.5,.1,337579975,17141.08,40.66,6.54,.68
Nifty High Beta 50,18-10-2024,-,-,-,3912.09,20.56,.53,793236659,13004.16,22.27,2.33,1.32
Nifty100 Equal Weight,18-10-2024,33611.6,33874.3,33348.85,33822.45,137.9,.41,644966322,45423.14,24.55,3.9,1.21
Nifty100 Liquid 15,18-10-2024,6762.05,6821.65,6709.7,6809.45,41.3,.61,96284065,8994.13,20.69,3.16,1.07
Nifty CPSE,18-10-2024,6865.15,6941.3,6799.55,6928.3,51.85,.75,105865560,2559.73,14.04,2.61,2.87
Nifty50 Value 20,18-10-2024,13974.05,14102.65,13953.35,14079.4,3.55,.03,185002551,14377.41,20.84,3.72,2.02
Nifty Midcap Liquid 15,18-10-2024,14268.4,14427.05,14125.75,14395.55,50.45,.35,41838292,3429.7,38.4,4.53,.5
Nifty Shariah 25,18-10-2024,-,-,-,9036.78,-8.04,-.09,51019472,6887.76,29.7,6.11,1.7
India VIX,18-10-2024,13.3875,14.06,12.8675,13.04,-0.35,-2.61,-,-,-,-,-
Nifty Growth Sectors 15,18-10-2024,12235,12269.9,12181.7,12248.1,-76.35,-.62,102621703,11013.44,30.06,7.54,1.69
Nifty50 TR 1x Inverse,18-10-2024,166.75,167.4,165.25,165.5,-0.65,-.39,-,-,-,-,-
Nifty50 TR 2x Leverage,18-10-2024,20798.65,21172.5,20635.15,21118.65,176.45,.84,-,-,-,-,-
Nifty50 PR 1x Inverse,18-10-2024,200.95,201.75,199.15,199.4,-0.85,-.42,-,-,-,-,-
Nifty50 PR 2x Leverage,18-10-2024,14290.5,14547.45,14178.15,14510.45,118.65,.82,-,-,-,-,-
NIFTY100 Quality 30,18-10-2024,5985.5,5996.1,5949.8,5983.65,-25.55,-.43,125532521,16626.93,34.29,8.99,1.65
Nifty Top 15 Equal Weight,18-10-2024,-,-,-,9940.9,32.84,.33,112552992,17159.97,23.09,3.95,1.11
NIFTY100 ESG,18-10-2024,4961.35,4998.6,4942.4,4990.7,9.45,.19,523842301,41138.1,25.21,4.39,1.17
NIFTY100 Enhanced ESG,18-10-2024,-,-,-,5028.44,9.27,.18,523240557,40999.33,25.2,4.39,1.18
Nifty500 Equal Weight,18-10-2024,-,-,-,14847.4,5.38,.04,1947586692,89960.3,32.34,4.42,.89
NIFTY50 Equal Weight,18-10-2024,31683.75,31964.45,31497.3,31912.9,171.35,.54,290855392,31772.76,24.49,3.98,1.29
Nifty 50 Futures Index,18-10-2024,-,-,-,6893.53,29.11,.42,-,-,-,-,-
Nifty 50 Arbitrage,18-10-2024,-,-,-,2380.06,0.23,.01,-,-,-,-,-
Nifty 50 Futures TR Index,18-10-2024,-,-,-,26803.67,118.34,.44,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,18-10-2024,-,-,-,34026.77,-8.0,-.02,10367104,1655.15,34.69,4.7,1.26
Nifty India Corporate Group Index - Aditya Birla Group,18-10-2024,-,-,-,8278.41,121.48,1.49,285848345,1614.57,524.28,3.77,.5
Nifty India Corporate Group Index - Tata Group,18-10-2024,-,-,-,19323.43,119.47,.62,80125106,5457.33,37.38,8.45,1.28
Nifty India Corporate Group Index - Tata Group 25% Cap,18-10-2024,17411.15,17609.55,17308.4,17561.25,128.75,.74,66435880,4533.45,38.97,6.78,1.01
Nifty Private Bank,18-10-2024,25572.05,26043.3,25447.4,25984.1,483.7,1.9,95432612,7769.2,15.77,2.41,.58
Nifty Smallcap 250,18-10-2024,18151.25,18261.85,17848.75,18236.8,-7.5,-.04,605342970,21463.94,33.37,4.36,.84
Nifty Smallcap 50,18-10-2024,9114.65,9193.45,8968.35,9177.7,6.95,.08,259716859,9862.54,33.35,3.9,.79
Nifty MidSmallcap 400,18-10-2024,20432.65,20570.1,20164.1,20545.8,19.35,.09,1302620370,44537.17,39.52,5.12,.75
Nifty Midcap 150,18-10-2024,21625.75,21785.35,21384,21755.65,37.15,.17,697277400,23073.23,44.13,5.68,.7
Nifty IPO,18-10-2024,-,-,-,2282.61,4.05,.18,101120614,2835.25,59.59,9.9,.15
Nifty Midcap Select,18-10-2024,12935.2,13064.1,12809.55,13033.8,41.7,.32,324175264,4637.62,63.09,6.15,.81
NIFTY LargeMidcap 250,18-10-2024,16267.25,16395.5,16137.4,16373.8,41.8,.26,1342243722,68496.36,31.15,4.55,.95
NIFTY SME EMERGE,18-10-2024,-,-,-,16221.4,98.01,.61,-,-,118.75,11.15,.06
Nifty Oil & Gas,18-10-2024,12076.5,12135.55,11920.75,12104.25,-24.35,-.2,92373500,5228.63,11.9,1.84,2.86
Nifty Financial Services 25/50,18-10-2024,25969.15,26452.7,25799.35,26396.15,385.65,1.48,85970527,11111.36,17.66,3.08,.91
Nifty Healthcare Index,18-10-2024,14640.25,14745.75,14539.75,14699.95,64.25,.44,17147531,2375.41,43.86,6.19,.51
Nifty500 Multicap 50:25:25,18-10-2024,16349.25,16471.65,16197.55,16451.05,33.4,.2,1947586692,89960.3,29.37,4.28,.99
Nifty Microcap 250,18-10-2024,25499.2,25575.65,25022.1,25541.5,-70.1,-.27,212912623,5072.61,36.55,3.72,.49
Nifty Total Market,18-10-2024,13136.3,13238.25,13037.9,13221.3,33.2,.25,2160499315,95032.91,27.21,4.07,1.06
Nifty India Digital,18-10-2024,9365.2,9420.25,9331.35,9390.05,-52.2,-.55,467817557,13170.14,1637.73,17.88,1.03
Nifty Mobility,18-10-2024,-,-,-,21524.03,11.32,.05,224810774,12819.71,27.56,5.42,.92
Nifty India Defence,18-10-2024,-,-,-,6679.02,56.8,.86,26978742,5832.64,54.02,13.14,.49
Nifty Financial Services Ex-Bank,18-10-2024,-,-,-,26724.0,157.39,.59,160080935,8603.54,23.78,3.38,.79
Nifty Housing,18-10-2024,-,-,-,11769.97,102.99,.88,393174264,19265.29,27.27,3.34,.87
Nifty Transportation & Logistics,18-10-2024,-,-,-,24172.64,-1.67,-.01,170929878,9792.4,30.9,6.18,.67
Nifty MidSmall Financial Services,18-10-2024,-,-,-,15956.94,123.96,.78,243434614,8208.02,24.56,2.9,.61
Nifty MidSmall Healthcare,18-10-2024,42071.7,42340.1,41719.05,42280.1,121.85,.29,20179825,1721.25,53.75,6.15,.82
Nifty MidSmall IT & Telecom,18-10-2024,-,-,-,10939.61,-28.13,-.26,304054742,2455.21,1325.86,38.85,.84
Nifty MidSmall India Consumption,18-10-2024,-,-,-,20027.62,102.5,.51,68048541,3840.73,68.33,9.69,.49
Nifty REITs & InvITs,18-10-2024,-,-,-,1160.21,5.32,.46,1463496,23.92,30.55,1.86,7.18
Nifty Core Housing,18-10-2024,-,-,-,17037.08,57.2,.34,39240647,5724.23,40.3,4.34,.63
Nifty500 Multicap Infrastructure 50:30:20,18-10-2024,14384.35,14461.6,14216.35,14439.5,23.5,.16,607568312,14502.45,30.68,4.12,1.12
Nifty Rural,18-10-2024,-,-,-,15333.98,70.42,.46,538881703,18770.04,30.42,4.62,1.06
Nifty Capital Markets,18-10-2024,-,-,-,3801.28,27.19,.72,43553739,7798.33,49.78,14.35,.9
Nifty Consumer Durables,18-10-2024,41833.6,42350.15,41212.4,42121.9,135.85,.32,19330720,2768.89,89.28,13.36,.35
Nifty Non-Cyclical Consumer,18-10-2024,-,-,-,16962.95,-76.76,-.45,213381859,10981.94,67.75,13.19,.85
Nifty500 Multicap India Manufacturing 50:30:20,18-10-2024,15394.3,15590.2,15264,15565.55,113.4,.73,205589543,17420.58,34.09,4.19,.77
Nifty EV & New Age Automotive,18-10-2024,-,-,-,3311.96,-1.58,-.05,65604571,8894.55,35.53,5.92,.67
Nifty500 LargeMidSmall Equal-Cap Weighted,18-10-2024,-,-,-,18245.13,28.57,.16,1947586692,89960.3,31.77,4.47,.92
Nifty India Tourism,18-10-2024,-,-,-,8638.8,14.29,.17,36045920,907.27,63.23,18.71,.18
Nifty200 Alpha 30,18-10-2024,27969.4,28262.1,27711,28210.95,171.0,.61,113290654,9693.36,25.47,5.72,1.25
NIFTY100 Alpha 30,18-10-2024,-,-,-,20207.56,30.74,.15,257914476,12772.66,24.64,5.5,1.47
NIFTY500 Value 50,18-10-2024,-,-,-,14916.52,140.91,.95,473672097,11302.38,12.37,1.68,3.15
Nifty100 Low Volatility 30,18-10-2024,20304.6,20392.05,20204.45,20340.0,-4.55,-.02,132018248,20100.54,34.2,6.28,1.04
NIFTY Alpha Low-Volatility 30,18-10-2024,29485.95,29693.15,29215.4,29649.05,181.75,.62,124453165,16007.09,28.7,4.66,.93
NIFTY Quality Low-Volatility 30,18-10-2024,-,-,-,18274.71,-53.39,-.29,116521939,16363.86,35,8.49,1.36
NIFTY Alpha Quality Low-Volatility 30,18-10-2024,-,-,-,24557.97,32.96,.13,71867599,11553.83,32.39,8.47,1.42
NIFTY Alpha Quality Value Low-Volatility 30,18-10-2024,-,-,-,21879.95,6.6,.03,155640919,15609.48,22.38,5.22,1.91
NIFTY200 Quality 30,18-10-2024,22424.55,22431.2,22234.05,22336.7,-191.25,-.85,93426939,12640.03,36.4,11.03,1.72
NIFTY Midcap150 Quality 50,18-10-2024,25468.85,25612.15,25219.8,25569.0,-43.9,-.17,49518557,5864.62,41.02,9.79,1.13
Nifty200 Momentum 30,18-10-2024,36301.5,36708.2,35910.75,36643.4,271.25,.75,150103217,11301.77,23.74,4.89,1.39
Nifty India Manufacturing,18-10-2024,14891.95,15066.35,14760.3,15034.3,103.25,.69,241546632,23224.28,32.92,4.8,1.08
Nifty100 ESG Sector Leaders,18-10-2024,4126.35,4165.45,4113.95,4158.65,13.9,.34,367829224,33173.75,27.34,4.16,1
Nifty Midcap150 Momentum 50,18-10-2024,65708.95,66390.05,64914.5,66258.3,205.8,.31,204846045,14956.95,35.9,5.42,.82
Nifty Smallcap250 Quality 50,18-10-2024,-,-,-,30241.24,-97.59,-.32,97813811,6239.55,29.12,5.22,1.11
Nifty Smallcap250 Momentum Quality 100,18-10-2024,-,-,-,52875.08,-11.63,-.02,282423480,12839.64,29.11,4.8,.94
Nifty MidSmallcap400 Momentum Quality 100,18-10-2024,-,-,-,54118.91,24.66,.05,244920213,15597.8,34.4,6.32,.92
Nifty500 Momentum 50,18-10-2024,-,-,-,62596.43,296.72,.48,296892942,19941.9,30.55,5.41,.74
Nifty200 Value 30,18-10-2024,-,-,-,13793.48,138.23,1.01,272582325,8991.76,12.3,1.75,3.13
Nifty Top 10 Equal Weight,18-10-2024,-,-,-,9555.15,45.03,.47,95051466,13762.66,23.55,3.96,1.11
Nifty500 Multicap Momentum Quality 50,18-10-2024,-,-,-,48282.06,120.32,.25,119288845,12016.69,23.44,5.7,1.41
Nifty 8-13 yr G-Sec,18-10-2024,2729.98,2729.98,2725.34,2725.34,-4.12,-.15,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,18-10-2024,2949.77,2949.77,2946.41,2946.41,-2.81,-.1,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,18-10-2024,3027.61,3027.61,3022.56,3022.56,-4.47,-.15,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,18-10-2024,3365.15,3365.15,3355.98,3356.12,-8.4,-.25,-,-,-,-,-
Nifty Composite G-sec Index,18-10-2024,2829.12,2829.12,2824.1,2824.1,-4.49,-.16,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,18-10-2024,2415.76,2415.76,2412.18,2412.18,-3.13,-.13,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),18-10-2024,890.89,890.89,889.57,889.57,-1.33,-.15,-,-,-,-,-
Nifty 1D Rate Index,18-10-2024,-,-,-,2342.07,0.41,.02,-,-,-,-,-
Nifty50 USD,18-10-2024,-,-,-,10243.45,42.78,.42,-,-,-,-,-
