Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,16-08-2024,24334.85,24563.9,24204.5,24541.15,397.4,1.65,271611087,28521.9,22.8,4.14,1.24
Nifty Next 50,16-08-2024,72208.55,73001.85,71885.2,72943.2,1300.8,1.82,302678541,15577.56,25.94,4.96,1.14
Nifty 100,16-08-2024,25355.8,25599.45,25221.25,25578.5,417.85,1.66,576350433,44252.78,23.66,4.29,1.19
Nifty 200,16-08-2024,13787.2,13925.8,13720.9,13914.7,233.85,1.71,1466141921,64316.04,25.54,4.39,1.11
Nifty 500,16-08-2024,22846.1,23071.75,22750.3,23056.5,383.85,1.69,2045485207,87751.98,26.31,4.46,1.07
Nifty Midcap 50,16-08-2024,16059.95,16258.1,16002,16246.25,323.3,2.03,706795181,10683.14,47,5.6,.73
NIFTY Midcap 100,16-08-2024,56991.75,57699.75,56861.2,57656.0,1108.95,1.96,889791488,20063.27,43.12,5.05,.7
NIFTY Smallcap 100,16-08-2024,18249.8,18450.55,18234.9,18436.85,349.35,1.93,352435581,13046.67,28.92,4.28,.87
Nifty50 Dividend Points,16-08-2024,-,-,-,184.39,0.0,-,-,-,-,-,-
Nifty Auto,16-08-2024,25344.8,25635.45,25261.75,25597.35,503.85,2.01,50265712,5406.35,23.66,5.6,.87
Nifty Bank,16-08-2024,50133,50603.4,49806.05,50516.9,789.6,1.59,130691206,7551.7,14.66,2.81,.91
Nifty Energy,16-08-2024,42516.9,42807.6,42244.55,42762.7,463.75,1.1,86645656,4591.14,15.72,2.72,2.29
Nifty Financial Services,16-08-2024,22774.4,22997.1,22617.95,22976.2,384.5,1.7,82361443,9111.4,16.37,3.35,.93
Nifty FMCG,16-08-2024,61450,62303.45,61315.6,62213.0,907.7,1.48,29796243,2985.15,48.84,12.1,1.72
Nifty IT,16-08-2024,40287.3,40927.15,40063.9,40878.25,1147.0,2.89,33744575,6075.72,33.41,8.5,1.9
Nifty Media,16-08-2024,2036.25,2067.65,2035.7,2059.65,42.25,2.09,34268755,540.11,-,2.17,.41
Nifty Metal,16-08-2024,8938.7,9009.7,8871.75,8994.1,149.8,1.69,162387499,4761.38,29.96,2.76,1.68
Nifty MNC,16-08-2024,30274.8,30622.95,30200.9,30587.35,489.75,1.63,32335027,5023.47,46.17,10.52,1.43
Nifty Pharma,16-08-2024,22127.6,22152.9,21933.7,22106.5,93.8,.43,28790755,4419.85,36.91,5.91,.62
Nifty PSU Bank,16-08-2024,6800.2,6851.1,6797.75,6843.8,69.3,1.02,108969255,2043.88,8.36,1.33,2.16
Nifty Realty,16-08-2024,1033.55,1051.95,1031.1,1048.65,25.5,2.49,13917023,1593.88,57.17,6.23,.38
Nifty India Consumption,16-08-2024,11706.05,11831.1,11662.65,11816.45,175.35,1.51,109870977,11438.9,51.63,9.55,.97
Nifty Commodities,16-08-2024,9133.6,9222.05,9078.45,9209.95,144.75,1.6,193263075,9167.37,19.68,2.69,1.87
Nifty Dividend Opportunities 50,16-08-2024,6610.5,6692.1,6597.15,6685.25,129.25,1.97,426646747,18038.44,19.1,3.82,2.45
Nifty Infrastructure,16-08-2024,9081.7,9167.25,9031.65,9157.9,132.05,1.46,136188892,10442.12,24.28,3.57,1.19
Nifty PSE,16-08-2024,11074.45,11197.05,11001.9,11184.65,207.7,1.89,216687761,7902.93,13.07,2.86,2.93
