Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,11-09-2024,25034,25113.7,24885.15,24918.45,-122.65,-.49,279229206,29395.73,23.17,4.11,1.22
Nifty Next 50,11-09-2024,74882.65,75132.2,74176.7,74355.25,-382.35,-.51,384194436,16034.64,26.42,4.76,1.29
Nifty 100,11-09-2024,26118.8,26204.1,25950.05,25987.8,-127.4,-.49,663423642,45430.37,24.17,4.23,1.2
Nifty 200,11-09-2024,14222.95,14269.4,14130.2,14151.5,-62.0,-.44,1731749109,64618.27,26.1,4.36,1.11
Nifty 500,11-09-2024,23665.1,23723.05,23498.15,23531.25,-112.4,-.48,2309011533,86084.68,26.96,4.43,1.07
Nifty Midcap 50,11-09-2024,16634.8,16713.1,16506.1,16545.85,-17.0,-.1,891260731,10254.96,47.61,5.7,.7
NIFTY Midcap 100,11-09-2024,59238.4,59479.5,58812.95,58938.05,-101.0,-.17,1068325467,19187.9,43.99,5.11,.66
NIFTY Smallcap 100,11-09-2024,19363,19417.35,19140.05,19161.85,-155.55,-.81,292622513,11399.23,30.05,4.16,.81
Nifty50 Dividend Points,11-09-2024,-,-,-,194.25,0.0,-,-,-,-,-,-
Nifty Auto,11-09-2024,25406.4,25456.8,25191,25240.6,-315.85,-1.24,72547549,7848.68,24.81,5.7,.87
Nifty Bank,11-09-2024,51218.55,51420.15,50947.7,51010.0,-262.3,-.51,145073630,7944.87,14.8,2.69,.92
Nifty Energy,11-09-2024,42354.75,42374.6,41498.35,41626.25,-617.15,-1.46,142726733,5877.19,15.37,2.66,2.34
Nifty Financial Services,11-09-2024,23625.7,23725.35,23542.4,23582.5,-66.9,-.28,92497878,9702.66,16.8,3.22,.92
Nifty FMCG,11-09-2024,64654,65344.6,64481.6,64768.15,183.2,.28,33959784,3679.13,50.89,12.61,1.65
Nifty IT,11-09-2024,42710.15,42984.2,42406.15,42473.25,-170.95,-.4,15886049,3267.09,34.71,8.83,1.83
Nifty Media,11-09-2024,2113.65,2115.1,2071.8,2075.7,-31.65,-1.5,39549572,598.96,-,2.31,.39
Nifty Metal,11-09-2024,9160.05,9169.7,9010.25,9028.2,-128.0,-1.4,75605123,2399.23,29.89,2.74,2.24
Nifty MNC,11-09-2024,31121.45,31258.05,30928.05,30974.15,-85.4,-.27,29732238,4073.17,46.65,10.5,1.74
Nifty Pharma,11-09-2024,23293.15,23463.1,23175.75,23220.4,-36.45,-.16,27832371,3223.57,38.77,6.11,.58
Nifty PSU Bank,11-09-2024,6636.3,6673.1,6503.3,6522.05,-116.3,-1.75,109377171,2702.23,7.96,1.27,2.26
Nifty Realty,11-09-2024,1038.75,1039.95,1024.3,1026.65,-12.1,-1.16,5520419,795.73,55.82,5.99,.39
Nifty India Consumption,11-09-2024,12276.05,12390.2,12260,12287.55,27.55,.22,197293068,14613.83,53.79,9.93,.93
Nifty Commodities,11-09-2024,9317.4,9321.85,9138.65,9162.2,-133.8,-1.44,211359138,9064.69,19.61,2.68,2.04
Nifty Dividend Opportunities 50,11-09-2024,6794.8,6812.75,6729.45,6741.55,-41.55,-.61,389003138,17595.35,19.24,3.77,2.49
Nifty Infrastructure,11-09-2024,9251.85,9258.8,9125.95,9147.1,-88.7,-.96,190728086,10864.51,24.26,3.53,1.22
Nifty PSE,11-09-2024,10960.45,10961.8,10714,10750.1,-179.4,-1.64,237091468,7962.11,12.56,2.64,3.02
Nifty Services Sector,11-09-2024,32080.15,32208.05,31922.25,31962.25,-107.65,-.34,288391370,19264.5,22.6,4.16,1.14
Nifty50 Shariah,11-09-2024,-,-,-,5585.71,-14.55,-.26,70315846,6695.18,29.6,7.07,1.73
Nifty500 Shariah,11-09-2024,-,-,-,8069.26,-21.22,-.26,375408637,27576.63,37.51,7.06,1.09
Nifty Low Volatility 50,11-09-2024,-,-,-,25712.19,-47.79,-.19,177126822,22141.88,33.9,5.85,1.02
Nifty Alpha 50,11-09-2024,59095.85,59393.45,58762.75,58857.5,-97.9,-.17,448632513,16068.5,30.58,5.03,.71
Nifty High Beta 50,11-09-2024,-,-,-,3987.94,-66.95,-1.65,860750604,12206.63,20.21,2.09,1.47
Nifty100 Equal Weight,11-09-2024,34425.5,34524.7,34157.45,34221.95,-169.05,-.49,663423642,45430.37,26.32,4.56,1.17
Nifty100 Liquid 15,11-09-2024,6811.4,6834.85,6755.6,6767.4,-59.85,-.88,114092114,11731.86,20.94,3.39,.87
Nifty CPSE,11-09-2024,7000.5,7000.5,6863.35,6886.5,-97.85,-1.4,140206788,4377.73,14.1,2.86,2.87
Nifty50 Value 20,11-09-2024,14169.05,14220.9,14078.45,14097.5,-66.8,-.47,170142289,12132.08,20.91,3.9,2
Nifty Midcap Liquid 15,11-09-2024,14150.05,14236.25,14045,14078.85,-30.2,-.21,67714215,3469.02,40.12,4.85,.62
Nifty Shariah 25,11-09-2024,-,-,-,9266.33,-20.04,-.22,110907225,8532.03,30.52,6.76,1.65
India VIX,11-09-2024,13.36,13.765,11.325,13.63,0.27,2,-,-,-,-,-
Nifty Growth Sectors 15,11-09-2024,12775.95,12862.65,12723.6,12742.25,-21.6,-.17,44618463,6007.86,35.31,9.3,1.73
Nifty50 TR 1x Inverse,11-09-2024,163.5,164.5,163,164.25,0.8,.49,-,-,-,-,-
Nifty50 TR 2x Leverage,11-09-2024,21601.85,21739.15,21345.5,21402.3,-215.55,-1,-,-,-,-,-
Nifty50 PR 1x Inverse,11-09-2024,197.05,198.2,196.4,197.95,1.0,.51,-,-,-,-,-
Nifty50 PR 2x Leverage,11-09-2024,14845.1,14939.5,14668.95,14708.0,-148.15,-1,-,-,-,-,-
NIFTY100 Quality 30,11-09-2024,6156.45,6195.95,6140.5,6150.55,4.15,.07,96971540,13335.81,35.21,10.24,1.59
Nifty REITs & InvITs,11-09-2024,-,-,-,1139.12,2.23,.2,4776412,61.33,30.54,1.82,7.24
Nifty Core Housing,11-09-2024,-,-,-,17326.2,-5.95,-.03,32924122,4857.72,40.47,4.6,.63
Nifty500 Multicap Infrastructure 50:30:20,11-09-2024,14708.55,14711.95,14484.35,14513.95,-149.9,-1.02,640735415,13587.3,30.1,4.15,1.05
Nifty Rural,11-09-2024,-,-,-,15514.08,-70.44,-.45,645740301,23240.38,30.67,4.76,1.05
Nifty Consumer Durables,11-09-2024,42144.6,42362.05,41956.05,42133.6,43.2,.1,14910022,2319.89,89.19,13.32,.35
Nifty Non-Cyclical Consumer,11-09-2024,-,-,-,17611.17,73.49,.42,193957462,13126,70.09,14,.83
Nifty500 Multicap India Manufacturing 50:30:20,11-09-2024,15597,15633.6,15454.55,15485.2,-111.05,-.71,231869443,19130.1,34.37,4.46,.78
