Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,04-05-2026,24063.55,24290.2,24004.75,24119.3,121.75,.51,419069793,35790.21,21.03,3.3,1.29
Nifty Next 50,04-05-2026,69976.55,70834.05,69958.2,70283.85,639.95,.92,346961818,17331.97,19.75,3.75,1.42
Nifty 100,04-05-2026,24973.7,25191.7,24924.45,25041.1,145.1,.58,766031611,53122.18,20.78,3.38,1.32
Nifty 200,04-05-2026,13760,13867.15,13718.85,13786.6,81.05,.59,2551003194,77884.23,22.59,3.58,1.19
Nifty 500,04-05-2026,22783.8,22954.3,22709.75,22830.75,147.2,.65,3870341196,114797.73,23.33,3.61,1.13
Nifty Midcap 50,04-05-2026,17002.5,17098.65,16876.45,16984.9,102.4,.61,445999527,15437.24,34.08,4.63,.63
NIFTY Midcap 100,04-05-2026,60235.5,60563.95,59787.6,60159.75,374.9,.63,1784971583,24762.05,35.51,4.75,.68
NIFTY Smallcap 100,04-05-2026,18147.6,18232.6,17996.65,18132.5,125.35,.7,626365354,20558.31,30.3,3.54,.66
Nifty50 Dividend Points,04-05-2026,-,-,-,5.53,0.0,-,-,-,-,-,-
Nifty Auto,04-05-2026,26133.5,26496.65,25810.1,26027.7,110.1,.42,65470409,5842.68,30.84,4.46,1.22
Nifty Bank,04-05-2026,54937.9,55602.3,54723.5,54878.5,15.15,.03,282611679,10905.29,13.88,1.87,1.07
Nifty Energy,04-05-2026,40936.7,41302.5,40795.45,40970.05,198.15,.49,737497205,17890.82,16.85,2.64,1.65
Nifty Financial Services,04-05-2026,25664.75,26022.9,25659.65,25814.4,157.05,.61,201057722,15067.59,16.7,2.77,.89
Nifty FMCG,04-05-2026,51383,51972.9,51129.2,51266.0,193.9,.38,37962751,2751.05,36.22,9.03,1.61
Nifty IT,04-05-2026,29606.5,29664.5,28955.6,29076.1,-277.8,-.95,27080739,3317.81,19.94,5.39,3.7
Nifty Media,04-05-2026,1462.6,1467,1432.3,1448.1,-7.9,-.54,17648450,331.48,30.41,1.53,1.21
Nifty Metal,04-05-2026,12911.15,13025.75,12897.8,12972.7,139.65,1.09,191625398,7926.43,22.53,3.4,1.57
Nifty MNC,04-05-2026,32116.55,32463.8,32069.7,32246.75,360.15,1.13,137348727,8217.31,40.17,8.78,1.49
Nifty Pharma,04-05-2026,23371.3,23548.95,23296.1,23475.55,207.85,.89,21561373,3108.89,35.2,5.12,.67
Nifty PSU Bank,04-05-2026,8495.5,8637.95,8441,8455.8,-26.8,-.32,112321851,2640.9,8.27,1.37,2.31
Nifty Realty,04-05-2026,800.45,819.95,800.45,812.7,19.15,2.41,14471731,1464.91,37.76,3.89,.36
Nifty India Consumption,04-05-2026,11474.1,11568.8,11384.9,11444.25,26.95,.24,178449687,14139.89,37.79,7.72,.98
Nifty Commodities,04-05-2026,10285.15,10370.65,10266.95,10321.25,83.15,.81,338894702,15438.16,17.2,2.45,1.6
Nifty Dividend Opportunities 50,04-05-2026,6088,6133.65,6037.4,6059.6,3.2,.05,463931952,17176.99,14.43,2.89,2.84
Nifty Infrastructure,04-05-2026,9444.85,9521.2,9436.1,9470.95,51.6,.55,292696408,15351.15,21.81,3.16,.97
Nifty PSE,04-05-2026,10649,10780.75,10648.4,10679.95,50.9,.48,257081538,9422.77,11.56,2.14,2.65
Nifty Services Sector,04-05-2026,30292.45,30577.2,30126.7,30272.5,24.1,.08,296747246,22409.05,19.28,3.23,1.38
Nifty50 Shariah,04-05-2026,4363.2,4383.7,4321.15,4339.55,0.4,.01,59244983,6674.59,23.54,4.17,2.2
Nifty500 Shariah,04-05-2026,6865.85,6884.55,6815.7,6853.8,34.3,.5,848969699,38960.52,28,4.71,1.39
Nifty Low Volatility 50,04-05-2026,24280.25,24455.55,24169,24276.5,102.55,.42,264350898,28152.22,29.43,4.92,1.25
Nifty Alpha 50,04-05-2026,51167.45,51613.25,50956.85,51248.9,372.75,.73,341866436,19023.66,26.95,4.33,.78
Nifty High Beta 50,04-05-2026,4107.9,4163.2,4098.75,4132.7,57.9,1.42,1793833406,26185.18,32.26,3.81,.87
Nifty100 Equal Weight,04-05-2026,33728.6,34032.05,33643.2,33816.0,244.85,.73,766031611,53122.18,22.4,3.73,1.31
Nifty100 Liquid 15,04-05-2026,7250.9,7333.4,7249.4,7283.55,28.15,.39,289440308,19359,23.67,3.49,.9
Nifty CPSE,04-05-2026,7443.9,7513.55,7406.35,7434.9,-21.35,-.29,81244354,2781.04,15.18,2.4,2.49
Nifty50 Value 20,04-05-2026,12294.25,12365.95,12178.95,12223.55,-37.2,-.3,207211532,14215.33,16.04,2.81,2.02
Nifty Midcap Liquid 15,04-05-2026,16083.8,16141.1,15847.45,15965.5,25.25,.16,222582266,5624.5,40.67,5.24,.53
Nifty Shariah 25,04-05-2026,7840.95,7876.05,7767.85,7800.0,4.9,.06,62505222,6517.1,26.98,4.89,1.83
India VIX,04-05-2026,18.46,18.875,16.7475,18.3,-0.16,-.87,-,-,-,-,-
Nifty Growth Sectors 15,04-05-2026,11023.45,11106.05,10937.15,10992.5,44.5,.41,28776612,7360.14,29.11,7.04,1.81
Nifty50 TR 1x Inverse,04-05-2026,178.55,179,176.9,178.15,-0.8,-.45,-,-,-,-,-
Nifty50 TR 2x Leverage,04-05-2026,18186.3,18526.65,18098.5,18270.4,173.95,.96,-,-,-,-,-
Nifty50 PR 1x Inverse,04-05-2026,218.45,219,216.4,217.95,-1.0,-.46,-,-,-,-,-
Nifty50 PR 2x Leverage,04-05-2026,12119.65,12346.45,12061.1,12175.65,115.9,.96,-,-,-,-,-
NIFTY100 Quality 30,04-05-2026,5589.4,5624.65,5551.95,5576.05,19.5,.35,94464825,11802.21,29.38,7.57,1.92
Nifty200 Momentum 30,04-05-2026,30265.05,30694.95,30193.25,30382.2,224.3,.74,140692999,12955.79,25.94,4.56,.83
Nifty India Manufacturing,04-05-2026,15650.65,15765.15,15602.3,15693.65,143.35,.92,512995694,30140.11,28.62,4.53,1.02
Nifty100 ESG Sector Leaders,04-05-2026,4017.65,4052.7,4009.2,4030.05,25.05,.63,423274818,34442.24,21.42,3.48,1.31
Nifty200 Alpha 30,04-05-2026,25129.4,25397.8,25065.9,25200.75,187.55,.75,232223076,12818.28,23.48,4.18,.98
Nifty Midcap150 Momentum 50,04-05-2026,61607.1,61980.45,61162.55,61506.3,377.95,.62,1343540124,10763.48,31.47,5.02,.8
Nifty Smallcap250 Quality 50,04-05-2026,24835.05,25050.75,24742.05,24944.05,222.95,.9,73386584,4079.25,24,5.09,1.54
Nifty Smallcap250 Momentum Quality 100,04-05-2026,44318.95,44570.6,44024.1,44385.6,340.2,.77,172324800,12143.13,27.89,4.89,.84
Nifty MidSmallcap400 Momentum Quality 100,04-05-2026,49703.8,49844,49202.85,49555.65,234.85,.48,311984425,19073.18,29.07,6.35,.9
Nifty500 Momentum 50,04-05-2026,52031.8,52708.35,51854.05,52178.35,419.5,.81,163593796,16997.39,29.1,4.94,.71
Nifty200 Value 30,04-05-2026,15554.2,15694.75,15503.2,15542.7,33.35,.22,341009766,10762.65,10.02,1.57,2.65
Nifty Top 10 Equal Weight,04-05-2026,8732.55,8787.2,8661.65,8687.5,-31.05,-.36,195381918,16699.06,18.78,3.32,1.54
Nifty500 Multicap Momentum Quality 50,04-05-2026,41842.6,42168.4,41588.5,41883.35,311.35,.75,121306227,13434.49,33.36,8.1,1.01
Nifty Top 15 Equal Weight,04-05-2026,9844.05,9952.4,9791.85,9830.4,19.3,.2,220728734,21153,20.1,3.59,1.4
Nifty Top 20 Equal Weight,04-05-2026,8725.4,8801.3,8679.9,8718.8,24.15,.28,276181938,23901.8,22.29,3.85,1.44
Nifty500 Quality 50,04-05-2026,19513.15,19564.25,19321.85,19469.5,62.8,.32,221973234,12383.63,30.95,10.34,1.44
Nifty500 Low Volatility 50,04-05-2026,22233.2,22404.9,22103.4,22210.15,56.45,.25,135126077,12219.99,23.49,4.47,1.75
NIFTY100 ESG,04-05-2026,4851,4890.35,4830.25,4855.05,20.75,.43,667822208,45138.39,22.26,3.99,1.44
NIFTY100 Enhanced ESG,04-05-2026,4885.2,4924.5,4863.75,4888.75,20.15,.41,577383968,42116.58,22.29,3.99,1.44
NIFTY500 Value 50,04-05-2026,16611.4,16761.55,16573.95,16629.45,75.25,.45,566402165,15419.43,10.2,1.6,2.48
NIFTY100 Alpha 30,04-05-2026,17716.3,17947.25,17715.5,17815.5,173.4,.98,311742501,14963.97,17.92,3.54,1.61
Nifty500 Multifactor MQVLv 50,04-05-2026,31101,31334.2,30940.25,31083.9,192.6,.62,188782173,11373.61,14.33,2.85,1.96
NIFTY Alpha Low-Volatility 30,04-05-2026,25759.05,26008.8,25727.35,25860.75,150.6,.59,202742729,20840.98,30.33,4.58,.73
Nifty500 Flexicap Quality 30,04-05-2026,9751.25,9803.1,9647.95,9698.2,16.55,.17,83938673,8714.24,28.78,6.31,1.99
NIFTY50 Equal Weight,04-05-2026,32389.7,32637,32298.25,32477.1,212.65,.66,419069793,35790.21,25.29,3.82,1.33
Nifty500 Equal Weight,04-05-2026,14255.65,14349.65,14194.9,14298.9,136.2,.96,3870341196,114797.73,29.27,3.86,.85
Nifty 50 Futures Index,04-05-2026,-,-,-,6008.76,26.76,.45,-,-,-,-,-
Nifty 50 Arbitrage,04-05-2026,-,-,-,2668.63,1.55,.06,-,-,-,-,-
Nifty 50 Futures TR Index,04-05-2026,-,-,-,25785.84,131.24,.51,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,04-05-2026,-,-,-,34021.31,-7.84,-.02,8140164,1260.03,23.68,4.27,1.45
Nifty India Corporate Group Index - Aditya Birla Group,04-05-2026,-,-,-,9300.56,127.11,1.39,1209030650,3014.55,83.71,3.2,.45
Nifty India Corporate Group Index - Tata Group,04-05-2026,-,-,-,14702.59,-74.85,-.51,61975919,3408.37,31.19,5.69,1.93
Nifty India Corporate Group Index - Tata Group 25% Cap,04-05-2026,14748,14830.15,14578,14655.75,-20.85,-.14,49648658,2801.69,35.23,5.21,1.57
Nifty Private Bank,04-05-2026,26274.7,26513.45,26130.65,26247.3,-34.45,-.13,267473077,9818.13,17.25,2.09,.62
Nifty Smallcap 250,04-05-2026,16851.2,16943.15,16754.7,16895.95,164.75,.98,1254705235,34165.74,30.09,3.57,.7
Nifty Smallcap 50,04-05-2026,8854.1,8933.95,8800.85,8865.05,78.45,.89,288268219,11187.37,27.95,3.36,.69
Nifty Midcap 150,04-05-2026,22164.8,22288,22019.05,22155.5,155.45,.71,1849604350,27509.82,33.61,4.74,.71
Nifty Midcap Select,04-05-2026,13936.65,14033.75,13831,13930.2,104.2,.75,340758524,10597.42,31.41,4.73,.63
NIFTY LargeMidcap 250,04-05-2026,16268.4,16380.3,16198.5,16286.4,104.5,.65,2615635961,80632,25.81,3.96,1.01
NIFTY SME EMERGE,04-05-2026,13950,14046.6,13945.8,13983.45,81.6,.59,-,-,21.94,3.42,.23
Nifty Oil & Gas,04-05-2026,11740.75,11801.95,11698.5,11733.1,38.45,.33,92111438,5725.13,9.77,1.6,2.26
Nifty Financial Services 25/50,04-05-2026,27994.25,28401.9,27991.3,28193.5,234.95,.84,201057722,15067.59,16.49,2.88,.98
Nifty Healthcare Index,04-05-2026,14984.5,15117.75,14939.85,15072.0,153.6,1.03,29236692,3778.44,38.36,5.65,.56
Nifty500 Multicap 50:25:25,04-05-2026,15977.05,16085.8,15911.85,16007.35,114.4,.72,3870341196,114797.73,25.28,3.7,1
Nifty Microcap 250,04-05-2026,23162.95,23384.45,23111.2,23297.55,333.85,1.45,474066369,8850.78,27.65,3.31,.68
Nifty Total Market,04-05-2026,12820.1,12916.85,12779.2,12848.4,86.9,.68,4344407565,123648.51,23.48,3.59,1.11
Nifty India Digital,04-05-2026,7816.2,7828.7,7705.85,7766.8,6.2,.08,1502955919,14658.1,54.45,7.03,1.75
Nifty Mobility,04-05-2026,21451.9,21622.3,21312.1,21497.4,225.6,1.06,200434081,13463.4,31.93,4.62,1.03
Nifty India Defence,04-05-2026,9027.35,9062,8884.15,8978.4,4.95,.06,40111672,6793.7,56.45,11.95,.54
Nifty Financial Services Ex-Bank,04-05-2026,30992.35,31467.9,30965.5,31221.65,363.3,1.18,110328144,8776.58,22.91,4.3,.76
Nifty Housing,04-05-2026,11943.5,12101.2,11943.3,12029.15,140.2,1.18,478634203,21803.33,24.32,3.08,.89
Nifty Transportation & Logistics,04-05-2026,23796.8,23987.35,23588.45,23800.7,216.35,.92,158560230,10914.34,39.98,5.4,.87
Nifty MidSmall Financial Services,04-05-2026,21368.2,21547.05,21196.65,21315.0,87.6,.41,221386854,7422.4,29.05,3.21,.53
Nifty MidSmall Healthcare,04-05-2026,45253.45,46057.15,45198.05,45857.05,883.25,1.96,44986539,4925.12,43.43,5.66,.42
Nifty MidSmall IT & Telecom,04-05-2026,8655.6,8656.9,8450.3,8521.75,-10.4,-.12,1387141865,5484.52,57.76,7.97,1.22
Nifty MidSmall India Consumption,04-05-2026,17883.15,18000.25,17786.35,17929.75,217.85,1.23,1217645305,4504.34,79.95,8.42,.79
Nifty REITs & InvITs,04-05-2026,-,-,-,1340.82,0.92,.07,6296275,101.53,41.69,1.97,5.69
Nifty Core Housing,04-05-2026,14839.15,15005.2,14826.75,14969.5,222.25,1.51,43358862,5028.86,32.82,3.53,.53
Nifty500 Multicap Infrastructure 50:30:20,04-05-2026,14505.7,14606.35,14439.4,14517.95,101.0,.7,2121571270,27511.64,27.11,3.62,.83
Nifty Rural,04-05-2026,15365.7,15540.8,15286.3,15370.2,71.25,.47,1515350843,23199.83,26.4,4.17,1.13
Nifty Capital Markets,04-05-2026,5276.7,5321.7,5224.15,5263.7,25.65,.49,60224215,4765.71,47.38,13.38,.93
Nifty India New Age Consumption,04-05-2026,10997.45,11069.45,10912.15,11005.05,75.9,.69,1418654130,16682.61,58.33,6.79,.67
Nifty India Select 5 Corporate Groups (MAATR),04-05-2026,38260.9,38655.05,38211.4,38495.3,527.1,1.39,1453974692,20580.49,30.25,3.57,.89
Nifty India Railways PSU,04-05-2026,3230.05,3262.9,3210.25,3240.75,30.95,.96,208269008,6893.74,23.5,3.4,1.7
Nifty Consumer Durables,04-05-2026,37489.75,37588.7,37175.6,37411.1,138.1,.37,12699012,1618.55,58.96,12.23,.38
Nifty Non-Cyclical Consumer,04-05-2026,14910.9,15011.7,14798.05,14868.45,16.9,.11,112464723,8637.59,52.03,10.22,.9
Nifty500 Multicap India Manufacturing 50:30:20,04-05-2026,16130.7,16225.1,16066.55,16166.55,145.9,.91,454081047,25228.74,30.38,4.2,.76
Nifty EV & New Age Automotive,04-05-2026,3022.25,3041,2990.55,3013.15,17.3,.58,193772159,13151,38.17,4.94,.87
Nifty500 LargeMidSmall Equal-Cap Weighted,04-05-2026,17731.6,17843.15,17647.05,17760.75,134.6,.76,3870341196,114797.73,27.16,3.81,.9
