Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,03-12-2025,26004.9,26066.45,25891,25986.0,-46.2,-.18,265660108,25320.85,22.62,3.53,1.29
Nifty Next 50,03-12-2025,69208.95,69276.85,68226.4,68400.85,-753.6,-1.09,279111529,9520,19.91,3.56,1.42
Nifty 100,03-12-2025,26572.9,26623.7,26418.15,26506.1,-86.75,-.33,544771637,34840.85,22.14,3.54,1.31
Nifty 200,03-12-2025,14501.45,14524.9,14400.8,14444.4,-64.55,-.44,2196622215,51259.47,23.56,3.66,1.22
Nifty 500,03-12-2025,23813.45,23845.8,23641.75,23716.3,-105.95,-.44,2804603221,68541.08,24.22,3.68,1.16
Nifty Midcap 50,03-12-2025,17396.05,17403.6,17176.65,17215.35,-166.75,-.96,311320405,9135.09,33.51,4.55,.8
NIFTY Midcap 100,03-12-2025,60942.2,60984.45,60176.85,60315.65,-594.8,-.98,1651850578,16418.62,33.23,4.33,.8
NIFTY Smallcap 100,03-12-2025,17789.35,17807.75,17588.3,17649.45,-127.0,-.71,230544043,8239.7,31.75,3.81,.75
Nifty50 Dividend Points,03-12-2025,-,-,-,249.14,0.0,-,-,-,-,-,-
Nifty Auto,03-12-2025,28014.5,28021.15,27581.2,27643.8,-335.7,-1.2,65016597,3870.69,30.02,4.74,1.14
Nifty Bank,03-12-2025,59158.7,59414.9,58925.7,59348.25,74.45,.13,166403478,7160.87,16.59,2.24,.98
Nifty Energy,03-12-2025,35480.7,35503.4,35008,35105.0,-354.4,-1,277050046,5912.69,14.93,2.27,2.27
Nifty Financial Services,03-12-2025,27492.15,27654,27434.8,27629.6,64.35,.23,94121539,9123.05,18.03,2.88,.94
Nifty FMCG,03-12-2025,55415.55,55447.3,54732.35,54949.1,-441.85,-.8,25402615,2455.29,40.24,9.9,2.02
Nifty IT,03-12-2025,37530.85,38007.3,37515,37825.25,284.0,.76,40897050,5310.22,26.78,7.08,2.95
Nifty Media,03-12-2025,1453.8,1465.5,1449.8,1462.55,3.65,.25,19183857,321.96,60.41,1.54,1.28
Nifty Metal,03-12-2025,10340.35,10347.15,10168.35,10265.2,-50.65,-.49,101991987,4024.68,18.4,2.67,1.98
Nifty MNC,03-12-2025,30633.45,30639,30293.6,30338.55,-263.05,-.86,43206276,4097.01,36.66,8.71,1.63
Nifty Pharma,03-12-2025,22949.3,23005.3,22726.5,22907.85,2.85,.01,31202599,3350.74,33.87,4.96,.67
Nifty PSU Bank,03-12-2025,8539.05,8541.6,8215.3,8253.2,-261.7,-3.07,273748284,4543.15,8.45,1.34,2.27
Nifty Realty,03-12-2025,892.6,894.1,882.05,885.35,-6.7,-.75,5393881,512.84,40.74,4.27,.34
Nifty India Consumption,03-12-2025,12460,12472.15,12316.2,12325.2,-134.75,-1.08,73896901,9215.94,40.58,8.32,1.06
Nifty Commodities,03-12-2025,9209.7,9212.8,9102.75,9136.6,-61.1,-.66,143795143,6550.62,16.16,2.18,1.83
Nifty Dividend Opportunities 50,03-12-2025,6258.55,6267.55,6211.3,6221.55,-29.4,-.47,381936434,16472.13,14.67,2.9,3.07
Nifty Infrastructure,03-12-2025,9584.05,9596.55,9486.85,9509.5,-78.45,-.82,206585253,8732.3,21.43,3.08,1.02
Nifty PSE,03-12-2025,9737.15,9741.8,9593,9616.75,-113.3,-1.16,143898543,4070.27,11,1.94,3.12
Nifty Services Sector,03-12-2025,33656.35,33805.15,33594.15,33777.35,46.85,.14,188534495,16964.16,21.62,3.56,1.31
Nifty50 Shariah,03-12-2025,4788.55,4803.05,4762.45,4790.05,3.45,.07,66627574,8554.54,25.07,4.64,2.12
Nifty500 Shariah,03-12-2025,7159.05,7170.6,7112.5,7131.3,-23.8,-.33,453553584,25466.1,27.97,4.82,1.46
Nifty Low Volatility 50,03-12-2025,25624.65,25662.85,25470.5,25520.35,-106.45,-.42,136289283,18818.84,32.72,5.34,1.22
Nifty Alpha 50,03-12-2025,52049.45,52097.3,51220.85,51341.6,-700.95,-1.35,126345501,13568.47,50.87,5.96,.43
Nifty High Beta 50,03-12-2025,3941.7,3945.7,3868.05,3878.65,-64.35,-1.63,1550320550,13106.42,22.47,2.69,1.25
Nifty100 Equal Weight,03-12-2025,33835.7,33869.9,33456.7,33528.75,-292.55,-.86,544771637,34840.85,22.41,3.74,1.35
Nifty100 Liquid 15,03-12-2025,7515.5,7525.45,7430.25,7457.25,-65.95,-.88,115096303,8836.79,22.96,3.35,.87
Nifty CPSE,03-12-2025,6372.2,6376.1,6273.3,6291.9,-77.75,-1.22,65422542,1789.92,13.17,2.03,3.2
Nifty50 Value 20,03-12-2025,13087.05,13137.7,13043.45,13126.7,31.5,.24,131261869,11463.42,17.08,2.9,2.04
Nifty Midcap Liquid 15,03-12-2025,16637.2,16642.3,16381.75,16419.6,-200.0,-1.2,192117626,4279.99,37.19,4.58,.6
Nifty Shariah 25,03-12-2025,8536.55,8546.35,8475.3,8487.9,-37.65,-.44,62301851,7496.48,29.63,5.37,1.88
India VIX,03-12-2025,11.2275,11.3725,10.915,11.21,-0.02,-.13,-,-,-,-,-
Nifty Growth Sectors 15,03-12-2025,12430.8,12464.85,12372.05,12393.95,-32.55,-.26,46215017,7789.12,32.14,7.4,1.79
Nifty50 TR 1x Inverse,03-12-2025,163.85,164.6,163.5,164.0,0.35,.21,-,-,-,-,-
Nifty50 TR 2x Leverage,03-12-2025,21885.15,21982.5,21693.45,21853.3,-81.05,-.37,-,-,-,-,-
Nifty50 PR 1x Inverse,03-12-2025,200.3,201.15,199.85,200.4,0.35,.17,-,-,-,-,-
Nifty50 PR 2x Leverage,03-12-2025,14625.65,14690.7,14497.5,14604.35,-54.15,-.37,-,-,-,-,-
NIFTY100 Quality 30,03-12-2025,5850.45,5858.4,5815.55,5828.25,-20.2,-.35,103593953,12237.62,29.99,6.96,1.96
Nifty India Corporate Group Index - Mahindra Group,03-12-2025,-,-,-,38786.73,-531.54,-1.35,6766976,1158.92,29.6,4.84,1.28
Nifty India Corporate Group Index - Tata Group,03-12-2025,-,-,-,15877.02,-2.09,-.01,45999040,3390.95,30.2,5.89,2.28
Nifty India Corporate Group Index - Aditya Birla Group,03-12-2025,-,-,-,8736.07,16.25,.19,1188777772,2166.94,83.96,3.01,.48
Nifty Conglomerate 50,03-12-2025,-,-,-,14778.87,-101.43,-.68,1296866840,12270.02,28.68,3.87,1.03
Nifty India Infrastructure & Logistics,03-12-2025,11423.35,11432.45,11288.6,11313.45,-105.2,-.92,1561911606,13129.11,30.06,4.07,.87
Nifty India FPI 150,03-12-2025,1614,1616.55,1602.2,1605.9,-8.7,-.54,765819305,41975.59,24.46,3.87,1.24
Nifty Waves,03-12-2025,1973.5,1982.2,1961.7,1967.15,-7.65,-.39,47002420,483.31,-,2.48,.63
Nifty500 Healthcare,03-12-2025,19060.6,19095.9,18865.1,18980.6,-61.85,-.32,44804852,5634.86,38.65,5.7,.54
Nifty India Corporate Group Index - Tata Group 25% Cap,03-12-2025,14869.9,14904.85,14775.8,14817.0,-69.6,-.47,41061272,3110.02,31.55,4.82,1.77
Nifty Private Bank,03-12-2025,28493.65,28758.55,28445.25,28722.75,164.0,.57,174171434,4640.3,20.24,2.23,.53
Nifty Smallcap 250,03-12-2025,16708.6,16728.5,16552.8,16622.65,-73.8,-.44,461926932,14900.52,28.98,3.54,.72
Nifty Smallcap 50,03-12-2025,8709,8728.95,8612.4,8640.9,-65.7,-.75,96228015,5630.93,32.05,3.82,.77
Nifty Midcap 150,03-12-2025,22338.6,22349.65,22084.4,22130.15,-197.7,-.89,1797904652,18799.72,33.01,4.44,.8
Nifty Midcap Select,03-12-2025,14005.8,14007.4,13813.25,13844.0,-146.5,-1.05,231436499,6248.39,29.26,4.52,.8
NIFTY LargeMidcap 250,03-12-2025,16841.6,16859.65,16697.35,16741.6,-102.25,-.61,2342676289,53640.57,26.51,3.94,1.06
NIFTY SME EMERGE,03-12-2025,15043.6,15063.55,14885.75,14914.25,-134.1,-.89,-,-,26.38,4.22,.24
Nifty Oil & Gas,03-12-2025,11974.45,11986.5,11855.35,11896.3,-74.35,-.62,68461696,2466.01,11.25,1.66,2.47
Nifty Financial Services 25/50,03-12-2025,30062.65,30144.75,29864.5,30021.45,-102.15,-.34,94121539,9123.05,17.7,3.03,.94
Nifty Healthcare Index,03-12-2025,14897.05,14934.2,14734.1,14828.6,-48.0,-.32,34827199,3781.54,37.21,5.53,.56
Nifty500 Multicap 50:25:25,03-12-2025,16465.4,16480.65,16333.05,16385.0,-81.75,-.5,2804603221,68541.08,25.75,3.73,1.04
Nifty Microcap 250,03-12-2025,22966.2,22987,22722.15,22827.0,-110.6,-.48,651556530,9144.09,27.86,2.84,.77
Nifty Total Market,03-12-2025,13371.45,13388.9,13273.45,13315.95,-59.65,-.45,3456159751,77685.18,24.34,3.64,1.14
Nifty India Digital,03-12-2025,9505.2,9548.5,9480.9,9520.9,5.45,.06,1268561446,10026.35,67.07,9.09,1.55
Nifty Mobility,03-12-2025,23327.85,23339.1,23058.4,23103.35,-231.2,-.99,178931092,8162.05,29.53,4.58,1.05
Nifty India Defence,03-12-2025,7949.15,7951.5,7787.05,7809.6,-145.45,-1.83,21394730,2478.21,52.41,10.46,.52
Nifty Financial Services Ex-Bank,03-12-2025,31990.5,32045.05,31521.6,31605.35,-425.5,-1.33,91388992,7231.28,23.99,4.44,.78
Nifty Housing,03-12-2025,11735.15,11745.65,11617.2,11657.85,-75.45,-.64,391971047,13158.28,24.88,3,.91
Nifty Transportation & Logistics,03-12-2025,26213.9,26229.15,25873.85,25920.0,-286.1,-1.09,136677741,6693.03,37.66,5.51,.83
Nifty MidSmall Financial Services,03-12-2025,20836.8,20836.8,20443.2,20494.4,-328.5,-1.58,231291551,6506.19,29.19,2.91,.65
Nifty MidSmall Healthcare,03-12-2025,44261.15,44403.4,43850.8,44132.45,-88.0,-.2,29151579,3294.22,41.53,5.32,.44
Nifty MidSmall IT & Telecom,03-12-2025,10351.15,10442.85,10341.3,10386.5,52.0,.5,1218979172,3673.51,64.9,10.09,1.03
Nifty MidSmall India Consumption,03-12-2025,19343.15,19370.25,19155.95,19192.35,-165.25,-.85,1223081519,4518.88,89.92,9.94,.77
Nifty REITs & InvITs,03-12-2025,-,-,-,1375.3,14.18,1.04,5387437,98.81,27.83,2,6.84
Nifty Core Housing,03-12-2025,15774.4,15779,15568.85,15615.65,-129.6,-.82,58411716,3239.85,34.53,3.67,.52
Nifty500 Multicap Infrastructure 50:30:20,03-12-2025,14479.2,14492.45,14329.6,14368.15,-109.75,-.76,1522932752,11871.43,26.33,3.59,.96
Nifty Rural,03-12-2025,16120.25,16137.15,15924.45,15943.35,-170.5,-1.06,1411686641,16850.14,25.58,4.11,1.24
Nifty Capital Markets,03-12-2025,4746.75,4748.6,4643.45,4660.6,-86.1,-1.81,22091290,3187.01,46,11.82,1.02
Nifty India New Age Consumption,03-12-2025,12059.8,12070.45,11927.55,11948.35,-122.85,-1.02,1357516605,12453.93,54.86,7.13,.66
Nifty India Select 5 Corporate Groups (MAATR),03-12-2025,38418.85,38456.55,38039.6,38107.55,-263.4,-.69,1276671201,9085.6,28.97,3.42,.96
Nifty India Railways PSU,03-12-2025,-,-,-,3290.43,-36.06,-1.08,79413075,2109.81,25.09,3.39,1.6
Nifty Consumer Durables,03-12-2025,37430.9,37526,36776.75,36930.45,-589.0,-1.57,12797481,1537.12,63.62,12.46,.38
Nifty Non-Cyclical Consumer,03-12-2025,16305.4,16320.45,16140.95,16150.75,-166.35,-1.02,73878753,7234.55,53.2,11.07,1
Nifty500 Multicap India Manufacturing 50:30:20,03-12-2025,15931.7,15943.1,15747.4,15801.65,-118.0,-.74,206468824,14267.46,29.04,4.04,.8
