Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,15-10-2024,25186.3,25212.05,25008.15,25057.35,-70.6,-.28,257228772,29113.88,23.55,3.75,1.2
Nifty Next 50,15-10-2024,76018.55,76054.45,75634.45,75859.85,208.15,.28,230733949,12425.76,24.4,4.07,1.39
Nifty 100,15-10-2024,26272.65,26291.55,26091.6,26149.1,-48.8,-.19,487962721,41539.64,24.18,3.82,1.19
Nifty 200,15-10-2024,14311.25,14320.05,14215.2,14252.4,-16.95,-.12,1171839230,59834.89,26.19,4.02,1.11
Nifty 500,15-10-2024,23800.4,23814.95,23662.3,23735.7,8.65,.04,1778922793,88090.24,27.27,4.13,1.06
Nifty Midcap 50,15-10-2024,16668.65,16679.05,16556.65,16658.95,41.5,.25,518036256,8124.51,49.54,5.96,.68
NIFTY Midcap 100,15-10-2024,59664.45,59686.2,59279.65,59593.25,127.8,.21,683876509,18295.25,44.15,5.45,.71
NIFTY Smallcap 100,15-10-2024,19179.55,19318.6,19149.3,19302.05,211.5,1.11,224016387,17254.88,36.43,4.35,.94
Nifty50 Dividend Points,15-10-2024,-,-,-,194.25,0.0,-,-,-,-,-,-
Nifty Auto,15-10-2024,26619,26626.1,26028.8,26242.6,-220.95,-.83,43390173,4455.5,25.7,5.38,.83
Nifty Bank,15-10-2024,51975.95,52022.05,51698.75,51906.0,89.1,.17,101408546,6693.44,14.57,2.33,.96
Nifty Energy,15-10-2024,41542.3,41606.35,41135.05,41283.6,-251.35,-.61,111017777,7672.77,15.02,2.34,2.26
Nifty Financial Services,15-10-2024,23948.05,23954.5,23808.65,23863.45,5.9,.02,74864909,10406.53,17.14,2.88,.9
Nifty FMCG,15-10-2024,62494.15,62683.2,62112.45,62607.7,235.4,.38,24780719,2541.06,50.02,12.18,1.67
Nifty IT,15-10-2024,42917.65,43329.5,42572.8,42731.3,-141.45,-.33,29359019,5360.02,34.93,8.8,1.85
Nifty Media,15-10-2024,2063.25,2087.45,2053.35,2069.3,12.8,.62,90280221,1003.8,-,2.29,.39
Nifty Metal,15-10-2024,9938.6,9956.35,9722.65,9762.05,-142.95,-1.44,94975383,3021.18,32.09,2.8,2.16
Nifty MNC,15-10-2024,31766.15,31766.7,31491.8,31633.15,-3.5,-.01,27302226,3625.65,47.36,10.08,1.72
Nifty Pharma,15-10-2024,23727.05,23808.85,23495.55,23555.7,-124.3,-.52,16143333,2928.81,39.25,5.71,.57
Nifty PSU Bank,15-10-2024,6647.65,6672.7,6597.5,6618.3,-13.95,-.21,91332437,1381.88,8.04,1.28,2.25
