Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,12-09-2024,25059.65,25433.35,24941.45,25388.9,470.45,1.89,380069653,41747.91,23.61,4.18,1.2
Nifty Next 50,12-09-2024,74904.5,75469.95,74741.7,75446.35,1091.1,1.47,336302188,14768.58,26.81,4.8,1.27
Nifty 100,12-09-2024,26145.9,26497.5,26041.6,26461.1,473.3,1.82,716371841,56516.49,24.61,4.3,1.18
Nifty 200,12-09-2024,14243.1,14412.4,14188.05,14394.65,243.15,1.72,1742129187,75826.2,26.54,4.42,1.09
Nifty 500,12-09-2024,23680,23934.6,23593.6,23907.35,376.1,1.6,2374006513,102775.67,27.39,4.48,1.05
Nifty Midcap 50,12-09-2024,16713,16779.7,16625.7,16760.15,214.3,1.3,854857948,10720.94,48.22,5.78,.69
NIFTY Midcap 100,12-09-2024,59436.85,59697.75,59197.15,59640.3,702.25,1.19,1025757346,19309.72,44.52,5.18,.66
NIFTY Smallcap 100,12-09-2024,19278.9,19377.45,19218.1,19354.75,192.9,1.01,360394255,12880.84,30.35,4.12,.8
Nifty50 Dividend Points,12-09-2024,-,-,-,194.25,0.0,-,-,-,-,-,-
Nifty Auto,12-09-2024,25342.55,25818.45,25191.1,25779.8,539.2,2.14,59497059,7810.09,25.34,5.79,.85
Nifty Bank,12-09-2024,51271,51878.1,51025,51772.4,762.4,1.49,127898149,9274.62,15.02,2.7,.91
Nifty Energy,12-09-2024,41854.25,42608.35,41706,42497.85,871.6,2.09,131853768,7483.02,15.69,2.71,2.29
Nifty Financial Services,12-09-2024,23712.2,23990.25,23578.45,23945.6,363.1,1.54,110716176,13032.11,17.05,3.27,.91
Nifty FMCG,12-09-2024,64958.65,65597.85,64697.7,65513.2,745.05,1.15,41169370,4091.96,51.47,12.63,1.63
Nifty IT,12-09-2024,42836.5,43265.25,42449.05,43152.1,678.85,1.6,26435647,5098.99,35.26,8.97,1.8
Nifty Media,12-09-2024,2090.7,2093.5,2075.3,2083.5,7.8,.38,31724121,574.77,-,2.32,.38
Nifty Metal,12-09-2024,9144.35,9305.6,9068.95,9290.85,262.65,2.91,154688891,4328.49,30.76,2.82,2.17
Nifty MNC,12-09-2024,31118.75,31379.9,31013,31342.65,368.5,1.19,32948473,4805.62,47.21,10.58,1.72
Nifty Pharma,12-09-2024,23358.75,23488.7,23239.5,23429.6,209.2,.9,66304539,6450.12,39.12,6.13,.58
Nifty PSU Bank,12-09-2024,6582.75,6641.5,6542.6,6633.65,111.6,1.71,100725996,2358.07,8.1,1.29,2.23
Nifty Realty,12-09-2024,1032.05,1038.05,1024.65,1035.7,9.05,.88,5371427,843.2,56.31,6.04,.39
Nifty India Consumption,12-09-2024,12358.9,12545.05,12339.05,12531.4,243.85,1.98,184810003,16820.59,54.86,10.11,.91
Nifty Commodities,12-09-2024,9231.85,9376.05,9184.3,9366.15,203.95,2.23,253442879,12117.83,20.04,2.73,2
Nifty Dividend Opportunities 50,12-09-2024,6788.9,6876.2,6757.25,6865.25,123.7,1.83,469631513,21883.29,19.59,3.84,2.45
Nifty Infrastructure,12-09-2024,9206.15,9378.65,9185.2,9364.6,217.5,2.38,182760388,15081.74,24.83,3.62,1.19
Nifty PSE,12-09-2024,10822.15,10980.2,10786,10965.95,215.85,2.01,241235273,8144.32,12.81,2.7,2.96
Nifty Services Sector,12-09-2024,32175.7,32621.45,32034.3,32570.85,608.6,1.9,303185880,25021.44,23.03,4.22,1.12
Nifty50 Shariah,12-09-2024,-,-,-,5669.91,84.21,1.51,58883078,8789.07,30.05,7.18,1.71
Nifty500 Shariah,12-09-2024,-,-,-,8167.25,97.99,1.21,505031308,37231.3,37.97,7.1,1.08
Nifty Low Volatility 50,12-09-2024,-,-,-,26098.55,386.36,1.5,221104844,31985.89,34.41,5.93,1
Nifty Alpha 50,12-09-2024,59411.35,59777.8,59117.6,59743.0,885.5,1.5,545083845,17696.75,31.04,5.1,.71
Nifty High Beta 50,12-09-2024,-,-,-,4064.66,76.72,1.92,1065031655,15136.59,20.6,2.11,1.45
Nifty100 Equal Weight,12-09-2024,34446.35,34826.05,34343.7,34796.2,574.25,1.68,716371841,56516.49,26.77,4.6,1.15
Nifty100 Liquid 15,12-09-2024,6814.25,6929.9,6776.9,6918.55,151.15,2.23,173227862,16499.9,21.41,3.44,.86
Nifty CPSE,12-09-2024,6931.25,7048.8,6910.3,7038.05,151.55,2.2,154600486,4814.34,14.41,2.92,2.81
Nifty50 Value 20,12-09-2024,14190,14395.4,14107,14367.6,270.1,1.92,241198086,16430.54,21.31,3.95,1.97
Nifty Midcap Liquid 15,12-09-2024,14182.65,14258.75,14149.05,14245.3,166.45,1.18,53268010,3452.12,40.6,4.91,.62
Nifty Shariah 25,12-09-2024,-,-,-,9398.9,132.57,1.43,88114373,9728,30.96,6.85,1.62
India VIX,12-09-2024,13.6275,13.6275,11.14,13.18,-0.45,-3.27,-,-,-,-,-
Nifty Growth Sectors 15,12-09-2024,12812.45,12965.8,12727.25,12938.7,196.45,1.54,64437763,9291.31,35.86,9.44,1.71
Nifty50 TR 1x Inverse,12-09-2024,163.35,164.15,160.9,161.2,-3.05,-1.86,-,-,-,-,-
Nifty50 TR 2x Leverage,12-09-2024,21641.05,22279.95,21439.75,22206.65,804.35,3.76,-,-,-,-,-
Nifty50 PR 1x Inverse,12-09-2024,196.85,197.8,193.9,194.25,-3.7,-1.87,-,-,-,-,-
Nifty50 PR 2x Leverage,12-09-2024,14872.05,15311.15,14733.75,15260.8,552.8,3.76,-,-,-,-,-
NIFTY100 Quality 30,12-09-2024,6180,6248.15,6161.75,6237.9,87.35,1.42,110357882,16961.9,35.71,10.37,1.57
Nifty EV & New Age Automotive,12-09-2024,-,-,-,3376.62,62.41,1.88,105111300,13870.15,35.67,6.44,.68
