Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,27-08-2024,25024.8,25073.1,24973.65,25017.75,7.15,.03,223346636,26695,23.24,4.22,1.22
Nifty Next 50,27-08-2024,74884.55,74933.35,74622.6,74848.95,80.15,.11,248407398,13230.81,26.61,5.09,1.11
Nifty 100,27-08-2024,26098.75,26134.85,26038.25,26083.15,6.35,.02,478616410,40442,24.13,4.37,1.17
Nifty 200,27-08-2024,14207.9,14228.8,14179.25,14206.0,14.25,.1,1426204806,65771.66,26.07,4.49,1.09
Nifty 500,27-08-2024,23592,23633.2,23555.55,23604.85,43.1,.18,2213030254,92519.08,26.92,4.57,1.05
Nifty Midcap 50,27-08-2024,16603.6,16629.55,16546.1,16581.0,23.0,.14,656973208,8187.94,47.97,5.72,.72
NIFTY Midcap 100,27-08-2024,59086.45,59260.15,58985.75,59220.25,289.1,.49,947588396,25329.66,44.29,5.19,.67
NIFTY Smallcap 100,27-08-2024,19183.65,19349.25,19151.1,19333.3,201.05,1.05,541272598,15652.92,30.32,4.49,.8
Nifty50 Dividend Points,27-08-2024,-,-,-,194.25,0.0,-,-,-,-,-,-
Nifty Auto,27-08-2024,25960.7,26026.8,25857.05,25911.9,-29.55,-.11,48149053,4741.39,23.95,5.67,.86
Nifty Bank,27-08-2024,51214.05,51404.7,50938.1,51278.75,130.65,.26,111416843,8773.87,14.88,2.85,.92
Nifty Energy,27-08-2024,43794.2,43870.55,43483.65,43523.7,-268.35,-.61,83525662,3929.91,16,2.77,2.25
Nifty Financial Services,27-08-2024,23402.9,23603.15,23280.4,23578.8,192.6,.82,134512539,15438.66,16.79,3.44,.91
Nifty FMCG,27-08-2024,63744.9,63805.95,62952.6,62981.15,-676.8,-1.06,18329338,1896.05,49.45,12.25,1.69
Nifty IT,27-08-2024,41696.85,41936.7,41589.85,41709.25,47.15,.11,14789570,2816.54,34.09,8.67,1.87
Nifty Media,27-08-2024,2064.15,2163.6,2062.85,2148.85,84.55,4.1,155216465,2021.87,-,2.27,.37
Nifty Metal,27-08-2024,9499.9,9518.45,9424.3,9432.75,-58.0,-.61,117505583,4017.38,31.42,2.9,1.6
Nifty MNC,27-08-2024,31060.85,31105.5,30919,30945.05,-64.15,-.21,30460189,4311.8,46.71,10.64,1.41
Nifty Pharma,27-08-2024,22597.8,22758.5,22547.5,22729.0,174.05,.77,20379542,3409.33,37.95,6.07,.6
Nifty PSU Bank,27-08-2024,6996.7,7012.7,6971.1,6985.4,2.9,.04,72411756,1748.4,8.53,1.36,2.11
Nifty Realty,27-08-2024,1036.65,1049,1033.7,1038.1,2.1,.2,9492200,1234.06,56.44,6.16,.4
Nifty India Consumption,27-08-2024,12057.4,12060.35,11967.45,11983.5,-53.9,-.45,79263316,7828.81,52.36,9.69,.95
Nifty Commodities,27-08-2024,9517,9522.05,9450.95,9458.75,-50.15,-.53,152995068,7722.19,20.22,2.76,1.82
Nifty Dividend Opportunities 50,27-08-2024,6852.6,6861,6835.55,6841.25,-4.6,-.07,380795796,16786.61,19.54,3.91,2.38
Nifty Infrastructure,27-08-2024,9352.7,9374.2,9332.2,9339.05,-7.75,-.08,129142980,9110.54,24.76,3.64,1.19
Nifty PSE,27-08-2024,11453.95,11486.85,11410.35,11431.4,-13.2,-.12,197449045,7652.94,13.36,2.92,2.82
Nifty Services Sector,27-08-2024,31685,31797.9,31589.6,31750.25,103.2,.33,188028805,17872.35,22.45,4.34,1.15
Nifty50 Shariah,27-08-2024,-,-,-,5548.7,-17.5,-.31,41516083,4866.73,28.93,6.86,1.76
Nifty500 Shariah,27-08-2024,-,-,-,8055.25,5.47,.07,528479579,36778.69,37.47,7.21,1.08
Nifty Low Volatility 50,27-08-2024,-,-,-,25438.68,-1.16,0,155050240,21597.88,33.54,5.87,1.03
Nifty Alpha 50,27-08-2024,59735.6,59914.8,59614.15,59720.45,133.4,.22,297484028,13359.73,31.04,5.41,.69
Nifty High Beta 50,27-08-2024,-,-,-,4191.85,30.47,.73,931094996,14662.25,21.26,2.25,1.33
Nifty100 Equal Weight,27-08-2024,34330.9,34364.5,34254.5,34316.05,19.05,.06,478616410,40442,26.49,4.79,1.13
Nifty100 Liquid 15,27-08-2024,6863.75,6872.85,6839.6,6861.55,2.8,.04,79179452,9308.84,21.14,3.41,.87
Nifty CPSE,27-08-2024,7447.3,7477.4,7363.35,7373.25,-55.75,-.75,107842494,3467.32,15.09,3.08,2.66
Nifty50 Value 20,27-08-2024,14220.45,14242.75,14182.45,14200.9,0.5,0,131701490,9786.01,21.06,4.05,1.99
Nifty Midcap Liquid 15,27-08-2024,14089.65,14176.15,14064.7,14108.5,44.8,.32,50345832,2999.22,40.21,4.86,.62
Nifty Shariah 25,27-08-2024,-,-,-,9266.42,-40.92,-.44,75402860,6662.84,30.52,6.85,1.65
India VIX,27-08-2024,13.795,14.01,12.71,13.63,-0.16,-1.18,-,-,-,-,-
Nifty Growth Sectors 15,27-08-2024,12565.8,12600.75,12526.1,12538.05,-18.55,-.15,37157137,5180.85,34.75,9.16,1.76
Nifty50 TR 1x Inverse,27-08-2024,163.2,163.5,162.85,163.25,0.0,0,-,-,-,-,-
Nifty50 TR 2x Leverage,27-08-2024,21647.2,21730.65,21559.15,21635.0,8.55,.04,-,-,-,-,-
Nifty50 PR 1x Inverse,27-08-2024,196.65,197.05,196.25,196.7,0.0,0,-,-,-,-,-
Nifty50 PR 2x Leverage,27-08-2024,14876.3,14933.65,14815.8,14867.9,5.85,.04,-,-,-,-,-
NIFTY100 Quality 30,27-08-2024,6079.85,6093,6047.85,6052.1,-25.2,-.41,78304202,10920.38,34.65,10.14,1.62
NIFTY50 Equal Weight,27-08-2024,32119.3,32166.3,32071.6,32100.45,-14.5,-.05,223346636,26695,24.7,4.44,1.3
Nifty500 Equal Weight,27-08-2024,-,-,-,15039.06,84.33,.56,2213030254,92519.08,33.55,4.71,.85
Nifty 50 Futures Index,27-08-2024,-,-,-,6975.26,-7.81,-.11,-,-,-,-,-
Nifty 50 Arbitrage,27-08-2024,-,-,-,2366.27,2.15,.09,-,-,-,-,-
Nifty 50 Futures TR Index,27-08-2024,-,-,-,26848.3,-24.86,-.09,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,27-08-2024,-,-,-,32875.15,-118.5,-.36,7603818,808.35,33.06,4.48,1.3
Nifty India Corporate Group Index - Aditya Birla Group,27-08-2024,-,-,-,8585.4,-32.55,-.38,438966848,2133.89,752.74,4.01,.5
Nifty India Corporate Group Index - Tata Group,27-08-2024,-,-,-,20495.27,20.57,.1,169114873,13533.41,37.79,8.99,1.12
Nifty India Corporate Group Index - Tata Group 25% Cap,27-08-2024,18407.55,18414.25,18280.9,18331.15,-44.9,-.24,66349387,8998.18,37.34,7.06,.92
Nifty Private Bank,27-08-2024,25629.05,25740.6,25496.4,25681.35,77.9,.3,89336423,7545.89,15.54,2.86,.74
Nifty Smallcap 250,27-08-2024,18125.65,18233.15,18099.7,18219.55,138.4,.77,749616247,23903.14,31.66,4.59,.83
Nifty Smallcap 50,27-08-2024,9090.75,9171.55,9069.65,9163.1,94.95,1.05,278572697,9593.31,27.6,4.24,.81
Nifty MidSmallcap 400,27-08-2024,20533.2,20618.85,20510.15,20606.25,123.35,.6,1734413844,52077.08,38.72,5.18,.73
Nifty Midcap 150,27-08-2024,21811.75,21884.05,21788.25,21869.75,111.3,.51,984797597,28173.94,44.21,5.59,.68
Nifty IPO,27-08-2024,-,-,-,2308.4,28.98,1.27,190824063,7949.27,56.69,12.42,.15
Nifty Midcap Select,27-08-2024,13081.1,13120.05,13044.2,13082.15,24.25,.19,475198176,4896.23,63.24,6.94,.79
NIFTY LargeMidcap 250,27-08-2024,16470.75,16501.8,16451.55,16487.7,44.05,.27,1463414007,68615.94,31.24,4.91,.92
NIFTY SME EMERGE,27-08-2024,-,-,-,16067.03,148.25,.93,-,-,107.53,10.53,.08
Nifty Oil & Gas,27-08-2024,13286.65,13348.4,13250.3,13298.0,4.95,.04,151780240,6241.68,12.89,2.39,2.62
Nifty Financial Services 25/50,27-08-2024,25917.4,26321.1,25791.8,26297.9,384.3,1.48,134512539,15438.66,17.45,3.53,.89
Nifty Healthcare Index,27-08-2024,14143.45,14214.75,14118.85,14181.75,61.95,.44,19916266,3319.12,42.41,6.56,.54
Nifty500 Multicap 50:25:25,27-08-2024,16510.25,16546.85,16490.25,16537.8,54.75,.33,2213030254,92519.08,29.19,4.68,.96
