Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,21-07-2025,24999,25111.4,24882.3,25090.7,122.3,.49,305216414,26062.25,22.58,3.47,1.32
Nifty Next 50,21-07-2025,68278.6,68576.05,67988.2,68503.15,278.0,.41,158514822,8007.87,21.94,3.9,1.23
Nifty 100,21-07-2025,25652.95,25765.25,25535.5,25745.35,121.85,.48,463731236,34070.11,22.47,3.54,1.3
Nifty 200,21-07-2025,14006.9,14074.1,13944.8,14063.4,69.95,.5,1234574210,50728.99,23.82,3.71,1.22
Nifty 500,21-07-2025,23296.75,23394.5,23184.9,23378.45,103.3,.44,1759544320,68107.89,25.06,3.82,1.13
Nifty Midcap 50,21-07-2025,16641.65,16774.95,16574.75,16752.6,107.2,.64,488157849,8627.01,40.12,5.48,.76
NIFTY Midcap 100,21-07-2025,59107.2,59538.8,58847.15,59468.35,363.85,.62,770842974,16658.88,33.47,4.82,.82
NIFTY Smallcap 100,21-07-2025,18974.45,18988.75,18851.8,18958.3,-1.35,-.01,158119599,6701.51,33.64,4.39,.68
Nifty50 Dividend Points,21-07-2025,-,-,-,149.0,0.0,-,-,-,-,-,-
Nifty Auto,21-07-2025,23866.8,24075.95,23725.1,24055.0,160.65,.67,34969889,2840.22,25.1,4.55,1.08
Nifty Bank,21-07-2025,56558.9,56983.45,56255.7,56952.75,669.75,1.19,133656637,9301.52,15.11,2.2,.96
Nifty Energy,21-07-2025,36210.65,36282.3,35966.45,36248.55,16.9,.05,276396855,7138.98,16.13,2.56,2.19
Nifty Financial Services,21-07-2025,26710.05,27002.75,26637.4,26986.95,430.8,1.62,98206310,10172.52,17.88,2.81,.88
Nifty FMCG,21-07-2025,56496.85,56541.8,56086.55,56222.7,-284.2,-.5,19487274,1917.56,42.44,10.76,1.97
