Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,06-06-2025,24748.7,25029.5,24671.45,25003.05,252.15,1.02,335581057,30041.71,22.47,3.65,1.19
Nifty Next 50,06-06-2025,67275.35,68030.1,67153.15,67992.85,845.75,1.26,344982053,15499.07,22.09,4.21,1.35
Nifty 100,06-06-2025,25376.3,25654.75,25303.05,25638.8,269.05,1.06,680563110,45540.78,22.41,3.74,1.22
Nifty 200,06-06-2025,13856.55,14005.25,13814.9,13996.3,150.5,1.09,1959361003,75959.95,23.73,3.91,1.15
Nifty 500,06-06-2025,22962,23180.35,22891.6,23165.1,230.6,1.01,2917887629,107492.95,24.85,4,1.08
Nifty Midcap 50,06-06-2025,16348.2,16582.5,16307.9,16569.6,272.95,1.67,798216742,14889.77,39.81,5.67,.8
NIFTY Midcap 100,06-06-2025,58494.2,59072.45,58281.8,59010.3,707.3,1.21,1278797893,30419.16,33.18,5.06,.83
NIFTY Smallcap 100,06-06-2025,18493.45,18612.05,18426.3,18582.45,149.85,.81,512499759,19559.31,32.63,4.49,.73
Nifty50 Dividend Points,06-06-2025,-,-,-,74.18,0.0,-,-,-,-,-,-
Nifty Auto,06-06-2025,23343.05,23677.7,23208.1,23661.3,355.1,1.52,42497805,4216.55,24.75,5.01,1.03
Nifty Bank,06-06-2025,55699.45,56695,55534.75,56578.4,817.55,1.47,347023400,13035.84,14.83,2.34,.78
Nifty Energy,06-06-2025,35885.05,35962.45,35790.65,35924.05,99.2,.28,449443716,7877.54,16.56,2.64,2.19
Nifty Financial Services,06-06-2025,26360,26922.2,26285.55,26848.9,461.75,1.75,160721430,19242.03,17.73,3.04,.56
Nifty FMCG,06-06-2025,55737.85,55842.05,55564.15,55802.7,170.25,.31,23360640,1897.38,42.33,10.68,1.98
Nifty IT,06-06-2025,37134.15,37356.3,36910.95,37294.85,186.9,.5,15075590,2485.18,27.87,7.66,2.74
Nifty Media,06-06-2025,1731.55,1733.55,1703.85,1705.75,-19.65,-1.14,13605648,380.23,567.69,1.39,.83
Nifty Metal,06-06-2025,9261.7,9418.65,9246.55,9406.45,174.95,1.9,147827682,4238.91,19.1,2.71,2.34
Nifty MNC,06-06-2025,28473.15,28573.15,28380.85,28550.7,158.55,.56,32897349,3556.49,34.57,9.22,1.65
Nifty Pharma,06-06-2025,21686.85,21707.7,21557,21684.4,40.2,.19,14540147,2182.45,31,5.32,.64
Nifty PSU Bank,06-06-2025,7082.15,7147.95,6993.7,7100.3,40.65,.58,333660811,4546.12,7.16,1.26,2.71
Nifty Realty,06-06-2025,996.35,1042.6,994.55,1039.6,46.5,4.68,31670103,4134.84,51.69,6.01,.35
Nifty India Consumption,06-06-2025,11500.8,11620.95,11472.4,11616.5,130.4,1.14,125470983,10125.44,40.89,9.06,.98
Nifty Commodities,06-06-2025,8600.4,8690.25,8587.4,8685.35,103.5,1.21,167046761,6881.88,18.05,2.3,2.14
Nifty Dividend Opportunities 50,06-06-2025,5992.25,6048.3,5982.5,6045.7,62.35,1.04,464237763,16495.97,14.96,3.01,3.19
Nifty Infrastructure,06-06-2025,9017.9,9088.6,9003.5,9081.15,60.1,.67,126268601,9097.05,23.76,3.26,1.13
Nifty PSE,06-06-2025,9908.25,9978.35,9880.1,9968.15,77.15,.78,191475283,6068.67,12.78,2.23,3.11
Nifty Services Sector,06-06-2025,32583.85,33042,32503.7,32992.2,377.15,1.16,242198859,21546.42,21.21,3.8,1.02
Nifty50 Shariah,06-06-2025,4701.6,4731.05,4687.5,4729.1,32.45,.69,28123903,4090.28,26.3,5.64,2.32
Nifty500 Shariah,06-06-2025,7078.35,7103.35,7056.8,7101.05,36.7,.52,475629988,24364.09,31.17,5.52,1.44
Nifty Low Volatility 50,06-06-2025,24726.6,24892.9,24636.55,24884.65,196.35,.8,128629568,20231.11,33.83,6.07,1.11
Nifty Alpha 50,06-06-2025,53088.1,53249.05,52785.35,53097.65,236.0,.45,467897739,28435.68,41.87,8.43,.54
Nifty High Beta 50,06-06-2025,3758.35,3819.25,3746.15,3814.85,65.9,1.76,1055175117,20047.76,16.99,2.36,1.46
Nifty100 Equal Weight,06-06-2025,32276.55,32631.85,32192.9,32620.1,398.65,1.24,680563110,45540.78,23.73,3.9,1.29
Nifty100 Liquid 15,06-06-2025,6899.55,7000.3,6878.45,6986.7,92.1,1.34,189139918,13293.4,20.21,3.18,1.19
Nifty CPSE,06-06-2025,6529.7,6555.85,6518.7,6550.05,39.45,.61,112932500,6790.87,13.87,2.37,3.17
Nifty50 Value 20,06-06-2025,12721.05,12825.3,12683.65,12818.0,100.1,.79,115476991,9938.91,17.09,3.27,2.35
Nifty Midcap Liquid 15,06-06-2025,15390.1,15664.9,15345.85,15646.05,312.3,2.04,274177235,8690.99,40.11,6.83,.64
Nifty Shariah 25,06-06-2025,8138.8,8183.95,8115.55,8180.55,55.4,.68,37062139,4933.21,26.49,5.46,2.14
India VIX,06-06-2025,15.0825,15.61,14.3675,14.63,-0.45,-3,-,-,-,-,-
Nifty Growth Sectors 15,06-06-2025,11227.35,11319.4,11173.75,11311.15,88.0,.78,19633243,4181.63,33.79,7.06,1.45
Nifty50 TR 1x Inverse,06-06-2025,169.45,169.95,167.5,167.7,-1.7,-1,-,-,-,-,-
Nifty50 TR 2x Leverage,06-06-2025,20141.5,20598.25,20016,20555.55,407.3,2.02,-,-,-,-,-
Nifty50 PR 1x Inverse,06-06-2025,205.65,206.25,203.3,203.5,-2.1,-1.02,-,-,-,-,-
Nifty50 PR 2x Leverage,06-06-2025,13648.55,13958.1,13563.5,13929.15,276.05,2.02,-,-,-,-,-
NIFTY100 Quality 30,06-06-2025,5574.6,5594.5,5554.55,5591.9,28.05,.5,78820527,10866.06,29.36,7.48,1.78
Nifty500 Multifactor MQVLv 50,06-06-2025,31045.25,31310.2,30942.5,31273.55,296.05,.96,164040847,12413.3,19.82,3.58,1.67
Nifty500 Flexicap Quality 30,06-06-2025,-,-,-,10716.87,72.0,.68,67836715,11254.9,33.06,7.29,1.79
NIFTY Alpha Low-Volatility 30,06-06-2025,26584.8,26710.3,26481.45,26693.05,158.5,.6,66678310,9990.18,33.64,6.3,1.08
Nifty100 Low Volatility 30,06-06-2025,19626.25,19752.8,19554.45,19745.0,140.4,.72,88335975,15246.62,31.03,6.19,1.23
NIFTY Quality Low-Volatility 30,06-06-2025,16992.45,17104.45,16942.55,17094.45,129.65,.76,76121882,12155.1,30.72,7.37,1.45
NIFTY Alpha Quality Low-Volatility 30,06-06-2025,22282.15,22305.45,22186.55,22292.2,69.2,.31,61011634,8090.27,35.79,9.51,1.47
NIFTY Alpha Quality Value Low-Volatility 30,06-06-2025,20366.45,20478.7,20310.1,20466.85,137.6,.68,116521074,13234.43,26.04,6.73,1.89
NIFTY200 Quality 30,06-06-2025,20605,20678.65,20546.35,20665.6,112.9,.55,65644875,8091.39,29.83,9,2.12
NIFTY Midcap150 Quality 50,06-06-2025,24727.65,24785,24622,24756.0,110.6,.45,67702671,7859.9,39.63,10.48,1.29
Nifty200 Momentum 30,06-06-2025,31142,31318.95,31011.9,31299.85,214.85,.69,168021329,13080.63,39.89,8.13,1.01
Nifty India Manufacturing,06-06-2025,14233.1,14318.15,14172.2,14314.0,112.4,.79,300571152,23126.77,29.2,4.63,1.13
Nifty100 ESG Sector Leaders,06-06-2025,4139.75,4190.2,4128.05,4187.15,47.1,1.14,382118923,32876.01,25.21,3.97,.94
Nifty200 Alpha 30,06-06-2025,25014.45,25336.7,24916.85,25324.45,341.55,1.37,189055176,17268.75,35,6.75,.8
Nifty Midcap150 Momentum 50,06-06-2025,62655.3,63119.75,62415.9,63016.6,553.55,.89,138823292,15608.51,39.47,6.92,.64
Nifty Smallcap250 Quality 50,06-06-2025,27839.65,27877.7,27707.45,27740.0,1.2,0,90202527,5273.23,28.11,5.66,1.25
Nifty Smallcap250 Momentum Quality 100,06-06-2025,47391.2,47552.6,47234.9,47432.6,222.55,.47,290644702,15803.17,30.39,5.55,.91
Nifty MidSmallcap400 Momentum Quality 100,06-06-2025,50819.6,50881.7,50631.65,50781.8,145.05,.29,243771099,19598.8,35.92,8.69,.91
Nifty India Corporate Group Index - Mahindra Group,06-06-2025,-,-,-,34190.71,627.56,1.87,13277429,1051.82,28.71,4.76,1.3
Nifty India Corporate Group Index - Aditya Birla Group,06-06-2025,-,-,-,7714.4,117.53,1.55,429013699,1828.74,123.54,3.7,.45
Nifty India Corporate Group Index - Tata Group,06-06-2025,-,-,-,16679.66,130.87,.79,62873010,4300.8,30.75,7.28,2.26
Nifty500 Momentum 50,06-06-2025,53998.7,54311.8,53774.45,54254.5,430.25,.8,154180682,14859.09,47.4,8.66,.57
Nifty200 Value 30,06-06-2025,12846.7,13007.15,12807.1,12999.4,182.25,1.42,394465624,10518.97,9.63,1.56,3.48
Nifty Top 10 Equal Weight,06-06-2025,9653.6,9756,9626,9736.15,75.95,.79,74588687,11482.41,21.58,4.05,1.27
Nifty500 Multicap Momentum Quality 50,06-06-2025,42959.25,42984.8,42727.4,42930.75,114.65,.27,76257729,13635.91,46.27,13.58,1.1
Nifty Top 15 Equal Weight,06-06-2025,10148.4,10289.75,10122.6,10280.4,128.55,1.27,97212696,16137.84,21.57,3.99,1.3
Nifty Top 20 Equal Weight,06-06-2025,9051.25,9150.3,9018.25,9145.25,95.7,1.06,114374345,18010.28,22.89,4.41,1.36
Nifty500 Quality 50,06-06-2025,19712.6,19768.2,19665.2,19746.45,90.5,.46,140446731,10930.95,26.73,7.44,1.7
Nifty500 Low Volatility 50,06-06-2025,21213.75,21491.9,21105.15,21483.15,322.2,1.52,217680942,14498.59,27.78,4.8,.82
NIFTY100 ESG,06-06-2025,4853.15,4916.75,4837.25,4914.35,65.5,1.35,630628399,40472.16,23.16,3.86,1.19
NIFTY100 Enhanced ESG,06-06-2025,4890.4,4954.45,4874.2,4952.05,66.1,1.35,622693006,40237.88,23.2,3.87,1.19
NIFTY500 Value 50,06-06-2025,13860.15,14011,13824.85,14004.75,175.45,1.27,608283395,14486.63,10.72,1.56,3.28
NIFTY100 Alpha 30,06-06-2025,17862.5,18112.25,17794.65,18098.55,233.15,1.31,200853663,20800.25,27.66,5.75,.85
NIFTY50 Equal Weight,06-06-2025,30903.75,31239.7,30786.2,31231.95,371.95,1.21,335581057,30041.71,24.37,3.61,1.39
Nifty500 Equal Weight,06-06-2025,14340.95,14404.35,14286.5,14389.75,92.9,.65,2917887629,107492.95,31.31,4.23,.85
Nifty 50 Futures Index,06-06-2025,-,-,-,6609.1,61.86,.94,-,-,-,-,-
Nifty 50 Arbitrage,06-06-2025,-,-,-,2508.65,1.32,.05,-,-,-,-,-
Nifty 50 Futures TR Index,06-06-2025,-,-,-,26848.65,255.91,.96,-,-,-,-,-
Nifty India Corporate Group Index - Tata Group 25% Cap,06-06-2025,15386.6,15513.4,15284.6,15500.3,154.35,1.01,50984037,3367.37,32.36,5.93,1.81
Nifty Private Bank,06-06-2025,27319,27893.55,27237.45,27832.5,490.1,1.79,352232390,10556.09,17.73,2.42,.33
Nifty Smallcap 250,06-06-2025,17235.1,17306.25,17167.65,17285.75,112.3,.65,920423111,27277.64,32.89,4.06,.67
Nifty Smallcap 50,06-06-2025,8868,8960.75,8847.25,8941.35,102.05,1.15,332424836,12220.65,34.36,4.42,.69
Nifty Midcap 150,06-06-2025,21551.1,21712.9,21472.25,21688.6,212.15,.99,1316901408,34674.53,34.7,5.34,.79
Nifty Midcap Select,06-06-2025,12999.25,13157.2,12956.5,13146.0,194.3,1.5,564183231,9292.13,53.83,8.83,.75
NIFTY LargeMidcap 250,06-06-2025,16169.85,16316.6,16117.15,16304.0,165.1,1.02,1997464518,80215.31,27.42,4.43,1
NIFTY SME EMERGE,06-06-2025,-,-,-,14604.2,80.32,.55,-,-,34.22,6.21,.06
Nifty Oil & Gas,06-06-2025,11380.7,11455.95,11377.65,11446.9,64.65,.57,41589896,2141.88,13.78,1.71,2.69
Nifty Financial Services 25/50,06-06-2025,28308.2,28954.45,28193.2,28896.55,592.7,2.09,160721430,19242.03,17.76,2.99,.75
