Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,21-04-2026,24374.55,24601.7,24354.9,24576.6,211.75,.87,425826834,37315.7,21.45,3.36,1.26
Nifty Next 50,21-04-2026,70583.15,71050.65,70576.85,70824.45,483.45,.69,296856192,13759.18,20.05,3.78,1.4
Nifty 100,21-04-2026,25276.95,25487.9,25268,25464.0,211.1,.84,722683026,51074.88,21.18,3.42,1.29
Nifty 200,21-04-2026,13881.3,13983.3,13876.7,13971.2,106.9,.77,1927697058,76581.83,23.06,3.62,1.17
Nifty 500,21-04-2026,22898.95,23064.35,22893.6,23042.35,176.55,.77,3149696580,106589.89,23.73,3.63,1.12
Nifty Midcap 50,21-04-2026,17009.85,17128.65,17002.1,17061.25,79.45,.47,386517745,11340.27,36.32,4.65,.62
NIFTY Midcap 100,21-04-2026,59933.1,60338,59895.8,60086.7,295.95,.49,1205014032,25506.96,36.97,4.74,.68
NIFTY Smallcap 100,21-04-2026,17547.1,17711.55,17534.05,17641.5,154.6,.88,533222921,15223.25,29.97,3.44,.68
Nifty50 Dividend Points,21-04-2026,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,21-04-2026,26509.75,26746.1,26493.9,26625.2,102.9,.39,61794407,3561.42,31.48,4.56,1.19
Nifty Bank,21-04-2026,56823.6,57456.3,56696.3,57371.45,789.1,1.39,281413848,12169.87,15.13,1.96,1.03
Nifty Energy,21-04-2026,39280.3,39579.1,39259.6,39337.2,152.5,.39,541736289,12886.78,16.31,2.53,1.72
Nifty Financial Services,21-04-2026,26624.8,26883.2,26569.7,26850.75,313.65,1.18,201762630,16414.24,17.38,2.86,.87
Nifty FMCG,21-04-2026,49685.65,51038,49597.2,50820.1,1264.35,2.55,62635971,4949.85,36.33,8.95,1.61
Nifty IT,21-04-2026,31536.55,31883.85,31415.75,31729.1,143.35,.45,42716424,4285.87,22.38,5.88,3.34
Nifty Media,21-04-2026,1431.55,1452.8,1430,1443.15,13.8,.97,31279864,371.81,30.55,1.52,1.22
Nifty Metal,21-04-2026,12919,12986.6,12816.8,12835.0,5.35,.04,124293369,5658.08,21.77,3.34,1.55
Nifty MNC,21-04-2026,31560.6,31855.45,31486.6,31792.35,431.0,1.37,73304524,8223.62,39.61,8.66,1.5
Nifty Pharma,21-04-2026,22454.1,22540.7,22423.65,22438.45,-18.3,-.08,17554928,2368.82,33.59,4.89,.7
Nifty PSU Bank,21-04-2026,8992.95,9055.95,8966.8,9011.45,71.0,.79,254196179,4462.93,8.88,1.46,2.15
Nifty Realty,21-04-2026,785.2,806.45,785.2,798.75,16.7,2.14,15107348,1595.65,37.79,3.83,.37
Nifty India Consumption,21-04-2026,11449.35,11604.4,11449.3,11589.15,144.3,1.26,176186924,13903.97,38.65,7.82,.97
Nifty Commodities,21-04-2026,10138.1,10189.55,10113.3,10123.6,14.1,.14,257963278,12937.82,17.01,2.41,1.63
Nifty Dividend Opportunities 50,21-04-2026,6234.4,6260.25,6225.55,6254.55,31.65,.51,570462922,19595.62,14.95,2.97,2.73
Nifty Infrastructure,21-04-2026,9298.35,9405.8,9298.2,9352.1,32.35,.35,313799986,14449.93,21.49,3.12,.98
