Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,16-10-2024,25008.55,25093.4,24908.45,24971.3,-86.05,-.34,226774456,24115.83,23.47,3.74,1.2
Nifty Next 50,16-10-2024,75830.4,76093.3,75340.05,75698.15,-161.7,-.21,256592411,13235.02,24.35,4.06,1.4
Nifty 100,16-10-2024,26106.75,26188.7,25987.8,26058.1,-91.0,-.35,483366867,37350.85,24.1,3.81,1.19
Nifty 200,16-10-2024,14230.3,14274.2,14165,14205.5,-46.9,-.33,1174337400,57058.45,26.1,4.01,1.11
Nifty 500,16-10-2024,23702.85,23768.15,23588.8,23673.15,-62.55,-.26,1737703457,86884.17,27.2,4.12,1.06
Nifty Midcap 50,16-10-2024,16661.95,16737.6,16595.7,16659.05,0.1,0,551660436,10199.59,49.54,5.96,.68
NIFTY Midcap 100,16-10-2024,59520.75,59700.3,59234.95,59451.85,-141.4,-.24,690970533,19707.6,44.05,5.44,.71
NIFTY Smallcap 100,16-10-2024,19279.25,19346.85,19178.25,19304.9,2.85,.01,271355696,17627.38,36.43,4.35,.94
Nifty50 Dividend Points,16-10-2024,-,-,-,194.25,0.0,-,-,-,-,-,-
Nifty Auto,16-10-2024,26178.25,26197.25,25783.25,25909.0,-333.6,-1.27,41133197,4269.97,25.38,5.31,.84
Nifty Bank,16-10-2024,51711.2,52031.6,51711.2,51801.05,-104.95,-.2,94424408,5779.85,14.54,2.32,.96
Nifty Energy,16-10-2024,41259.1,41550.2,41053.05,41304.65,21.05,.05,113691367,6137.77,15.03,2.34,2.25
Nifty Financial Services,16-10-2024,23805.35,23983.75,23805.3,23882.35,18.9,.08,63875340,9343.87,17.15,2.89,.9
Nifty FMCG,16-10-2024,62560.15,62572.05,62081.25,62373.25,-234.45,-.37,23507423,2384.62,49.83,12.14,1.68
Nifty IT,16-10-2024,42605.35,42691.15,42168.7,42230.7,-500.6,-1.17,17139081,3644.72,34.53,8.69,1.87
Nifty Media,16-10-2024,2064.4,2071.95,2033.55,2059.35,-9.95,-.48,28452800,668.5,-,2.41,.38
