Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,23-06-2026,24071.3,24135.5,23784.95,23824.1,-278.8,-1.16,340090069,28997.57,20.55,3.14,1.39
Nifty Next 50,23-06-2026,73072.75,73072.75,71953.7,72068.75,-1004.45,-1.37,523494943,16724.07,18.79,3.49,1.26
Nifty 100,23-06-2026,25182.55,25230.45,24867.45,24907.8,-301.75,-1.2,863585012,45721.64,20.2,3.2,1.36
Nifty 200,23-06-2026,13967.15,13991.45,13790.85,13812.0,-163.2,-1.17,1828099945,66340.34,21.59,3.43,1.21
Nifty 500,23-06-2026,23260,23302.25,22976.95,23010.95,-250.9,-1.08,2948925482,98969.11,22.71,3.5,1.14
Nifty Midcap 50,23-06-2026,17818.05,17853.8,17611.9,17639.8,-160.65,-.9,379954059,12415.21,32.92,4.78,.59
NIFTY Midcap 100,23-06-2026,62817.45,62909.55,61986.85,62070.35,-658.75,-1.05,964514933,20618.7,29.78,4.82,.6
NIFTY Smallcap 100,23-06-2026,18942.35,19001.9,18742.8,18805.9,-91.1,-.48,703153509,17227.63,31.82,3.65,.63
Nifty50 Dividend Points,23-06-2026,-,-,-,113.99,0.0,-,-,-,-,-,-
Nifty Auto,23-06-2026,26718.65,26732.65,26437.55,26496.5,-206.95,-.77,63519697,4610.29,30.56,4.58,1.09
Nifty Bank,23-06-2026,57886.75,57970.9,57078.45,57183.75,-751.85,-1.3,267194713,8078.02,14.38,1.86,1.02
Nifty Energy,23-06-2026,40850.05,40879.05,40203.7,40268.7,-505.1,-1.24,353677581,9376.3,14.99,2.45,1.85
Nifty Financial Services,23-06-2026,26563.85,26691.5,26282.6,26329.3,-256.25,-.96,114831350,10735.73,16.95,2.75,1.12
Nifty FMCG,23-06-2026,49269.8,49514.6,49000.85,49059.05,-296.05,-.6,28029544,1881.68,33.76,8.48,.93
Nifty IT,23-06-2026,27416.45,27428.5,26955.5,27012.05,-616.5,-2.23,60426466,5824.14,18.27,4.95,3.35
Nifty Media,23-06-2026,1541.4,1550.2,1509.3,1514.4,-22.55,-1.47,44308069,521.75,35.94,1.6,1.16
Nifty Metal,23-06-2026,12987.7,12987.7,12617.75,12669.1,-422.1,-3.22,446323079,10151.02,16.98,2.8,1.8
Nifty MNC,23-06-2026,32764.35,32795.2,32421.55,32479.35,-332.3,-1.01,363725967,10797.3,36.93,8,1.53
Nifty Pharma,23-06-2026,24863.9,25294.5,24838.8,24989.95,227.05,.92,127339062,6873.79,38.19,5.24,.72
Nifty PSU Bank,23-06-2026,8778.95,8782.2,8576.9,8591.0,-172.9,-1.97,118531561,2606.26,8.22,1.21,.98
Nifty Realty,23-06-2026,814.75,832.3,803.75,806.05,-9.1,-1.12,14682387,1471.04,35.35,3.81,.37
Nifty India Consumption,23-06-2026,11595.55,11642.9,11497.65,11509.95,-97.9,-.84,99990161,10147.96,38.34,7.57,.74
Nifty Commodities,23-06-2026,10103.55,10108.35,9939.25,9957.8,-166.2,-1.64,527047522,14573.01,14.41,2.2,1.79
Nifty Dividend Opportunities 50,23-06-2026,5850.25,5850.9,5764,5772.1,-94.35,-1.61,745804175,21029.92,12.91,2.54,2.52
Nifty Infrastructure,23-06-2026,9555.05,9573.15,9442.5,9460.4,-90.7,-.95,229533396,11092.79,21.49,3.01,1.07
Nifty PSE,23-06-2026,10276.85,10284.7,10125.75,10137.65,-109.15,-1.07,196400295,5122.56,10.31,2.03,2.76
Nifty Services Sector,23-06-2026,30633.3,30719.75,30263.9,30317.45,-371.95,-1.21,224051828,18581.66,19.46,3.14,1.55
Nifty50 Shariah,23-06-2026,4189,4190.65,4142.55,4147.2,-63.55,-1.51,82390633,9116.86,23.03,3.94,1.97
Nifty500 Shariah,23-06-2026,6932.25,6942.05,6858.45,6865.85,-74.3,-1.07,526010807,32222.43,28.32,4.67,1.26
Nifty Low Volatility 50,23-06-2026,24349.05,24458.7,24199.75,24226.2,-125.75,-.52,201893743,22741.13,28.26,4.75,1.24
Nifty Alpha 50,23-06-2026,54875,54941.4,54049.8,54178.55,-616.7,-1.13,521356294,20901.59,26.96,4.29,.6
Nifty High Beta 50,23-06-2026,4383.1,4385.75,4295.4,4303.55,-74.35,-1.7,1039043079,19978.9,25.5,3.78,.81
Nifty100 Equal Weight,23-06-2026,34686.95,34714.6,34200.05,34252.95,-445.65,-1.28,863585012,45721.64,21.98,3.58,1.18
