Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,03-07-2025,25505.1,25587.5,25384.35,25405.3,-48.1,-.19,293428797,24531.7,22.87,3.68,1.25
Nifty Next 50,03-07-2025,68800.85,68889.8,68305.35,68355.85,-373.95,-.54,210245149,11184,21.91,3.93,1.36
Nifty 100,03-07-2025,26116.6,26173.6,25984.4,26003.0,-65.05,-.25,503673946,35715.71,22.7,3.72,1.27
Nifty 200,03-07-2025,14244.65,14275.35,14178.35,14188.6,-28.75,-.2,1799512787,54861.84,24.05,3.9,1.19
Nifty 500,03-07-2025,23591.8,23647.1,23503.55,23521.85,-25.4,-.11,2357618494,76882.5,25.24,4,1.11
Nifty Midcap 50,03-07-2025,16884.75,16941.1,16838.65,16860.8,20.6,.12,960352205,9517.08,40.51,5.7,.75
NIFTY Midcap 100,03-07-2025,59798.6,59955.5,59613.55,59683.25,16.0,.03,1295838841,19146.13,33.63,5.03,.81
NIFTY Smallcap 100,03-07-2025,19015.05,19080.9,18960.1,19027.05,49.95,.26,251492959,11040.18,33.61,4.52,.69
Nifty50 Dividend Points,03-07-2025,-,-,-,122.03,0.0,-,-,-,-,-,-
Nifty Auto,03-07-2025,23946.85,24202.3,23933.6,24004.95,105.1,.44,33710411,4271.79,25.05,4.74,1.05
Nifty Bank,03-07-2025,57050.4,57193.25,56764.1,56791.95,-207.25,-.36,149891510,7232.62,15.06,2.34,.95
Nifty Energy,03-07-2025,36442.25,36555.25,36276,36362.8,31.55,.09,294481152,7555.32,16.18,2.56,2.26
Nifty Financial Services,03-07-2025,26902.95,26954.1,26719.35,26734.9,-126.8,-.47,89668646,9417.08,17.71,3.03,.88
Nifty FMCG,03-07-2025,54570.95,54802.9,54379.5,54515.75,76.05,.14,30799841,2468.09,41.15,10.4,2.03
Nifty IT,03-07-2025,39009.85,39203.7,38803.75,38854.3,-24.8,-.06,22475281,3158.15,28.74,7.58,2.62
Nifty Media,03-07-2025,1734.7,1754.95,1717.5,1750.15,25.0,1.45,26300994,552.09,604.15,2.07,.81
Nifty Metal,03-07-2025,9720.7,9786.15,9610.9,9623.45,-75.75,-.78,166493613,3898.8,19.55,2.69,2.07
Nifty MNC,03-07-2025,28883.45,29012.05,28851.8,28882.05,40.7,.14,34552060,4532,34.15,8.4,1.8
Nifty Pharma,03-07-2025,22155.75,22238.35,22103.95,22204.25,93.45,.42,26139738,3202.74,31.85,5.4,.74
Nifty PSU Bank,03-07-2025,7202.55,7221.05,7121.15,7129.9,-63.75,-.89,129374410,1895.04,7.23,1.17,2.55
Nifty Realty,03-07-2025,971.15,974.15,962.25,963.15,-6.9,-.71,10796939,1173.45,47.9,5.49,.25
Nifty India Consumption,03-07-2025,11859.4,11911.55,11827.9,11835.2,-10.75,-.09,81928698,10426.37,41.48,8.99,1.02
Nifty Commodities,03-07-2025,9037.95,9079.5,8987.75,8997.0,-26.05,-.29,225946271,8850.08,18.65,2.33,2.02
Nifty Dividend Opportunities 50,03-07-2025,6112.9,6126.05,6086,6091.35,-4.65,-.08,312435534,11556.07,15.12,3,3.15
Nifty Infrastructure,03-07-2025,9447.35,9472.05,9388.85,9399.7,-29.35,-.31,137006661,9713.02,24.44,3.36,1.03
Nifty PSE,03-07-2025,10064.5,10102.05,10025.8,10048.35,15.65,.16,168322908,4805.39,12.89,2.25,3.06
Nifty Services Sector,03-07-2025,33584.25,33634.3,33383.5,33405.8,-115.35,-.34,175600031,16442.87,21.53,3.83,1.21
Nifty50 Shariah,03-07-2025,4832.35,4853.55,4820.3,4826.8,3.45,.07,34710808,5215.6,26.86,5.67,2.3
Nifty500 Shariah,03-07-2025,7229,7250.65,7214.75,7220.3,6.55,.09,477723538,25935.69,31.73,5.56,1.41
Nifty Low Volatility 50,03-07-2025,25400.8,25473.25,25322.6,25339.85,-13.75,-.05,125681869,19369.83,34.97,6.03,1.12
Nifty Alpha 50,03-07-2025,53673.55,53833.9,53466.95,53626.55,6.6,.01,188542065,15570.37,51.24,8.75,.28
Nifty High Beta 50,03-07-2025,3868.1,3877.7,3845.35,3851.25,-8.75,-.23,1128332991,13255.96,16.86,2.53,1.47
Nifty100 Equal Weight,03-07-2025,33238.65,33292.5,33073,33091.9,-96.7,-.29,503673946,35715.71,23.56,3.77,1.28
Nifty100 Liquid 15,03-07-2025,7195.1,7210.05,7148.15,7156.55,-34.0,-.47,151732837,9855.27,20.59,3.19,.98
Nifty CPSE,03-07-2025,6626,6638.6,6582.5,6607.2,11.4,.17,88975288,2812.54,13.88,2.35,3.15
Nifty50 Value 20,03-07-2025,12936.1,12981.9,12895.4,12904.4,5.55,.04,116628098,9202.42,17.22,3.23,2.35
Nifty Midcap Liquid 15,03-07-2025,15841.75,15887.25,15759,15803.2,13.85,.09,111733281,3904.05,40.54,6.71,.54
Nifty Shariah 25,03-07-2025,8342.05,8379.15,8325.55,8334.8,12.05,.14,52391182,6512.28,26.94,5.52,2.13
India VIX,03-07-2025,12.445,12.66,12.19,12.39,-0.06,-.48,-,-,-,-,-
Nifty Growth Sectors 15,03-07-2025,11587.1,11670.4,11575.3,11586.2,28.75,.25,26099640,5051.81,34.6,7.08,1.49
Nifty50 TR 1x Inverse,03-07-2025,164.6,165.4,164.1,165.25,0.35,.21,-,-,-,-,-
Nifty50 TR 2x Leverage,03-07-2025,21369.75,21506.95,21168.25,21202.8,-83.45,-.39,-,-,-,-,-
Nifty50 PR 1x Inverse,03-07-2025,200.15,201.1,199.5,200.95,0.4,.2,-,-,-,-,-
Nifty50 PR 2x Leverage,03-07-2025,14426.8,14519.45,14290.8,14314.1,-56.35,-.39,-,-,-,-,-
NIFTY100 Quality 30,03-07-2025,5668.2,5703.2,5662.7,5672.45,18.05,.32,80274821,10364.01,29.61,7.44,1.88
Nifty Midcap150 Momentum 50,03-07-2025,63576.55,63830.4,63414.3,63492.4,19.4,.03,178423723,9865.74,46.73,7.7,.5
Nifty Smallcap250 Quality 50,03-07-2025,28133.7,28199.55,28039.6,28140.3,68.8,.25,49459660,3050.15,28.33,5.69,1.2
Nifty Smallcap250 Momentum Quality 100,03-07-2025,48176.05,48392.75,48075.25,48276.75,206.5,.43,129704005,8676.89,29.81,5.24,.82
Nifty MidSmallcap400 Momentum Quality 100,03-07-2025,50918.75,51156.55,50812.6,50991.35,215.6,.42,234258711,14980.62,36,8.27,.78
Nifty500 Momentum 50,03-07-2025,54688.85,54786.2,54381.3,54438.75,-263.55,-.48,114435730,13220.14,43.8,8.37,.29
Nifty200 Value 30,03-07-2025,13306.15,13343.95,13221.8,13236.7,-42.65,-.32,345988778,8335.86,9.88,1.53,3.27
Nifty Top 10 Equal Weight,03-07-2025,9901.75,9923.65,9843.8,9853.15,-35.25,-.36,69560410,10454.63,21.9,4.16,1.35
Nifty500 Multicap Momentum Quality 50,03-07-2025,43566.3,43794.2,43501.85,43570.15,104.8,.24,132895817,10700.05,43.21,11.15,.98
Nifty Top 15 Equal Weight,03-07-2025,10385.95,10422.7,10338.65,10347.2,-28.35,-.27,87956437,13407.19,21.73,4.05,1.34
Nifty Top 20 Equal Weight,03-07-2025,9282.5,9316.9,9242.15,9251.25,-20.2,-.22,103093586,15227.93,23.03,4.36,1.31
Nifty500 Quality 50,03-07-2025,19974.25,20092.1,19938,20012.15,89.3,.45,160647836,7834.96,30.96,9.11,1.55
Nifty500 Low Volatility 50,03-07-2025,21942,22008.2,21889.95,21908.7,-14.15,-.06,107109746,9177.15,29.99,5.25,.94
