Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,28-03-2025,23600.4,23649.2,23450.2,23519.35,-72.6,-.31,387455531,29156.37,21.37,3.48,1.32
Nifty Next 50,28-03-2025,63471.8,63916.9,62917.75,63043.2,-399.35,-.63,267443251,12108.43,21.48,3.94,1.44
Nifty 100,28-03-2025,24154.15,24220.75,23992.8,24057.35,-87.7,-.36,654898782,41264.8,21.39,3.55,1.34
Nifty 200,28-03-2025,13043.2,13085.15,12945.35,12982.75,-46.45,-.36,2164712012,68031.05,22.64,3.68,1.27
Nifty 500,28-03-2025,21439.2,21514.1,21277.9,21339.55,-68.4,-.32,2888247046,90757.05,23.54,3.73,1.21
Nifty Midcap 50,28-03-2025,14669.8,14770.75,14490.45,14561.6,-30.1,-.21,1218300183,19409.21,39.22,5.17,.83
NIFTY Midcap 100,28-03-2025,52083.15,52473.2,51447.4,51672.25,-167.15,-.32,1509813230,26766.25,32.49,4.55,.91
NIFTY Smallcap 100,28-03-2025,16197.6,16350.85,16046.1,16095.7,-24.15,-.15,353577575,12576.06,28.92,3.93,1.08
Nifty50 Dividend Points,28-03-2025,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,28-03-2025,21570.2,21577.2,21200.75,21295.5,-221.25,-1.03,60036856,5222.18,20.82,4.51,1.03
Nifty Bank,28-03-2025,51608.4,51839.1,51335.35,51564.85,-11.0,-.02,171152969,7586.83,13.18,2.2,1.01
Nifty Energy,28-03-2025,33771.45,34075,33481.45,33571.6,-111.35,-.33,486985903,11188.6,15.7,2.47,2.33
Nifty Financial Services,28-03-2025,25034.05,25199.05,24937.35,25074.9,63.75,.25,104386075,9988.69,16.8,2.9,.86
Nifty FMCG,28-03-2025,53198.8,54150.9,53198.8,53589.8,313.2,.59,31816627,2870.31,42.81,10.26,2.04
Nifty IT,28-03-2025,37376.6,37540.8,36767.25,36886.15,-662.15,-1.76,28800180,3788.73,27.87,7.64,2.81
Nifty Media,28-03-2025,1513.55,1525.35,1469.65,1475.25,-34.65,-2.29,60419014,287.64,-,1.2,1.14
Nifty Metal,28-03-2025,9172.9,9235.2,9045.1,9092.5,-67.3,-.73,114287248,3117.44,21.16,2.64,2.28
Nifty MNC,28-03-2025,26338.5,26535,26141.15,26241.5,-54.2,-.21,32563855,4255.62,33.39,8.47,1.99
Nifty Pharma,28-03-2025,21277.3,21313.35,20999.95,21137.45,-137.7,-.65,16678270,2191.33,32.02,5.18,.66
Nifty PSU Bank,28-03-2025,6293.5,6371.65,6242.1,6263.4,-32.75,-.52,166231243,1996.2,6.62,1.22,2.36
Nifty Realty,28-03-2025,866.3,868.75,848.55,851.3,-12.25,-1.42,8579913,852.6,41.08,4.92,.42
Nifty India Consumption,28-03-2025,10773.85,10842.55,10664.75,10720.4,-51.25,-.48,141203420,11835.81,40.8,8.37,1.06
Nifty Commodities,28-03-2025,8532.95,8584.3,8443.45,8468.7,-46.2,-.54,269692408,9650.56,18.52,2.25,2.13
Nifty Dividend Opportunities 50,28-03-2025,5889.35,5915.8,5833.25,5844.6,-44.25,-.75,464225326,13675.49,14.7,3.01,3.29
Nifty Infrastructure,28-03-2025,8505.95,8539.75,8399.3,8457.8,-24.1,-.28,200982846,10895.4,23.5,3.05,1.09
Nifty PSE,28-03-2025,9393.6,9485.35,9327.4,9342.7,-17.65,-.19,304974654,7693.13,12.17,2.09,3.31
Nifty Services Sector,28-03-2025,31247.85,31312.1,31038.7,31163.35,-95.85,-.31,256261098,17528.94,20.38,3.66,1.29
Nifty50 Shariah,28-03-2025,4662.15,4690.9,4631.45,4644.45,-21.45,-.46,61282849,6132.18,25.82,5.54,2.35
Nifty500 Shariah,28-03-2025,6723.8,6767.85,6676.2,6697.7,-22.2,-.33,484912883,25944.49,30.18,5.19,1.59
Nifty Low Volatility 50,28-03-2025,23574.2,23708.8,23483.95,23559.75,-68.65,-.29,142316039,19782.94,33.24,5.74,1.18
Nifty Alpha 50,28-03-2025,46647.35,46806.25,45826.65,46004.55,-308.0,-.67,400297649,29261.26,41.36,7.31,.64
Nifty High Beta 50,28-03-2025,3351.55,3382.2,3302.8,3310.6,-28.7,-.86,1304949203,14006.79,15.84,2.16,1.57
Nifty100 Equal Weight,28-03-2025,30492.55,30637.2,30204.1,30282.0,-197.75,-.65,654898782,41264.8,22.31,3.68,1.32
Nifty100 Liquid 15,28-03-2025,6542.75,6577.45,6462.9,6512.0,-23.75,-.36,187293256,11787.85,18.56,3.08,1.05
Nifty CPSE,28-03-2025,6171.4,6230.4,6122.95,6139.8,-10.35,-.17,186367537,3599.42,13.02,2.22,3.38
Nifty50 Value 20,28-03-2025,12585.85,12616.5,12477.8,12505.8,-100.15,-.79,151535249,10340.57,16.26,3.28,2.39
Nifty Midcap Liquid 15,28-03-2025,13135.5,13255.55,12971.45,13058.05,68.35,.53,189204407,13257.28,35.43,5.71,.59
Nifty Shariah 25,28-03-2025,7887.15,7965.1,7855.35,7879.35,-28.25,-.36,86292560,7456.35,26.24,5.28,2.21
