Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,24-06-2026,23795.8,24090.05,23789.25,24021.65,197.55,.83,395578738,31302.8,20.72,3.17,1.37
Nifty Next 50,24-06-2026,72021.75,72339.05,71693.65,72060.5,-8.25,-.01,303566273,11829.48,18.75,3.49,1.21
Nifty 100,24-06-2026,24880.7,25148.35,24872.7,25075.95,168.15,.68,699145011,43132.28,20.33,3.22,1.34
Nifty 200,24-06-2026,13799.1,13930.05,13777.6,13889.45,77.45,.56,1773004692,64982.47,21.71,3.45,1.2
Nifty 500,24-06-2026,22992.9,23183.6,22941.05,23126.3,115.35,.5,2783892155,92708.44,22.82,3.51,1.12
Nifty Midcap 50,24-06-2026,17637.25,17749.9,17552.15,17690.3,50.5,.29,464604319,12226.71,33.02,4.8,.58
NIFTY Midcap 100,24-06-2026,62049.95,62336.4,61646.8,62135.25,64.9,.1,1073859681,21850.19,29.81,4.83,.6
NIFTY Smallcap 100,24-06-2026,18792.6,18894.8,18665.1,18879.3,73.4,.39,590335297,14635.44,31.94,3.59,.63
Nifty50 Dividend Points,24-06-2026,-,-,-,113.99,0.0,-,-,-,-,-,-
Nifty Auto,24-06-2026,26438.15,26558.45,26241.6,26384.35,-112.15,-.42,59712073,4344.62,30.43,4.56,1.1
Nifty Bank,24-06-2026,57074.9,58256.35,57074.9,58150.35,966.6,1.69,283234744,10087.13,14.63,1.89,1
Nifty Energy,24-06-2026,40215.95,40298.05,39828.9,39908.4,-360.3,-.89,338432174,9123.98,14.86,2.42,1.87
Nifty Financial Services,24-06-2026,26277.55,26785.4,26277.55,26736.0,406.7,1.54,134208453,12752.77,17.21,2.79,1.1
Nifty FMCG,24-06-2026,49102.2,49238.5,48901,49085.1,26.05,.05,27923815,2078.84,33.77,8.48,.93
Nifty IT,24-06-2026,27046.4,27705.95,27036.1,27566.7,554.65,2.05,85445480,5883.59,18.65,5.05,3.28
Nifty Media,24-06-2026,1515.05,1521.85,1498.95,1519.3,4.9,.32,33024466,375.47,36.06,1.6,1.15
Nifty Metal,24-06-2026,12611.95,12712.45,12497.2,12618.75,-50.35,-.4,163893232,5231.64,16.79,2.78,1.67
Nifty MNC,24-06-2026,32483.5,32520.05,32174.35,32247.1,-232.25,-.72,65060612,5648.77,36.49,7.92,1.45
Nifty Pharma,24-06-2026,25052.75,25222.9,24999.5,25018.95,29.0,.12,53395068,3776.37,38.24,5.25,.72
Nifty PSU Bank,24-06-2026,8577.7,8676.8,8552.8,8628.2,37.2,.43,99763592,2438.46,8.26,1.21,.97
Nifty Realty,24-06-2026,804.95,824.8,801.3,823.55,17.5,2.17,11186673,1083.38,36.12,3.89,.36
Nifty India Consumption,24-06-2026,11498.8,11551.85,11448.4,11509.2,-0.75,-.01,99242259,11688.41,38.34,7.57,.74
Nifty Commodities,24-06-2026,9937.7,9984.7,9879.7,9944.7,-13.1,-.13,263632707,8860.68,14.35,2.19,1.74
Nifty Dividend Opportunities 50,24-06-2026,5767.8,5823.15,5757.75,5798.8,26.7,.46,572424606,17808.62,12.95,2.55,2.48
Nifty Infrastructure,24-06-2026,9446.95,9497.7,9410.9,9463.1,2.7,.03,223878563,11366.87,21.49,3.01,1.07
Nifty PSE,24-06-2026,10129.65,10168.2,10070.55,10089.3,-48.35,-.48,270194439,5436.83,10.26,2.02,2.78
Nifty Services Sector,24-06-2026,30286.6,30789.85,30286.5,30720.2,402.75,1.33,276878976,21506.69,19.72,3.18,1.53
Nifty50 Shariah,24-06-2026,4153,4200.35,4153,4185.25,38.05,.92,69388564,7970.49,23.24,3.98,1.95
Nifty500 Shariah,24-06-2026,6867.8,6895.3,6841.8,6877.3,11.45,.17,539838483,28169.86,28.36,4.67,1.26
Nifty Low Volatility 50,24-06-2026,24227.85,24382.65,24184.45,24326.05,99.85,.41,234717784,23266.14,28.37,4.77,1.23
Nifty Alpha 50,24-06-2026,54062.9,54150.15,53500.85,53922.25,-256.3,-.47,243203549,16248.23,26.81,4.27,.58
Nifty High Beta 50,24-06-2026,4298.75,4326.35,4266.5,4313.55,10.0,.23,830010779,14826.12,25.54,3.79,.8
Nifty100 Equal Weight,24-06-2026,34218.95,34422.15,34095.95,34322.0,69.05,.2,699145011,43132.28,22.02,3.59,1.17
Nifty100 Liquid 15,24-06-2026,7359.05,7446.7,7337.15,7411.4,39.65,.54,139439299,12688.92,24.45,3.19,.89
Nifty CPSE,24-06-2026,6817.95,6845.15,6735.6,6748.85,-71.65,-1.05,99960573,2349.75,12.87,2.18,2.74
Nifty50 Value 20,24-06-2026,11899.75,12053.95,11899.7,12013.1,107.05,.9,196454100,13172.75,15.74,2.67,1.7
Nifty Midcap Liquid 15,24-06-2026,16410.35,16558.6,16348.2,16488.2,60.9,.37,247977544,5863.7,39.48,5.42,.48
Nifty Shariah 25,24-06-2026,7686,7738.3,7679.8,7713.2,27.35,.36,61881537,7135,26.32,4.74,1.88
India VIX,24-06-2026,13.9425,14.3025,13.295,13.39,-0.56,-4,-,-,-,-,-
Nifty Growth Sectors 15,24-06-2026,10639.95,10747.6,10619.3,10704.3,83.25,.78,32154945,6519.32,27.75,6.75,1.63
Nifty50 TR 1x Inverse,24-06-2026,180.65,180.7,178.45,178.95,-1.5,-.83,-,-,-,-,-
Nifty50 TR 2x Leverage,24-06-2026,17775.45,18215.25,17767.15,18113.35,293.0,1.64,-,-,-,-,-
Nifty50 PR 1x Inverse,24-06-2026,221.95,222,219.2,219.85,-1.8,-.81,-,-,-,-,-
Nifty50 PR 2x Leverage,24-06-2026,11738.45,12028.85,11732.95,11961.55,193.5,1.64,-,-,-,-,-
NIFTY100 Quality 30,24-06-2026,5444.3,5463.6,5432.65,5440.65,-9.5,-.17,127342862,9981.03,28.44,7.25,1.72
Nifty Capital Goods,24-06-2026,-,-,-,17357.26,-259.93,-1.48,166536285,10736.36,49.38,10.82,.5
Nifty Telecommunications,24-06-2026,-,-,-,3720.59,-28.42,-.76,483230230,3649.88,15.59,40.04,.32
Nifty Sugar & Ethanol,24-06-2026,-,-,-,2434.0,12.36,.51,11449809,109.74,26.57,2.25,.5
Nifty Total Market Momentum Quality 50,24-06-2026,44598,44639,44056.65,44133.0,-563.35,-1.26,96183117,10505.43,34.29,8.26,.78
Nifty100 Low Volatility 30,24-06-2026,19661,19824.6,19651.55,19777.2,110.9,.56,195636180,18784.62,27.09,4.6,1.34
NIFTY Quality Low-Volatility 30,24-06-2026,16188,16299.45,16169.1,16258.05,69.75,.43,115060966,13068.66,26.34,5.81,1.74
NIFTY Alpha Quality Low-Volatility 30,24-06-2026,22524.15,22618.7,22470.4,22542.75,21.9,.1,72336840,9972.6,32.21,7.53,1.3
NIFTY Alpha Quality Value Low-Volatility 30,24-06-2026,19920.55,20058.7,19908.05,19988.2,57.35,.29,208706325,16375.18,21.33,4.44,1.84
NIFTY200 Quality 30,24-06-2026,19809,19863.95,19752.15,19779.95,-46.8,-.24,61129701,9338.61,28.88,9.42,1.72
NIFTY Midcap150 Quality 50,24-06-2026,24298.65,24370.3,24205.2,24234.1,-53.15,-.22,88478377,8334.69,32.21,7.8,1.14
Nifty200 Momentum 30,24-06-2026,30928.95,31299.55,30780.45,31167.7,171.05,.55,204517694,13397.32,27.04,4.45,.69
Nifty India Manufacturing,24-06-2026,15934.25,15966.45,15830.45,15885.2,-70.6,-.44,345001699,21224.25,26.6,4.33,1.02
