Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,12-11-2025,25834.3,25934.55,25781.15,25875.8,180.85,.7,343864299,30633.19,22.52,3.54,1.29
Nifty Next 50,12-11-2025,69977.45,70133.35,69724.15,69807.95,82.85,.12,239578233,11647.56,20.39,3.63,1.39
Nifty 100,12-11-2025,26475.05,26558,26427.7,26500.0,160.0,.61,583442532,42280.75,22.14,3.55,1.31
Nifty 200,12-11-2025,14447.45,14495.75,14425.35,14467.15,92.0,.64,2181382901,65355.48,23.63,3.68,1.22
Nifty 500,12-11-2025,23796.95,23874.85,23766.2,23836.9,154.25,.65,2814135378,88500.35,24.3,3.71,1.15
Nifty Midcap 50,12-11-2025,17289.6,17385.9,17276.7,17339.65,143.05,.83,336877989,15563.72,34.13,4.53,.85
NIFTY Midcap 100,12-11-2025,60704.7,61011,60641.25,60902.3,475.3,.79,1597940369,23074.73,33.88,4.35,.83
NIFTY Smallcap 100,12-11-2025,18174.35,18265.2,18155.35,18250.45,149.05,.82,332933963,11603.85,31.1,3.94,.74
Nifty50 Dividend Points,12-11-2025,-,-,-,248.7,0.0,-,-,-,-,-,-
Nifty Auto,12-11-2025,27226.8,27554.2,27137.8,27485.15,336.9,1.24,105955771,5191.66,27.89,4.97,1.08
Nifty Bank,12-11-2025,58505.35,58507.7,58171.85,58274.65,136.5,.23,149265514,7073.06,16.28,2.19,1
Nifty Energy,12-11-2025,36219.15,36377,36166.6,36287.9,218.05,.6,313983718,8617.96,15.26,2.36,2.22
Nifty Financial Services,12-11-2025,27472.55,27476.7,27297.15,27337.35,58.05,.21,109817924,13062.54,17.89,2.85,.95
Nifty FMCG,12-11-2025,55629.95,55639.75,55327.25,55529.2,6.15,.01,28167801,2492.03,40.66,10.01,2
Nifty IT,12-11-2025,36299.4,36911.95,36290.8,36855.4,738.5,2.04,40358478,5844.14,26.1,6.9,3.03
Nifty Media,12-11-2025,1474.95,1492.55,1470.85,1487.45,14.4,.98,26375485,367.82,55.9,1.53,1.32
Nifty Metal,12-11-2025,10593.65,10624.3,10532.95,10542.55,-16.55,-.16,135010471,5094.73,19.79,2.75,1.65
Nifty MNC,12-11-2025,30329.6,30335.45,30224.9,30285.1,35.1,.12,44230278,3935.44,36.57,8.69,1.64
Nifty Pharma,12-11-2025,22453.25,22616.65,22333.85,22593.4,223.8,1,34648625,3635.33,33.76,4.89,.68
Nifty PSU Bank,12-11-2025,8346.4,8407.05,8327.45,8359.75,51.8,.62,120506909,2215.13,8.55,1.36,2.24
Nifty Realty,12-11-2025,945.15,950.75,935.7,937.95,-4.65,-.49,8568852,941.86,43.87,4.53,.32
Nifty India Consumption,12-11-2025,12370.1,12398.7,12335.8,12389.5,69.4,.56,132999668,12067.47,41.2,8.36,1.05
Nifty Commodities,12-11-2025,9381.8,9406.35,9353.9,9363.5,13.55,.14,205928822,8785.26,16.8,2.23,1.84
Nifty Dividend Opportunities 50,12-11-2025,6209.5,6238.3,6207.05,6226.55,41.0,.66,359869127,14336.7,14.7,2.91,3.11
Nifty Infrastructure,12-11-2025,9547.5,9586.25,9535.3,9559.65,65.15,.69,244368141,11621.28,21.59,3.1,1.07
Nifty PSE,12-11-2025,10025.8,10071.25,9976.55,9995.25,6.1,.06,195216456,6118.67,11.45,2.02,3.16
Nifty Services Sector,12-11-2025,33496.4,33597.35,33441.7,33499.95,226.3,.68,243428936,24111.45,21.49,3.53,1.34
Nifty50 Shariah,12-11-2025,4686.65,4758.4,4682.15,4752.0,87.0,1.86,104460867,10120.02,24.31,4.72,2.08
Nifty500 Shariah,12-11-2025,7142.05,7205.6,7134.6,7200.9,86.95,1.22,596457956,30871.42,27.93,4.95,1.41
Nifty Low Volatility 50,12-11-2025,25471.15,25554.95,25404.45,25538.7,161.55,.64,151876280,21546.17,32.86,5.34,1.25
