Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,20-08-2024,24648.9,24734.3,24607.2,24698.85,126.2,.51,238318940,25478.73,22.95,4.16,1.26
Nifty Next 50,20-08-2024,73628.8,74002.75,73314.95,73971.3,600.55,.82,397686854,16061.8,26.3,5.03,1.11
Nifty 100,20-08-2024,25718.35,25801.95,25673.9,25782.35,144.15,.56,649999781,42589.27,23.85,4.32,1.19
Nifty 200,20-08-2024,13993.4,14038.9,13966.15,14030.8,84.75,.61,1439849605,62983.26,25.75,4.43,1.11
Nifty 500,20-08-2024,23223.6,23292.7,23175.4,23280.35,140.6,.61,2172698945,91984.43,26.55,4.5,1.07
Nifty Midcap 50,20-08-2024,16349.7,16408.3,16293.45,16394.95,134.9,.83,619258619,9708.84,47.43,5.66,.71
NIFTY Midcap 100,20-08-2024,58037.3,58282.65,57828.3,58247.85,486.95,.84,789849824,20393.99,43.57,5.11,.68
NIFTY Smallcap 100,20-08-2024,18848.75,18868.75,18761.75,18839.95,87.25,.47,409418144,15868.85,29.55,4.37,.85
Nifty50 Dividend Points,20-08-2024,-,-,-,192.05,0.0,-,-,-,-,-,-
Nifty Auto,20-08-2024,25480.75,25538.45,25377.6,25500.0,131.25,.52,67207879,5128.93,23.57,5.58,.88
Nifty Bank,20-08-2024,50417.25,51025.6,50398.6,50803.15,434.8,.86,144159443,8269,14.74,2.82,.91
Nifty Energy,20-08-2024,43532.7,43592,43369.8,43527.65,195.3,.45,92445158,4547.16,16,2.77,2.27
Nifty Financial Services,20-08-2024,22943.8,23247.2,22926.8,23178.15,255.45,1.11,105824387,11974.22,16.51,3.38,.92
Nifty FMCG,20-08-2024,62381.2,62473.05,61996.6,62240.6,-85.45,-.14,23749845,2212.51,48.86,12.11,1.72
Nifty IT,20-08-2024,41421.25,41746.55,41366.2,41572.8,335.95,.81,17904856,3695.07,33.97,8.64,1.87
Nifty Media,20-08-2024,2088.2,2090.5,2065.95,2075.2,-5.55,-.27,58804934,565.99,-,2.19,.49
Nifty Metal,20-08-2024,9224.9,9225.25,9132.7,9204.65,42.7,.47,147497409,4535.83,30.66,2.83,1.63
Nifty MNC,20-08-2024,30699.1,30728.6,30591.2,30704.45,107.35,.35,25104586,3534.36,46.35,10.56,1.42
Nifty Pharma,20-08-2024,22313.95,22385,22179.75,22374.25,136.4,.61,18579462,2515.27,37.36,5.98,.61
Nifty PSU Bank,20-08-2024,6953.55,7053.45,6924.85,7042.55,116.4,1.68,134006494,2519.64,8.6,1.37,2.1
