Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,18-08-2026,24223.85,24269.65,24154.9,24154.9,-132.75,-.55,227027460,19183.5,20.42,2.93,1.18
Nifty Next 50,18-08-2026,74406.15,74623.8,74285.05,74308.9,-165.2,-.22,148879031,8650.48,19.64,3.37,1.1
Nifty 100,18-08-2026,25398.6,25442.9,25332.15,25333.65,-123.65,-.49,375906491,27833.97,20.27,3.01,1.16
Nifty 200,18-08-2026,14105,14121.65,14065.8,14066.65,-67.2,-.48,1588525740,47718.19,21.76,3.22,1.04
Nifty 500,18-08-2026,23521.85,23555.3,23470.9,23472.4,-92.05,-.39,2276032124,71834.51,22.81,3.29,.98
Nifty Midcap 50,18-08-2026,18257.5,18273.05,18188.05,18216.8,-62.2,-.34,243276878,11667.17,35.83,4.43,.53
NIFTY Midcap 100,18-08-2026,63753.7,63802.3,63491.1,63539.4,-277.6,-.43,1212619249,19884.21,30.65,4.44,.55
NIFTY Smallcap 100,18-08-2026,19789.95,19868.3,19764.35,19808.85,-0.4,0,371135944,12562.45,31.41,3.59,.58
Nifty50 Dividend Points,18-08-2026,-,-,-,189.56,0.0,-,-,-,-,-,-
Nifty Auto,18-08-2026,29182.7,29390.25,29178.65,29264.55,86.45,.3,49756077,4794.15,34,4.47,1.06
Nifty Bank,18-08-2026,57325.55,57584.7,57217.6,57262.4,-235.4,-.41,129690080,4694.94,13.55,1.71,.71
Nifty Energy,18-08-2026,38662.6,38820.9,38543,38578.85,-73.8,-.19,246973695,6783.89,14.98,2.14,1.84
Nifty Financial Services,18-08-2026,26132.7,26220.1,26088.15,26108.0,-109.15,-.42,86662090,8228.01,16.01,2.44,.94
Nifty FMCG,18-08-2026,48170.85,48173.65,47709.15,47734.8,-370.25,-.77,32487682,2143.52,33.17,7.97,.99
Nifty IT,18-08-2026,30584.1,30615.45,30212.95,30213.45,-594.35,-1.93,25486159,3074.91,19.27,5.32,2.66
Nifty Media,18-08-2026,1594.2,1608.55,1591.45,1602.2,6.45,.4,33425531,486.93,42.56,1.68,1
Nifty Metal,18-08-2026,13101.05,13132.15,13024.3,13025.3,-79.3,-.61,79857506,2944.57,15.86,2.69,1.62
Nifty MNC,18-08-2026,33610.2,33627.9,33331.15,33339.55,-243.9,-.73,37802580,3500.9,36.25,7.29,1.5
Nifty Pharma,18-08-2026,26352.95,26527.85,26341.35,26361.9,20.35,.08,18687426,2638.07,40.82,4.98,.53
Nifty PSU Bank,18-08-2026,8673.2,8744.95,8617.9,8618.5,-87.7,-1.01,50023308,1147.6,7.75,1.19,.74
Nifty Realty,18-08-2026,910,911.55,893.65,895.8,-12.9,-1.42,12725272,1356.07,38.04,3.97,.53
Nifty India Consumption,18-08-2026,12049.5,12070.6,12004.7,12004.7,-59.85,-.5,90704199,8837.25,39.09,7.16,.8
Nifty Commodities,18-08-2026,9837,9867.35,9812.4,9814.95,-28.35,-.29,151585662,6733.07,15.21,2,1.55
Nifty Dividend Opportunities 50,18-08-2026,5909.2,5922.6,5865.2,5865.3,-57.85,-.98,264474218,10231.95,13.32,2.45,2.28
Nifty Infrastructure,18-08-2026,9392.8,9404.75,9366.35,9376.55,-39.95,-.42,191928689,8897.88,23.14,2.72,.98
Nifty PSE,18-08-2026,9860.7,9896.45,9830.7,9838.5,-23.1,-.23,132695906,4152.23,11.17,1.8,2.64
