Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,03-01-2025,24196.4,24196.45,23976,24004.75,-183.9,-.76,312279515,29411.99,22.12,3.58,1.26
Nifty Next 50,03-01-2025,69444.25,69785.9,69096,69192.45,88.85,.13,356427787,16697.76,25.34,3.85,1.12
Nifty 100,03-01-2025,25058.25,25060.9,24849.9,24879.85,-148.95,-.6,668707302,46109.75,22.66,3.63,1.23
Nifty 200,03-01-2025,13702.55,13707.8,13594.05,13610.5,-74.55,-.54,1662255886,62226.12,24.72,3.84,1.15
Nifty 500,03-01-2025,22850.1,22867.85,22681.3,22708.15,-111.6,-.49,2201040539,84133.21,25.94,3.94,1.1
Nifty Midcap 50,03-01-2025,16265.25,16299.3,16155.45,16181.6,-60.35,-.37,727535317,8074.83,50.65,5.86,.76
NIFTY Midcap 100,03-01-2025,58211.35,58393.8,57858.25,57931.05,-177.15,-.3,993548584,16116.37,43.45,5.32,.77
NIFTY Smallcap 100,03-01-2025,19120.35,19224.95,19009.45,19033.7,-46.65,-.24,317132342,13486.24,35.17,4.22,.97
Nifty50 Dividend Points,03-01-2025,-,-,-,233.03,0.0,-,-,-,-,-,-
Nifty Auto,03-01-2025,24058.95,24173.25,23899.75,24005.0,-11.2,-.05,56380831,5969.56,23.43,4.93,.94
Nifty Bank,03-01-2025,51567.15,51671.6,50904.35,50988.8,-616.75,-1.2,148238026,8040.74,13.72,2.25,.98
Nifty Energy,03-01-2025,35807.45,36202.05,35770.55,35894.05,178.15,.5,305329257,9381.62,16.39,2.58,2.17
Nifty Financial Services,03-01-2025,24000.75,24035.15,23701.65,23735.7,-271.0,-1.13,95201966,11312.13,16.46,2.87,.9
Nifty FMCG,03-01-2025,57903.05,57923.5,57410.05,57817.0,145.65,.25,58507343,4249.95,47.19,11.45,1.79
Nifty IT,03-01-2025,44334.15,44337.15,43554.95,43726.55,-625.2,-1.41,27314774,4102.37,34.34,9.06,1.89
Nifty Media,03-01-2025,1835.5,1878.15,1835.5,1861.75,31.15,1.7,60437594,1308.98,-,1.44,.63
Nifty Metal,03-01-2025,8723.7,8817.15,8710.9,8729.95,6.6,.08,95275929,2774.87,20.87,2.48,2.36
Nifty MNC,03-01-2025,28657.25,28772.95,28609.85,28684.7,113.05,.4,27413860,3865.59,38.26,9.04,1.87
Nifty Pharma,03-01-2025,23569.95,23604.45,23208.85,23263.5,-289.9,-1.23,15237502,2310.14,36.8,5.68,.58
Nifty PSU Bank,03-01-2025,6624.25,6714.7,6607.45,6619.0,20.5,.31,200983771,2799.78,7.53,1.29,2.23
