Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,07-11-2025,25433.8,25551.25,25318.45,25492.3,-17.4,-.07,305606393,35487,22.28,3.49,1.29
Nifty Next 50,07-11-2025,69074.65,69525.25,68396.9,69366.15,66.6,.1,228226617,11479.94,20.33,3.61,1.42
Nifty 100,07-11-2025,26075.95,26204.25,25935.15,26144.2,-10.75,-.04,533833010,46966.94,21.93,3.51,1.31
Nifty 200,07-11-2025,14207.85,14291.85,14124.6,14262.45,11.45,.08,2239677571,71125.34,23.4,3.62,1.23
Nifty 500,07-11-2025,23441.05,23570.1,23291.2,23521.5,8.35,.04,2876263184,96784.14,24.09,3.66,1.16
Nifty Midcap 50,07-11-2025,16887.7,17053.95,16741.05,17030.9,99.55,.59,391126428,14934.09,33.55,4.45,.87
NIFTY Midcap 100,07-11-2025,59285.8,59918.65,58807.3,59843.15,374.55,.63,1705844561,24158.4,33.54,4.27,.85
NIFTY Smallcap 100,07-11-2025,18006.25,18128.45,17843.9,18075.95,-29.05,-.16,357996124,14420.21,31.04,3.9,.74
Nifty50 Dividend Points,07-11-2025,-,-,-,244.25,0.0,-,-,-,-,-,-
Nifty Auto,07-11-2025,26594.7,26850.35,26285.35,26779.55,153.05,.57,30862047,3418.71,27.36,4.84,1.11
Nifty Bank,07-11-2025,57391.4,58001.35,57157.85,57876.8,322.55,.56,142423718,6208.77,16.17,2.18,1.01
Nifty Energy,07-11-2025,35718.85,35897.6,35488.95,35790.3,-49.2,-.14,362643280,8008.54,15.24,2.32,2.24
Nifty Financial Services,07-11-2025,26956.9,27309.9,26874.4,27238.75,205.65,.76,119447048,13866.55,17.87,2.84,.96
Nifty FMCG,07-11-2025,55497.65,55712.1,55306.85,55437.2,-274.55,-.49,23836732,2210.19,40.55,9.99,2.01
Nifty IT,07-11-2025,35233.2,35272.55,34732.5,35117.6,-220.0,-.62,21744794,3093.44,24.87,6.57,3.17
Nifty Media,07-11-2025,1492.75,1497.1,1475.3,1489.65,-3.95,-.26,14487400,207.98,55.98,1.54,1.47
Nifty Metal,07-11-2025,10237.1,10470.85,10184.55,10426.8,144.9,1.41,114815792,4095.87,20,2.72,1.67
Nifty MNC,07-11-2025,30046.1,30112.5,29796.45,30089.3,-13.55,-.05,26011082,4754.15,36.44,8.64,1.65
Nifty Pharma,07-11-2025,22260.95,22320,22105.2,22169.8,-80.75,-.36,18219608,2795.3,33.25,4.8,.68
Nifty PSU Bank,07-11-2025,8252.05,8387.7,8158.1,8352.15,71.75,.87,150061826,2864.48,8.55,1.36,2.25
Nifty Realty,07-11-2025,943.15,948.4,930.6,946.4,-0.2,-.02,8531159,890.24,44.26,4.57,.32
Nifty India Consumption,07-11-2025,12274.05,12276.2,12180.3,12253.2,-72.6,-.59,178912211,23471.95,40.93,8.27,1.06
Nifty Commodities,07-11-2025,9213.85,9308.4,9175.85,9278.65,35.8,.39,192122984,7817.98,16.83,2.21,1.85
Nifty Dividend Opportunities 50,07-11-2025,6092.65,6128.05,6051.3,6115.05,2.95,.05,319298359,13167.57,14.52,2.85,3.15
Nifty Infrastructure,07-11-2025,9444.35,9444.35,9373.7,9393.6,-95.2,-1,309588910,22991.74,21.34,3.05,1.03
Nifty PSE,07-11-2025,9780.8,9900.7,9736.9,9870.85,55.9,.57,153640231,4242.3,11.42,1.99,3.08
Nifty Services Sector,07-11-2025,32874.85,33093.05,32707.95,33028.7,25.25,.08,248096579,32713.31,21.22,3.48,1.34
Nifty50 Shariah,07-11-2025,4615.75,4620.7,4583.4,4614.7,-8.75,-.19,48285157,5585.47,23.91,4.59,2.15
Nifty500 Shariah,07-11-2025,7045.9,7056.6,6987,7047.1,-13.95,-.2,575248434,28937.99,27.6,4.84,1.45
Nifty Low Volatility 50,07-11-2025,25198.15,25241.2,25065.3,25211.9,-39.75,-.16,175862965,29488.12,32.55,5.27,1.25
Nifty Alpha 50,07-11-2025,50428.6,51437.7,50093.1,51322.85,482.95,.95,370412442,39141.09,42.57,5.96,.47
Nifty High Beta 50,07-11-2025,3863.8,3939.3,3827.2,3922.6,43.0,1.11,1568685092,21079.22,21.65,2.72,1.21
Nifty100 Equal Weight,07-11-2025,33481.45,33695.7,33228.2,33618.05,49.8,.15,533833010,46966.94,22.66,3.77,1.33
Nifty100 Liquid 15,07-11-2025,7432.95,7465.1,7375.75,7428.05,-38.2,-.51,188018821,22266.38,22.78,3.41,.79
Nifty CPSE,07-11-2025,6371.7,6434.7,6342.4,6425.1,31.0,.48,74781317,1797.97,13.68,2.08,3.11
Nifty50 Value 20,07-11-2025,12711.95,12773.65,12642,12750.3,19.05,.15,105628260,9052.48,16.6,2.86,2.07
Nifty Midcap Liquid 15,07-11-2025,15861.6,16042.15,15688.75,15995.8,116.8,.74,284226694,10263.45,36.75,4.37,.61
Nifty Shariah 25,07-11-2025,8223.75,8227.05,8161.2,8203.45,-45.05,-.55,34242776,5682.15,29.18,5.19,1.94
India VIX,07-11-2025,12.41,12.6675,11.9575,12.56,0.15,1.19,-,-,-,-,-
Nifty Growth Sectors 15,07-11-2025,11946.55,11974.8,11833.2,11956.05,-7.2,-.06,28155869,6079.35,31.14,7.14,1.85
Nifty50 TR 1x Inverse,07-11-2025,167,167.75,166.25,166.65,0.1,.06,-,-,-,-,-
Nifty50 TR 2x Leverage,07-11-2025,21013.2,21207.05,20822.4,21110.1,-18.6,-.09,-,-,-,-,-
Nifty50 PR 1x Inverse,07-11-2025,204.1,205,203.15,203.65,0.2,.1,-,-,-,-,-
Nifty50 PR 2x Leverage,07-11-2025,14048.25,14177.9,13920.6,14113.05,-21.3,-.15,-,-,-,-,-
NIFTY100 Quality 30,07-11-2025,5662.55,5673.9,5625.2,5669.2,-10.05,-.18,76899169,9427.66,29.47,6.77,2.03
Nifty India Corporate Group Index - Mahindra Group,07-11-2025,-,-,-,37870.89,359.45,.96,9579933,1300.88,28.91,4.73,1.31
Nifty India Corporate Group Index - Tata Group,07-11-2025,-,-,-,15660.25,-39.25,-.25,46944026,2897.01,28.67,6.07,2.21
Nifty India Corporate Group Index - Aditya Birla Group,07-11-2025,-,-,-,8651.58,52.95,.62,1111473937,3096.73,104.66,2.98,.49
Nifty Conglomerate 50,07-11-2025,-,-,-,14737.32,33.03,.22,1294672001,14755.13,28.7,3.93,.97
Nifty India Infrastructure & Logistics,07-11-2025,-,-,-,11456.28,-37.7,-.33,1587120164,28483.27,30.12,4.12,.87
