Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,02-06-2026,23229.15,23556.95,23229.15,23483.55,100.95,.43,511852817,43063.5,20.27,3.16,1.26
Nifty Next 50,02-06-2026,69481.2,70175.5,69158.8,70115.8,193.95,.28,305947804,14371.43,19,3.69,1.43
Nifty 100,02-06-2026,24234.15,24555.6,24217.4,24491.3,98.25,.4,817800621,57434.94,20.02,3.24,1.3
Nifty 200,02-06-2026,13442.3,13607.65,13421.35,13577.0,48.65,.36,2346084675,86946.75,21.36,3.46,1.16
Nifty 500,02-06-2026,22302.05,22563.25,22253,22521.1,83.15,.37,3609445522,114984.17,22.34,3.51,1.1
Nifty Midcap 50,02-06-2026,17162.95,17318.7,17088.2,17287.3,8.1,.05,782177095,17741.8,32.27,4.71,.57
NIFTY Midcap 100,02-06-2026,60479.35,61018.55,60170.35,60942.0,114.05,.19,1528284054,29511.81,29.24,4.77,.63
NIFTY Smallcap 100,02-06-2026,17897.6,18073.8,17787.9,18052.3,72.5,.4,522266792,13789.47,30.54,3.51,.66
Nifty50 Dividend Points,02-06-2026,-,-,-,42.9,0.0,-,-,-,-,-,-
Nifty Auto,02-06-2026,25595.05,26135.3,25581.15,26079.45,187.55,.72,99169108,5723.74,30.08,4.47,1.31
Nifty Bank,02-06-2026,53265.1,53933.55,53121.85,53714.65,71.55,.13,406403053,11650.52,13.56,1.77,1.12
Nifty Energy,02-06-2026,39988.7,40248.2,39667.05,40189.65,-64.0,-.16,897365827,17053.11,14.96,2.48,1.79
Nifty Financial Services,02-06-2026,24782.45,24973.25,24663.25,24861.25,-147.2,-.59,172686525,15741.42,16,2.6,.88
Nifty FMCG,02-06-2026,47996.4,48668.65,47867.65,48612.8,365.1,.76,49581805,3346.14,33.45,8.42,.95
Nifty IT,02-06-2026,30265.7,31290.95,30264.6,31116.55,1262.3,4.23,116073321,13286.83,21.18,5.68,3.13
Nifty Media,02-06-2026,1417.05,1433.95,1406.2,1429.25,1.7,.12,46366639,553.92,33.92,1.51,1.23
Nifty Metal,02-06-2026,13470.55,13629.15,13450,13557.65,51.1,.38,210112280,5869.43,20.15,3.53,1.52
Nifty MNC,02-06-2026,31569.95,31822.55,31446.3,31751.75,9.55,.03,93775922,7426.04,38.91,8.64,1.39
