Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty Conglomerate 50,03-11-2025,-,-,-,14885.98,4.88,.03,2650209669,13032.81,29.4,3.97,.96
Nifty India Infrastructure & Logistics,03-11-2025,-,-,-,11746.39,49.73,.43,2951216210,16223.24,31.51,4.22,.8
Nifty India FPI 150,03-11-2025,-,-,-,1602.55,6.1,.38,839881347,45003.69,24.92,3.87,1.22
Nifty Waves,03-11-2025,-,-,-,2030.4,6.69,.33,19978552,210.23,-,2.37,.67
Nifty500 Healthcare,03-11-2025,-,-,-,19184.8,214.73,1.13,39875951,5063.01,40.67,5.76,.54
Nifty India Corporate Group Index - Tata Group 25% Cap,03-11-2025,15056.8,15096.15,14980.95,15078.1,-0.85,-.01,38299765,2615.46,30.48,5.23,1.63
Nifty Private Bank,03-11-2025,27992.1,28226.9,27941.6,28150.15,99.5,.35,198295757,5438.7,19.82,2.17,.54
Nifty Smallcap 250,03-11-2025,17335.15,17460.75,17333.85,17434.85,120.95,.7,561841642,19167.24,30.97,3.71,.69
Nifty Smallcap 50,03-11-2025,8851.6,8950.95,8851,8932.05,89.4,1.01,160749661,7527.44,30.87,3.95,.77
Nifty Midcap 150,03-11-2025,22073.1,22251.15,22051.85,22216.1,170.15,.77,3112006604,22480.84,34.39,4.43,.83
Nifty Midcap Select,03-11-2025,13480.4,13619.9,13469.85,13589.05,121.2,.9,270617067,7543.37,30.14,4.43,.78
NIFTY LargeMidcap 250,03-11-2025,16673.55,16774.9,16655.5,16755.2,88.45,.53,3676584717,58280.64,27.11,3.94,1.06
NIFTY SME EMERGE,03-11-2025,-,-,-,15562.07,70.9,.46,-,-,27.77,5.57,.22
Nifty Oil & Gas,03-11-2025,12018.9,12107.15,11965.7,12084.65,94.4,.79,79340252,3272.83,11.94,1.7,2.15
Nifty Financial Services 25/50,03-11-2025,29460.45,29802.5,29457.65,29732.8,257.2,.87,111669410,11496.49,17.77,3,.97
Nifty Healthcare Index,03-11-2025,14694.55,14857.75,14675.8,14836.05,142.75,.97,25772598,3061.48,38.75,5.53,.57
Nifty500 Multicap 50:25:25,03-11-2025,16496.1,16592.5,16495.55,16573.85,84.4,.51,4238426359,77447.88,26.51,3.78,1.03
Nifty Microcap 250,03-11-2025,23820.6,24077.6,23819.9,24040.8,254.3,1.07,320714444,8712.68,29.75,3,.71
Nifty Total Market,03-11-2025,13334.85,13409.05,13327.55,13393.0,59.7,.45,4559140803,86160.55,24.86,3.67,1.13
Nifty India Digital,03-11-2025,9240.25,9297.35,9182.9,9272.8,29.2,.32,2593796155,9047.78,67.26,8.85,1.59
Nifty Mobility,03-11-2025,22776.75,22830.75,22695.6,22816.55,58.95,.26,148347366,9187.91,28.09,4.7,.97
Nifty India Defence,03-11-2025,8148.75,8185.75,8087.75,8174.9,39.7,.49,34020161,2481.74,56.1,10.95,.47
Nifty Financial Services Ex-Bank,03-11-2025,31185.9,31609.5,31178.8,31527.2,334.55,1.07,104336115,9445.95,24.33,4.43,.82
Nifty Housing,03-11-2025,11922.9,11967.7,11899.1,11936.85,9.8,.08,458735586,15472.84,26.17,3.07,.84
Nifty Transportation & Logistics,03-11-2025,25604.85,25695.25,25521.25,25681.6,94.9,.37,87128357,7111.97,35.21,5.65,.81
Nifty MidSmall Financial Services,03-11-2025,19725.2,19962.75,19722.25,19910.15,195.35,.99,253858755,7742.55,28.12,2.8,.68
Nifty MidSmall Healthcare,03-11-2025,44195.8,44776.15,44163.1,44707.45,624.05,1.42,30174207,3287.65,44.44,5.38,.45
Nifty MidSmall IT & Telecom,03-11-2025,9982.55,10130.1,9903.75,10096.5,147.35,1.48,2574337347,4974.27,68.47,9.81,1.07
Nifty MidSmall India Consumption,03-11-2025,19727.95,19859.2,19636.55,19812.35,125.75,.64,2561820914,5927.46,103.56,10.26,.79
Nifty REITs & InvITs,03-11-2025,-,-,-,1357.84,3.93,.29,3773108,50.2,27.48,1.97,5.8
Nifty Core Housing,03-11-2025,16112.9,16180,16072.05,16160.85,42.15,.26,29393487,3735.1,37.23,3.8,.51
Nifty500 Multicap Infrastructure 50:30:20,03-11-2025,14598.15,14690.9,14570.25,14662.2,84.85,.58,2888266586,13353.59,27.31,3.66,.87
Nifty Rural,03-11-2025,15948.75,16031.7,15937.1,16013.1,77.4,.49,2789930949,21179.04,26.24,4.18,1.24
Nifty Capital Markets,03-11-2025,4540.65,4613.8,4536.5,4596.4,66.2,1.46,20705258,4178.02,46.23,11.66,1.04
Nifty India New Age Consumption,03-11-2025,12186.8,12257.85,12148.15,12245.65,60.35,.5,2655783805,13760.56,53.18,7.44,.64
Nifty India Select 5 Corporate Groups (MAATR),03-11-2025,38141.9,38325.9,38107.7,38210.2,122.05,.32,2648564501,10801.89,29.97,3.48,.85
Nifty India Railways PSU,03-11-2025,-,-,-,3511.79,8.21,.23,110067086,3149.52,26.99,3.62,1.52
Nifty Consumer Durables,03-11-2025,38517.65,38654.45,38173.35,38503.05,-112.05,-.29,10612678,1495.75,67.16,12.99,.38
Nifty Non-Cyclical Consumer,03-11-2025,16371.45,16457.6,16319.25,16441.05,51.95,.32,85903198,6659.51,54.69,11.27,1.02
Nifty500 Multicap India Manufacturing 50:30:20,03-11-2025,15970.55,16035,15953.5,16017.75,60.7,.38,235235787,16104.03,30.15,4.16,.81
Nifty EV & New Age Automotive,03-11-2025,3103.75,3112.6,3092.8,3111.45,9.0,.29,72738580,7177.7,32.49,4.7,.86
Nifty500 LargeMidSmall Equal-Cap Weighted,03-11-2025,18179.6,18295.6,18179.25,18273.75,106.5,.59,4238426359,77447.88,28.27,3.86,.94
Nifty India Tourism,03-11-2025,8912.25,8973.5,8906.55,8965.3,54.0,.61,16283994,791.86,66.16,10.59,.22
Nifty MidSmallcap 400,03-11-2025,20365.95,20523.55,20363.55,20492.65,151.7,.75,3673848246,41648.08,33.1,4.15,.78
Nifty IPO,03-11-2025,2173.65,2174.85,2161.3,2163.95,-9.15,-.42,199774905,4654.38,82.59,8.06,.19
Nifty India Internet,03-11-2025,-,-,-,1466.43,2.97,.2,69611464,2675.86,159.97,7.03,.33
Nifty Chemicals,03-11-2025,-,-,-,29532.32,350.01,1.2,13206230,2587.83,43.94,4.34,.92
Nifty100 Low Volatility 30,03-11-2025,20617.6,20667.3,20565.6,20644.55,-3.2,-.02,87571188,13424.87,28.91,5.11,1.38
