Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,31-07-2026,24361.45,24429.4,24299.7,24383.6,66.45,.27,411693361,34459.53,20.78,2.99,1.22
Nifty Next 50,31-07-2026,72955.75,73804.25,72955.75,73651.3,952.35,1.31,252792460,15102.27,19.49,3.47,1.21
Nifty 100,31-07-2026,25422.95,25532.65,25387.25,25486.35,117.6,.46,664485821,49561.81,20.53,3.07,1.22
Nifty 200,31-07-2026,14073.8,14133.5,14055.4,14106.3,64.35,.46,1526404315,72157.67,22.05,3.3,1.09
Nifty 500,31-07-2026,23409.85,23506.55,23375.55,23460.7,107.15,.46,2570889914,100764.43,23.09,3.36,1.03
Nifty Midcap 50,31-07-2026,18061.1,18143.1,17976.1,18105.85,77.2,.43,313187929,13430.51,36.6,4.71,.59
NIFTY Midcap 100,31-07-2026,62817,63072.4,62569.2,62915.3,273.55,.44,861918494,22595.86,31.35,4.7,.59
NIFTY Smallcap 100,31-07-2026,19310.8,19416.3,19274.25,19339.65,85.2,.44,411445337,14837.28,32.19,3.52,.65
Nifty50 Dividend Points,31-07-2026,-,-,-,163.64,0.0,-,-,-,-,-,-
Nifty Auto,31-07-2026,28550.95,28871.65,28168,28744.15,465.05,1.64,102686491,7810.69,32.52,4.48,1.13
Nifty Bank,31-07-2026,57225.9,57411.25,57139.6,57264.85,117.35,.21,158786434,6939.06,13.61,1.75,.66
Nifty Energy,31-07-2026,38407.05,38774.65,38346.4,38729.55,416.0,1.09,517117144,10115.73,14.92,2.27,2.05
Nifty Financial Services,31-07-2026,26375.45,26620.65,26370.3,26594.05,342.8,1.31,192616547,16266.23,16.53,2.51,.95
Nifty FMCG,31-07-2026,49756.4,49769.05,49041.55,49121.2,-520.85,-1.05,41531537,2850.39,33.52,8.21,1.11
Nifty IT,31-07-2026,30488.4,30900.25,30034.4,30708.9,-485.65,-1.56,50166953,5952.15,19.61,5.43,2.6
Nifty Media,31-07-2026,1589.75,1627.45,1582.2,1618.65,33.2,2.09,86057371,1455.6,38.28,1.7,1.03
Nifty Metal,31-07-2026,12778.3,12809.9,12691.3,12719.0,17.2,.14,107903209,3782.62,16.54,2.66,1.79
Nifty MNC,31-07-2026,33056.6,33158.95,32991.7,33056.15,207.9,.63,95123017,6947.13,36.25,7.44,1.56
Nifty Pharma,31-07-2026,26501.05,26734.5,26414.65,26534.8,188.75,.72,27484952,4810.22,42.93,5.12,.52
Nifty PSU Bank,31-07-2026,8359.1,8403.85,8334.4,8367.2,39.55,.47,75340202,1986.05,7.59,1.16,.76
Nifty Realty,31-07-2026,901.2,908.2,896.35,901.45,1.95,.22,12449073,1321.05,37.73,4.02,.46
Nifty India Consumption,31-07-2026,12151.65,12151.65,12065.7,12081.85,-2.3,-.02,119102440,13781.61,40.3,7.32,.85
