Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,02-04-2025,23192.6,23350,23158.45,23332.35,166.65,.72,340970371,24334.3,21.2,3.45,1.33
Nifty Next 50,02-04-2025,62466.55,63143.25,61933.7,63087.1,715.0,1.15,192800308,9850.55,21.5,3.95,1.44
Nifty 100,02-04-2025,23742.75,23919.6,23683.9,23901.85,188.05,.79,533770679,34184.84,21.25,3.53,1.35
Nifty 200,02-04-2025,12827.65,12936.1,12784.15,12927.85,118.55,.93,2014656941,52454.69,22.55,3.67,1.27
Nifty 500,02-04-2025,21101.85,21279.1,21007.15,21265.65,194.9,.92,2568917368,67877.01,23.46,3.71,1.21
Nifty Midcap 50,02-04-2025,14466.65,14672.5,14353.85,14665.95,244.25,1.69,1196831981,11288.24,39.5,5.21,.83
NIFTY Midcap 100,02-04-2025,51358.75,52082.1,50893.45,52053.2,823.6,1.61,1480886262,18269.84,32.73,4.58,.9
NIFTY Smallcap 100,02-04-2025,16006.75,16175.75,15804.35,16162.45,179.5,1.12,212655509,8215.27,29.04,3.95,1.08
Nifty50 Dividend Points,02-04-2025,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,02-04-2025,21250.85,21433.45,21175.85,21408.85,173.6,.82,29918268,3020.96,20.93,4.53,1.02
Nifty Bank,02-04-2025,50966.9,51404.2,50908.35,51348.05,520.55,1.02,149906457,5545.35,13.12,2.19,1.01
Nifty Energy,02-04-2025,33321.8,33503.9,32924.55,33463.7,174.55,.52,290414242,7459.54,15.65,2.46,2.34
Nifty Financial Services,02-04-2025,24582.45,24772.1,24577.3,24750.05,220.65,.9,71643598,6611.5,16.59,2.86,.87
Nifty FMCG,02-04-2025,53286.6,53738.45,52851.5,53702.6,600.85,1.13,32284297,3060.43,42.9,10.28,2.03
Nifty IT,02-04-2025,36024.45,36368.85,35970.7,36283.5,302.85,.84,21620322,3458.29,27.42,7.51,2.85
Nifty Media,02-04-2025,1507.1,1523.95,1484.9,1517.55,9.25,.61,33317636,196.49,-,1.23,1.11
Nifty Metal,02-04-2025,9038.75,9097.6,8932.25,9080.05,63.2,.7,100976913,2543.05,21.13,2.64,2.29
Nifty MNC,02-04-2025,25972,26122.55,25722.15,26101.3,165.95,.64,25150944,3404.99,33.21,8.43,2
Nifty Pharma,02-04-2025,20771.05,20983.9,20615.35,20952.85,181.05,.87,14812440,2103.73,31.74,5.14,.66
Nifty PSU Bank,02-04-2025,6272.9,6310.6,6172.3,6300.85,46.45,.74,239896502,1878.42,6.66,1.22,2.34
Nifty Realty,02-04-2025,825.85,855.8,825.75,854.65,29.8,3.61,11966417,1267.51,41.24,4.94,.42
Nifty India Consumption,02-04-2025,10692.9,10834.75,10658.85,10827.55,165.15,1.55,118134206,10254.58,41.21,8.45,1.05
Nifty Commodities,02-04-2025,8419.5,8452.75,8332.9,8445.45,37.25,.44,171233568,6903.38,18.47,2.24,2.13
Nifty Dividend Opportunities 50,02-04-2025,5790.45,5826.55,5748.5,5821.5,35.8,.62,306605757,10177.56,14.65,3,3.31
Nifty Infrastructure,02-04-2025,8378.35,8440.45,8347.35,8434.5,45.0,.54,143186815,8740.23,23.43,3.04,1.1
Nifty PSE,02-04-2025,9305.55,9325.15,9148.05,9315.25,11.05,.12,227074760,6461.63,12.13,2.08,3.32
Nifty Services Sector,02-04-2025,30621.25,30908.05,30616.95,30883.9,304.15,.99,199297455,13567.58,20.2,3.63,1.3
Nifty50 Shariah,02-04-2025,4612.65,4632.55,4582.35,4628.5,22.5,.49,47225875,6126.21,25.73,5.52,2.36
Nifty500 Shariah,02-04-2025,6639.3,6693.3,6587.8,6688.45,59.25,.89,383744970,21460.57,30.14,5.18,1.59
Nifty Low Volatility 50,02-04-2025,23320.05,23532.85,23231.15,23517.45,228.45,.98,119074892,16709.37,33.18,5.73,1.18
Nifty Alpha 50,02-04-2025,45339.3,46129.55,45035.25,46082.55,784.0,1.73,348932436,19898.08,41.43,7.33,.64
Nifty High Beta 50,02-04-2025,3332.6,3365.45,3280.1,3362.1,38.7,1.16,1311957151,12046.88,16.08,2.19,1.55
Nifty100 Equal Weight,02-04-2025,30071,30316.6,29875.5,30294.25,276.45,.92,533770679,34184.84,22.32,3.68,1.32
Nifty100 Liquid 15,02-04-2025,6477.1,6535.9,6455.35,6529.75,56.25,.87,155032438,9318.08,18.61,3.08,1.04
Nifty CPSE,02-04-2025,6086.85,6103.5,5974.15,6062.95,-23.5,-.39,136996595,3325.44,12.86,2.19,3.43
Nifty50 Value 20,02-04-2025,12370.9,12442.8,12340.15,12429.9,73.35,.59,120499820,8899.37,16.16,3.26,2.41
Nifty Midcap Liquid 15,02-04-2025,12915.9,13190.75,12873.1,13179.3,293.1,2.27,155915733,6339.09,35.76,5.76,.58
Nifty Shariah 25,02-04-2025,7787.6,7830.9,7737.25,7825.85,50.15,.64,61274598,6971.67,26.06,5.24,2.22
India VIX,02-04-2025,13.7825,14.1425,13.5125,13.72,-0.06,-.44,-,-,-,-,-
Nifty Growth Sectors 15,02-04-2025,10552.55,10655.25,10534,10644.85,113.25,1.08,26741655,4776.59,33.39,6.65,1.62
Nifty50 TR 1x Inverse,02-04-2025,180.55,180.8,179.3,179.45,-1.25,-.69,-,-,-,-,-
Nifty50 TR 2x Leverage,02-04-2025,17866.9,18108.95,17817.35,18082.0,253.5,1.42,-,-,-,-,-
Nifty50 PR 1x Inverse,02-04-2025,218.5,218.8,217,217.15,-1.55,-.71,-,-,-,-,-
Nifty50 PR 2x Leverage,02-04-2025,12180.15,12345.15,12146.4,12326.8,172.8,1.42,-,-,-,-,-
NIFTY100 Quality 30,02-04-2025,5173.7,5197.8,5135,5194.6,27.1,.52,109791580,10266.97,28.05,6.98,1.96
Nifty Smallcap250 Momentum Quality 100,02-04-2025,41772.35,42199.7,41313.75,42162.45,475.15,1.14,152081416,7540.89,26.75,5.04,1.01
Nifty500 Momentum 50,02-04-2025,47020.55,47929.85,46856.1,47877.9,984.0,2.1,160933076,13973.68,46.08,7.67,.61
Nifty200 Value 30,02-04-2025,12382.25,12443.45,12219.65,12431.25,67.2,.54,258579607,6246.91,9.73,1.52,3.46
Nifty Top 10 Equal Weight,02-04-2025,9182.95,9248.45,9181.35,9233.7,55.0,.6,53898301,7769.65,21.08,3.84,1.37
Nifty500 Multicap Momentum Quality 50,02-04-2025,37719.55,38037.9,37348.5,38010.2,347.05,.92,98800778,10183.74,41.4,12.03,1.15
Nifty Top 15 Equal Weight,02-04-2025,9603.4,9660.2,9596.1,9650.35,53.95,.56,64051293,10174.36,20.64,3.85,1.34
Nifty Top 20 Equal Weight,02-04-2025,8575.4,8628.95,8557.9,8621.7,53.65,.63,81081486,12465.17,21.24,4.26,1.37
Nifty500 Quality 50,02-04-2025,17268.8,17395.25,17072.65,17384.1,159.6,.93,149340118,7489.1,22.69,6.71,1.73
Nifty500 Low Volatility 50,02-04-2025,19916.65,20085.35,19838.25,20064.75,191.35,.96,112429883,7897.69,26.49,4.59,.8
NIFTY100 ESG,02-04-2025,4526.95,4559.65,4507.05,4556.2,36.5,.81,474831170,29137.53,21.57,3.61,1.25
NIFTY100 Enhanced ESG,02-04-2025,4561,4594.1,4540.95,4590.6,37.0,.81,463151634,28802.59,21.61,3.62,1.24
NIFTY500 Value 50,02-04-2025,13317.9,13386.6,13145,13372.8,70.0,.53,335251546,8641.9,10.43,1.51,3.29
