Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,06-11-2024,24308.75,24537.6,24204.05,24484.05,270.75,1.12,351082031,34108.84,22.8,3.67,1.27
Nifty Next 50,06-11-2024,70191.85,71482.7,70135.45,71389.8,1592.35,2.28,409270477,13962.58,23.65,3.83,1.49
Nifty 100,06-11-2024,25167.5,25443.3,25078.3,25403.15,342.35,1.37,760352508,48071.42,23.42,3.71,1.26
Nifty 200,06-11-2024,13680.85,13840.35,13637.7,13824.1,205.25,1.51,1608378524,70940.83,25.38,3.9,1.17
Nifty 500,06-11-2024,22782.2,23052.2,22720.3,23031.2,351.35,1.55,2157801128,93211.09,26.43,4.01,1.12
Nifty Midcap 50,06-11-2024,15680.4,15985.55,15656.9,15958.4,366.65,2.35,657190026,12666.38,49.69,5.71,.71
NIFTY Midcap 100,06-11-2024,56452.5,57435.1,56369.7,57355.8,1240.35,2.21,848026016,22869.41,43.38,5.24,.74
NIFTY Smallcap 100,06-11-2024,18592.5,18921.4,18550.35,18906.1,402.65,2.18,332867191,13619.39,35.72,4.26,.95
Nifty50 Dividend Points,06-11-2024,-,-,-,226.69,0.0,-,-,-,-,-,-
Nifty Auto,06-11-2024,23960.7,24181.5,23835.85,24137.9,298.3,1.25,38475204,4186.28,23.87,4.95,.91
Nifty Bank,06-11-2024,52440.4,52493.95,52185.4,52317.4,110.15,.21,219097414,10051.57,14.36,2.35,.95
Nifty Energy,06-11-2024,39128.35,39634.8,38853.5,39562.85,637.95,1.64,116374439,6021.77,15.61,2.23,2.65
Nifty Financial Services,06-11-2024,24218.35,24257.05,24097.95,24181.2,52.3,.22,80546005,10142.95,16.91,2.92,.88
Nifty FMCG,06-11-2024,58608.55,58962.4,58441.2,58754.8,212.6,.36,25764841,2156.83,46.63,11.43,1.84
Nifty IT,06-11-2024,40770.6,42105.5,40675.05,42039.5,1614.9,3.99,34531583,7085,33.28,8.65,1.94
Nifty Media,06-11-2024,1984.5,2013.8,1979.75,2006.85,27.9,1.41,17569187,269.18,-,2.34,.39
Nifty Metal,06-11-2024,9557.7,9671.25,9399.85,9656.45,151.05,1.59,173663944,5216.4,32.82,2.77,2.18
Nifty MNC,06-11-2024,29211.3,29537.2,29127.3,29511.0,349.15,1.2,28223269,3837.36,44.61,9.41,1.84
