Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,02-08-2024,24789,24851.9,24686.85,24717.7,-293.2,-1.17,345027881,35368.54,23.09,4.17,1.19
Nifty Next 50,02-08-2024,73621.4,74241.25,73173.45,73328.15,-966.5,-1.3,723628855,27387.54,26.73,4.99,1.1
Nifty 100,02-08-2024,25833.75,25930.85,25743.8,25771.9,-285.9,-1.1,1072933323,63077.89,24.05,4.32,1.14
Nifty 200,02-08-2024,14040.6,14097.45,13999.1,14012.9,-152.9,-1.08,2343556082,85108.35,25.96,4.43,1.07
Nifty 500,02-08-2024,23296.1,23395.1,23225.65,23259.45,-247.15,-1.05,3092360383,109545.58,26.81,4.5,1.03
Nifty Midcap 50,02-08-2024,16336.9,16419.15,16227.4,16269.15,-236.8,-1.43,1024882211,12723.8,48.01,5.62,.7
NIFTY Midcap 100,02-08-2024,57900.6,58247.3,57563.4,57913.65,-576.75,-.99,1270622759,22030.46,43.98,5.08,.67
NIFTY Smallcap 100,02-08-2024,18742.9,18942.2,18630.5,18800.6,-149.35,-.79,485355939,12668.46,29.77,4.37,.83
Nifty50 Dividend Points,02-08-2024,-,-,-,148.96,0.0,-,-,-,-,-,-
Nifty Auto,02-08-2024,26192.8,26192.8,25678.35,25714.45,-773.0,-2.92,63744861,8238.79,24.69,5.62,.94
Nifty Bank,02-08-2024,51172.25,51608.7,51087.85,51350.15,-213.85,-.41,162974928,10058.1,14.93,2.85,.88
Nifty Energy,02-08-2024,44481.75,44703.4,44092.65,44334.25,-620.2,-1.38,158245524,8244.78,15.9,2.82,2.01
Nifty Financial Services,02-08-2024,23254.2,23476.85,23238.25,23365.9,-69.95,-.3,105305862,11714.66,16.71,3.41,.88
Nifty FMCG,02-08-2024,61659.05,62639.55,61632.85,61745.15,-428.05,-.69,38998534,3506.16,48.66,12.01,1.65
Nifty IT,02-08-2024,40346.55,40632.25,39662.65,39730.3,-979.1,-2.41,24241535,4424.57,32.47,8.26,1.97
Nifty Media,02-08-2024,2091.3,2132.05,2083.95,2100.3,-8.85,-.42,54432745,992.99,-,2.22,.42
Nifty Metal,02-08-2024,9440.35,9448.3,9301.5,9314.55,-258.65,-2.7,161600204,4988.3,33.71,2.86,1.61
