Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,29-04-2025,24370.7,24457.65,24290.75,24335.95,7.45,.03,357563224,30436.88,21.94,3.6,1.29
Nifty Next 50,29-04-2025,65349.6,65587.3,64822.45,64892.35,-151.1,-.23,249758447,12469.95,22.04,4.06,1.41
Nifty 100,29-04-2025,24929.8,25016.5,24834.35,24870.4,-3.6,-.01,607321671,42906.83,21.96,3.67,1.31
Nifty 200,29-04-2025,13496.9,13551.45,13451.05,13469.0,4.4,.03,1639480524,69736.2,23.35,3.82,1.23
Nifty 500,29-04-2025,22160.75,22255.9,22084.55,22112.4,10.55,.05,2189178548,91388.1,24.26,3.86,1.16
Nifty Midcap 50,29-04-2025,15444.9,15559.3,15409.7,15442.3,37.35,.24,707070481,11212.6,41.64,5.48,.76
NIFTY Midcap 100,29-04-2025,54613.7,55022.6,54461,54587.95,147.7,.27,1032158853,26829.37,34.39,4.81,.84
NIFTY Smallcap 100,29-04-2025,16772.1,16900.2,16695.1,16738.7,61.8,.37,252988547,14433.76,30.14,4.09,.76
Nifty50 Dividend Points,29-04-2025,-,-,-,4.22,0.0,-,-,-,-,-,-
Nifty Auto,29-04-2025,22442.65,22584.1,22216.55,22299.05,-53.9,-.24,55022977,4823.88,21.81,4.72,.91
Nifty Bank,29-04-2025,55524.35,55957.75,55262.4,55391.25,-41.55,-.07,193903416,8373.38,14.05,2.36,.94
Nifty Energy,29-04-2025,34656.9,34889.55,34352.25,34438.75,-100.1,-.29,310696755,10530.96,16.08,2.53,2.27
Nifty Financial Services,29-04-2025,26313.5,26447.2,26133.85,26193.85,-97.8,-.37,90355376,10164.94,17.32,3.03,.83
Nifty FMCG,29-04-2025,56693.8,56744.5,56246.3,56474.5,-145.8,-.26,27957805,2554.94,44.95,10.81,1.95
Nifty IT,29-04-2025,35565.75,36157.2,35416.9,35920.4,437.45,1.23,33732273,4220.55,26.94,7.44,3.01
Nifty Media,29-04-2025,1568.35,1578.4,1544.55,1547.65,-12.3,-.79,29621936,282.97,-,1.26,1.02
Nifty Metal,29-04-2025,8711.3,8762.4,8596.05,8607.15,-82.75,-.95,79225090,1911.78,20.04,2.5,2.41
Nifty MNC,29-04-2025,26972.45,27075.15,26845.55,26910.0,-12.7,-.05,29826957,3573.35,34.2,8.67,1.88
Nifty Pharma,29-04-2025,21948.1,21980.85,21567.2,21676.65,-231.45,-1.06,17091172,2423.68,32.68,5.31,.64
Nifty PSU Bank,29-04-2025,6745.7,6845.4,6670.9,6691.4,-3.6,-.05,239537152,2809.84,7.06,1.3,2.21
Nifty Realty,29-04-2025,871.3,880.35,865.9,869.25,-2.25,-.26,11328715,1161.37,41.25,5.03,.41
Nifty India Consumption,29-04-2025,11352.95,11380.9,11281.1,11309.0,-14.8,-.13,92787099,9566.24,42.98,8.83,1.01
Nifty Commodities,29-04-2025,8649.5,8669.6,8550.6,8558.2,-59.15,-.69,188559444,10823.93,18.67,2.27,2.11
Nifty Dividend Opportunities 50,29-04-2025,5936.55,5957.9,5902.55,5910.3,-10.2,-.17,333138956,12036.01,14.86,3.04,3.29
Nifty Infrastructure,29-04-2025,8789.6,8843.2,8756.25,8763.85,4.0,.05,177344293,12801.84,24.26,3.16,1.03
Nifty PSE,29-04-2025,9687.85,9751.05,9611.15,9634.5,-15.7,-.16,208912276,7747.35,12.55,2.15,3.21
Nifty Services Sector,29-04-2025,32256.55,32380.5,32107.9,32195.3,-13.05,-.04,193652026,16612.96,20.86,3.78,1.27
Nifty50 Shariah,29-04-2025,4755.5,4757.25,4717.9,4736.5,-5.25,-.11,34788191,5475.4,26.17,5.65,2.4
Nifty500 Shariah,29-04-2025,6863.55,6883.05,6825.15,6844.55,0.65,.01,412375494,24420.47,30.71,5.3,1.54
Nifty Low Volatility 50,29-04-2025,24639.95,24681.2,24511.2,24563.55,-37.85,-.15,159949545,22256.04,34.46,5.99,1.16
Nifty Alpha 50,29-04-2025,48095.95,48453.5,47914.8,48219.85,367.4,.77,304940360,24147.56,44.27,7.67,.64
Nifty High Beta 50,29-04-2025,3500.9,3531.4,3473.45,3476.85,-7.05,-.2,926332254,18615.16,16.72,2.26,1.5
Nifty100 Equal Weight,29-04-2025,31415.2,31517.5,31200.1,31234.65,-58.45,-.19,607321671,42906.83,22.9,3.79,1.3
Nifty100 Liquid 15,29-04-2025,6775.15,6821.3,6754.3,6773.3,12.7,.19,167672580,13632.91,19.25,3.2,1.01
Nifty CPSE,29-04-2025,6330.05,6359.55,6266.55,6283.0,-25.35,-.4,136119646,5362.28,13.33,2.27,3.31
Nifty50 Value 20,29-04-2025,12696.95,12728.75,12613.25,12652.0,-21.25,-.17,132333569,10161.26,16.4,3.32,2.42
Nifty Midcap Liquid 15,29-04-2025,14086.6,14227.05,14028.2,14055.8,25.45,.18,121821413,5480.17,38.35,6.14,.45
Nifty Shariah 25,29-04-2025,8120.5,8130.85,8070.65,8098.35,0.55,.01,43790766,6883.24,26.76,5.43,2.24
India VIX,29-04-2025,16.94,17.585,16.065,17.37,0.43,2.54,-,-,-,-,-
Nifty Growth Sectors 15,29-04-2025,11175.85,11188,11082.65,11128.95,-18.0,-.16,42174376,6416.91,34.77,6.95,1.55
Nifty50 TR 1x Inverse,29-04-2025,172,172.55,171.35,172.2,-0.05,-.03,-,-,-,-,-
Nifty50 TR 2x Leverage,29-04-2025,19586.1,19724.4,19458.25,19530.35,8.8,.05,-,-,-,-,-
Nifty50 PR 1x Inverse,29-04-2025,208.1,208.8,207.4,208.4,-0.05,-.02,-,-,-,-,-
Nifty50 PR 2x Leverage,29-04-2025,13347.6,13441.85,13260.5,13309.6,6.0,.05,-,-,-,-,-
NIFTY100 Quality 30,29-04-2025,5381.95,5402.4,5356.6,5387.4,17.6,.33,135924876,13497.27,28.93,7.23,1.95
Nifty Top 10 Equal Weight,29-04-2025,9572.85,9625.05,9564.6,9578.25,13.5,.14,89270840,12996.08,21.77,3.99,1.32
Nifty500 Multicap Momentum Quality 50,29-04-2025,39566.25,39915.9,39550,39860.05,454.4,1.15,129225581,18214.45,43.54,12.62,1.16
Nifty Top 15 Equal Weight,29-04-2025,10063.7,10104.25,10038.3,10048.6,0.95,.01,106133928,16564.36,21.44,4.01,1.29
Nifty Top 20 Equal Weight,29-04-2025,9008.2,9040.85,8978.25,8987.1,-3.45,-.04,126816343,18858.52,22.08,4.44,1.37
Nifty500 Quality 50,29-04-2025,18037.1,18161.75,18015.05,18047.85,72.55,.4,175094293,13078.9,23.77,6.96,1.68
