Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,20-08-2025,24965.8,25088.7,24929.7,25050.55,69.9,.28,287054119,25330.45,22,3.37,1.33
Nifty Next 50,20-08-2025,67960.85,68258.8,67885.7,68164.3,256.85,.38,193412351,11849.63,21.11,3.69,1.32
Nifty 100,20-08-2025,25604.15,25726.2,25570.55,25689.3,76.0,.3,480466470,37180.08,21.85,3.42,1.33
Nifty 200,20-08-2025,13926.65,13994.3,13905.7,13975.2,45.2,.32,2544178427,57541.8,23.05,3.55,1.26
Nifty 500,20-08-2025,23067.7,23171.15,23025.85,23143.15,76.55,.33,2925327540,74477.32,24.21,3.64,1.17
Nifty Midcap 50,20-08-2025,16299.4,16419.85,16253.9,16392.35,93.0,.57,735681123,8648.59,36.84,4.83,.83
NIFTY Midcap 100,20-08-2025,57684.45,58009.5,57529.25,57930.5,265.85,.46,2063711957,20361.72,31.57,4.34,.9
NIFTY Smallcap 100,20-08-2025,17951.15,17983.75,17865.1,17968.4,54.1,.3,159166925,9263.93,32.14,3.96,.79
Nifty50 Dividend Points,20-08-2025,-,-,-,203.75,0.0,-,-,-,-,-,-
Nifty Auto,20-08-2025,25516.4,25518.9,25412.55,25469.25,12.55,.05,55977514,4702.61,26.14,4.66,1.09
Nifty Bank,20-08-2025,55751.5,55812.6,55577.35,55698.5,-166.65,-.3,69080256,3929.98,15.17,2.07,1.07
Nifty Energy,20-08-2025,34766.6,34939.75,34766.2,34847.85,79.75,.23,235323630,5350.54,15.22,2.36,2.23
Nifty Financial Services,20-08-2025,26535,26567.3,26419,26487.8,-104.5,-.39,59255157,5765.68,17.33,2.76,1.01
Nifty FMCG,20-08-2025,55854.4,56786.65,55675.75,56664.05,777.4,1.39,50914718,4149.6,42.48,10.77,2.01
Nifty IT,20-08-2025,34647.2,35773.65,34647.2,35690.05,933.35,2.69,41794670,6325.16,25.77,6.87,3.03
Nifty Media,20-08-2025,1662.95,1663.7,1634.75,1638.45,-33.05,-1.98,22932801,1518.84,165.83,1.94,.86
Nifty Metal,20-08-2025,9433.7,9538.95,9407.85,9497.75,40.25,.43,109474168,3018.31,18.25,2.52,2.03
Nifty MNC,20-08-2025,29502.45,29716.15,29411.95,29685.3,227.55,.77,54744724,5137.29,34.96,8.21,1.76
Nifty Pharma,20-08-2025,22069.55,22093.7,21899.65,21969.5,-97.25,-.44,15474386,2321.67,31.87,4.82,.72
Nifty PSU Bank,20-08-2025,7113.1,7146.9,7097.25,7103.55,-19.3,-.27,61287786,1043.81,7.32,1.15,2.65
Nifty Realty,20-08-2025,905.45,916.9,902.4,913.85,9.55,1.06,8288506,958,43.82,4.41,.25
Nifty India Consumption,20-08-2025,12206.3,12313.6,12189.5,12295.2,105.5,.87,125673160,12673.45,41.99,8.33,1.07
Nifty Commodities,20-08-2025,8839.5,8890.3,8827.4,8869.1,21.0,.24,162720321,6764.31,17.01,2.17,1.83
Nifty Dividend Opportunities 50,20-08-2025,5893.15,5963.95,5891.7,5954.8,56.75,.96,296775320,14020.37,14.36,2.84,3.19
Nifty Infrastructure,20-08-2025,9148.25,9182.5,9132.75,9159.75,26.75,.29,131597850,8600.59,22.01,3.02,1
Nifty PSE,20-08-2025,9606.1,9615,9560.6,9567.4,4.5,.05,145433757,4788.44,11.65,2.04,2.93
Nifty Services Sector,20-08-2025,32600.25,32818.95,32584.4,32778.65,162.15,.5,182200687,16039.55,21,3.45,1.33
Nifty50 Shariah,20-08-2025,4643.8,4721.7,4640.6,4716.15,68.8,1.48,62045415,9281.95,24,5.04,2.37
Nifty500 Shariah,20-08-2025,7064,7141.25,7059.15,7134.75,69.8,.99,413615794,26514.08,28.7,5.08,1.52
Nifty Low Volatility 50,20-08-2025,25072.65,25293.8,25051.95,25265.05,183.65,.73,133086471,20086.24,33.87,5.43,1.2
Nifty Alpha 50,20-08-2025,51235.7,51475.45,51110.35,51353.65,206.05,.4,233450742,15135.17,44.19,7.12,.35
Nifty High Beta 50,20-08-2025,3639.1,3650.6,3628.55,3634.95,-2.4,-.07,822127416,10473.37,15.76,2.23,1.62
Nifty100 Equal Weight,20-08-2025,32897.1,33046.15,32852.4,33003.65,104.55,.32,480466470,37180.08,23.02,3.59,1.31
Nifty100 Liquid 15,20-08-2025,7068.35,7074.5,7048.5,7053.3,-9.2,-.13,140536652,8864.74,20.17,2.91,1.05
Nifty CPSE,20-08-2025,6367.15,6372.15,6334.85,6348.35,4.2,.07,79807979,2056.72,13.35,2.2,3
Nifty50 Value 20,20-08-2025,12572.55,12694.65,12562.3,12672.65,91.85,.73,112548025,10812.8,16.74,2.99,2.39
Nifty Midcap Liquid 15,20-08-2025,15271.15,15404.55,15221.9,15373.55,112.3,.74,86593797,3373.69,37.36,5.53,.6
Nifty Shariah 25,20-08-2025,8242.3,8363.4,8237.75,8352.4,94.2,1.14,56373513,8556.55,26.67,5.16,2.16
