Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,21-09-2026,23330.2,23466.8,23314.8,23414.3,67.9,.29,213639227,17770.46,19.79,2.83,1.21
Nifty Next 50,21-09-2026,72077.65,72299.8,72043.8,72083.95,58.55,.08,123287896,7135.52,19.06,3.21,1.01
Nifty 100,21-09-2026,24488.3,24614.85,24478.6,24560.35,61.6,.25,336927123,24905.97,19.65,2.89,1.17
Nifty 200,21-09-2026,13623.7,13684.9,13618.75,13655.8,19.3,.14,1021076239,44424.64,21.12,3.09,1.05
Nifty 500,21-09-2026,22823.4,22905.05,22815.8,22860.05,19.5,.09,2167215311,65708.5,22.15,3.17,.98
Nifty Midcap 50,21-09-2026,17835.35,17920.55,17825.45,17879.65,-3.25,-.02,231061594,10110.48,35.16,4.24,.53
NIFTY Midcap 100,21-09-2026,62009,62163.7,61902.4,62013.1,-178.15,-.29,684149116,19518.67,29.89,4.21,.55
NIFTY Smallcap 100,21-09-2026,19896.15,19955.45,19824.1,19861.5,-14.2,-.07,325310078,10121.19,31.46,3.45,.55
Nifty50 Dividend Points,21-09-2026,-,-,-,196.79,0.0,-,-,-,-,-,-
Nifty Auto,21-09-2026,27201.95,27343.85,27127.2,27151.1,22.1,.08,31360579,2376.39,31.55,4.14,1.07
Nifty Bank,21-09-2026,56361.9,56668.2,56269.55,56470.65,111.95,.2,157658999,5463.66,13.36,1.69,.69
Nifty Energy,21-09-2026,37728.8,37910.4,37720.45,37818.55,45.0,.12,754094360,6209.94,14.67,2.03,1.85
Nifty Financial Services,21-09-2026,25531.2,25619.4,25454.65,25524.7,14.7,.06,100264934,9090.19,15.65,2.36,.98
Nifty FMCG,21-09-2026,45506.15,46067.15,45496.3,45900.9,434.1,.95,47442143,2560.16,31.84,7.63,1.03
Nifty IT,21-09-2026,28633.4,28905.6,28475.35,28830.9,-23.65,-.08,24737993,3112.83,18.39,5.06,2.78
