Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,22-11-2024,23411.8,23956.1,23359,23907.25,557.35,2.39,367562789,39257.52,22.01,3.58,1.28
Nifty Next 50,22-11-2024,66931.7,68269.5,66858.75,68016.85,1251.4,1.87,378429619,17669.41,21.72,3.65,1.45
Nifty 100,22-11-2024,24185.35,24704.55,24127.65,24655.35,520.25,2.16,745992408,56926.93,22.4,3.6,1.26
Nifty 200,22-11-2024,13155.5,13414.2,13126.15,13390.8,261.1,1.99,1853068205,73209.76,24.19,3.78,1.18
Nifty 500,22-11-2024,21864.65,22260.15,21819.2,22225.55,404.7,1.85,2304966991,89091.23,25.24,3.87,1.14
Nifty Midcap 50,22-11-2024,15180.2,15380.05,15157.6,15353.7,186.15,1.23,922708691,8371.3,46.48,5.49,.74
NIFTY Midcap 100,22-11-2024,54460.75,55067.8,54354.1,55016.85,631.5,1.16,1107075797,16282.84,40.31,5.03,.78
NIFTY Smallcap 100,22-11-2024,17652.65,17797.75,17564.25,17755.55,158.95,.9,217569877,8446.38,32.81,4,1.01
Nifty50 Dividend Points,22-11-2024,-,-,-,233.03,0.0,-,-,-,-,-,-
Nifty Auto,22-11-2024,23208.8,23686.35,23089.05,23554.1,408.2,1.76,40492651,4772.76,22.91,4.83,.96
Nifty Bank,22-11-2024,50512.8,51271.5,50508.25,51135.4,762.5,1.51,183377690,9726.6,13.92,2.29,.97
Nifty Energy,22-11-2024,35826.65,36608.4,35648.95,36523.5,734.2,2.05,171043458,9579.12,14.76,2.06,2.45
Nifty Financial Services,22-11-2024,23324.7,23673.5,23319.3,23623.75,350.3,1.51,111714158,12117.57,16.37,2.85,.91
Nifty FMCG,22-11-2024,55700.25,57088.4,55542.95,56956.45,1262.75,2.27,36192877,2815.61,45.35,11.08,1.86
Nifty IT,22-11-2024,42229.2,43436.15,41983.55,43332.1,1379.3,3.29,24590955,5146.95,34.3,8.92,1.88
Nifty Media,22-11-2024,1893.4,1902.85,1880.05,1892.6,-6.15,-.32,29490861,340.46,-,2.21,.52
Nifty Metal,22-11-2024,8712.1,8872.15,8658.35,8846.2,128.8,1.48,140152154,7588.9,21.06,2.53,2.37
Nifty MNC,22-11-2024,27652.35,28107.6,27611.8,28043.45,437.45,1.58,43803332,4032.52,37.46,8.94,1.95
Nifty Pharma,22-11-2024,21769.35,22024.3,21721.55,21962.05,221.95,1.02,13496693,1581.09,34.69,5.33,.61
Nifty PSU Bank,22-11-2024,6350.95,6540.4,6344.75,6508.15,189.25,2.99,139075814,2995.13,7.36,1.26,2.28
Nifty Realty,22-11-2024,972.1,1008.95,963.95,1006.25,30.95,3.17,14669065,1986.05,51.16,5.72,.38
Nifty India Consumption,22-11-2024,11082.5,11326.1,11046.45,11304.05,227.35,2.05,142607833,14769.46,46.05,8.86,.96
Nifty Commodities,22-11-2024,8196.2,8342.5,8165.9,8311.1,118.55,1.45,277561013,14104.96,18.54,2.21,2.19
Nifty Dividend Opportunities 50,22-11-2024,6244.85,6412.85,6231,6397.45,174.5,2.8,430255692,18859.75,17.71,3.41,2.68
Nifty Infrastructure,22-11-2024,8332.3,8554.25,8303.65,8537.95,231.65,2.79,202966412,14821.56,24.37,2.99,1.21
Nifty PSE,22-11-2024,9632.55,9847.8,9608.05,9823.95,231.95,2.42,209274766,6517.9,12.72,2.17,3.23
Nifty Services Sector,22-11-2024,31035.4,31662.45,30975.85,31595.75,627.9,2.03,264433587,25537.11,21.63,3.67,1.18
Nifty50 Shariah,22-11-2024,-,-,-,5091.91,128.97,2.6,45596557,6738.24,27.67,5.98,1.96
Nifty500 Shariah,22-11-2024,-,-,-,7389.33,129.12,1.78,414012010,22403.23,33.08,5.84,1.33
Nifty Low Volatility 50,22-11-2024,-,-,-,23792.89,447.45,1.92,177730772,24717.69,34.64,5.53,1.01
Nifty Alpha 50,22-11-2024,53218,53713.35,53010.5,53614.7,473.35,.89,364615982,13512.35,36.12,5.95,.75
Nifty High Beta 50,22-11-2024,-,-,-,3515.23,65.42,1.9,1199867874,24615.3,18.43,2.09,1.49
Nifty100 Equal Weight,22-11-2024,30708.6,31328.65,30630.15,31252.45,543.6,1.77,745992408,56926.93,22.57,3.6,1.29
Nifty100 Liquid 15,22-11-2024,6095.15,6271.15,6075.1,6263.5,169.35,2.78,205908803,19154.16,17.97,2.9,1.18
Nifty CPSE,22-11-2024,6261.2,6402.35,6247.95,6383.15,144.95,2.32,132558072,3304.32,13.25,2.38,3.23
Nifty50 Value 20,22-11-2024,13359.45,13729.55,13325.6,13693.6,393.2,2.96,193215681,12618.8,19.55,3.61,2.1
Nifty Midcap Liquid 15,22-11-2024,13717.8,13909.3,13687.25,13883.9,204.25,1.49,54760237,3363.93,35.33,4.37,.55
Nifty Shariah 25,22-11-2024,-,-,-,8537.07,195.43,2.34,49468539,7460.18,28.6,5.76,1.81
India VIX,22-11-2024,15.99,18.67,12.7525,16.1,0.11,.67,-,-,-,-,-
Nifty Growth Sectors 15,22-11-2024,11622.7,11977,11587.95,11946.3,358.75,3.1,73222688,9381.64,29,7.36,1.75
Nifty50 TR 1x Inverse,22-11-2024,176.25,176.65,172.15,172.5,-4.2,-2.38,-,-,-,-,-
Nifty50 TR 2x Leverage,22-11-2024,18654.85,19518.8,18575.45,19442.45,882.55,4.76,-,-,-,-,-
Nifty50 PR 1x Inverse,22-11-2024,212.75,213.2,207.75,208.2,-5.05,-2.37,-,-,-,-,-
Nifty50 PR 2x Leverage,22-11-2024,12779.2,13371.05,12724.8,13318.75,604.6,4.76,-,-,-,-,-
NIFTY100 Quality 30,22-11-2024,5540.2,5654.05,5530.15,5641.6,116.6,2.11,90970102,12528.43,32.09,8.46,1.75
Nifty Top 20 Equal Weight,22-11-2024,-,-,-,8871.56,229.79,2.66,157129068,22461.55,22.87,4.33,1.18
NIFTY100 ESG,22-11-2024,4633.6,4731.3,4623.05,4721.9,98.7,2.13,652069276,53110.17,23.6,4.15,1.24
NIFTY100 Enhanced ESG,22-11-2024,-,-,-,4757.7,99.58,2.14,651711425,53032.84,23.59,4.15,1.24
NIFTY50 Equal Weight,22-11-2024,29126.25,29812.4,29042.55,29751.2,665.8,2.29,367562789,39257.52,22.75,3.7,1.39
Nifty500 Equal Weight,22-11-2024,-,-,-,13755.45,169.44,1.25,2304966991,89091.23,31.09,4.1,.95
Nifty 50 Futures Index,22-11-2024,-,-,-,6559.27,147.69,2.3,-,-,-,-,-
Nifty 50 Arbitrage,22-11-2024,-,-,-,2406.24,1.41,.06,-,-,-,-,-
Nifty 50 Futures TR Index,22-11-2024,-,-,-,25678.33,582.96,2.32,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,22-11-2024,-,-,-,34383.03,860.76,2.57,8244695,1876.2,31.81,4.75,1.3
Nifty India Corporate Group Index - Aditya Birla Group,22-11-2024,-,-,-,7735.41,162.36,2.14,637424144,1475.93,207.23,3.52,.54
Nifty India Corporate Group Index - Tata Group,22-11-2024,-,-,-,18749.62,585.61,3.22,89009402,5927.87,33.3,8.2,1.21
Nifty India Corporate Group Index - Tata Group 25% Cap,22-11-2024,16127,16593.85,16086.4,16573.35,464.85,2.89,83297209,5637.33,31.57,6.4,1.01
Nifty Private Bank,22-11-2024,24855.3,25159.9,24844.15,25083.0,258.3,1.04,92749015,7161.88,15.02,2.32,.6
Nifty Smallcap 250,22-11-2024,16791.3,16928.15,16710.55,16912.3,164.45,.98,426674843,13859.9,32.52,4.05,.9
Nifty Smallcap 50,22-11-2024,8540.05,8617.55,8504.9,8589.7,76.2,.9,131819249,4987.13,29.63,3.65,.84
Nifty MidSmallcap 400,22-11-2024,19024.2,19210.05,18969.25,19196.45,206.7,1.09,1558974583,32164.3,37.49,4.78,.81
Nifty Midcap 150,22-11-2024,20208.6,20427,20171.2,20412.65,231.75,1.15,1132299740,18304.4,41,5.32,.76
Nifty IPO,22-11-2024,-,-,-,2082.38,3.31,.16,111194397,3374.19,51.36,11.12,.13
Nifty Midcap Select,22-11-2024,12196.4,12329,12174.2,12306.85,142.2,1.17,685891747,5139.24,49.13,6.55,.84
NIFTY LargeMidcap 250,22-11-2024,15262.65,15505.45,15234.05,15487.3,250.9,1.65,1878292148,75231.33,29.01,4.3,1.01
NIFTY SME EMERGE,22-11-2024,-,-,-,15947.56,138.41,.88,-,-,120.88,11.03,.06
Nifty Oil & Gas,22-11-2024,10490.15,10703.15,10460.85,10677.05,230.6,2.21,93759954,4694.65,12.72,1.62,2.99
Nifty Financial Services 25/50,22-11-2024,25071.5,25482.7,25060.45,25426.45,406.3,1.62,111714158,12117.57,16.43,2.97,.95
Nifty Healthcare Index,22-11-2024,13772.35,14020.8,13745.6,13996.05,180.0,1.3,15474680,2026.6,39.7,5.89,.53
Nifty500 Multicap 50:25:25,22-11-2024,15301.45,15535.7,15268.7,15516.6,246.2,1.61,2304966991,89091.23,27.64,4.03,1.05
Nifty Microcap 250,22-11-2024,23574.3,23741.75,23454.25,23716.3,199.2,.85,161409012,4134.29,28.54,3.46,.52
Nifty Total Market,22-11-2024,12327.45,12545.05,12302.5,12526.1,223.5,1.82,2466376003,93225.52,25.35,3.85,1.11
Nifty India Digital,22-11-2024,9124.9,9312.95,9095.9,9302.3,229.1,2.53,721694168,11480.95,325.24,17.71,1.04
Nifty Mobility,22-11-2024,-,-,-,19764.7,265.72,1.36,175110605,12883.54,26.7,4.97,.98
Nifty India Defence,22-11-2024,6006.95,6086.6,5988.1,6062.0,69.65,1.16,17984570,1558.39,46.79,11.93,.55
