Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,10-08-2026,24581.25,24620.95,24511.1,24583.8,13.15,.05,269507262,24738.66,20.88,3.01,1.26
Nifty Next 50,10-08-2026,74777.15,74837.75,74532.05,74766.85,69.3,.09,226834755,10657.71,19.85,3.49,1.1
Nifty 100,10-08-2026,25726.8,25761,25653.3,25728.3,15.6,.06,496342017,35396.37,20.68,3.09,1.23
Nifty 200,10-08-2026,14244.75,14272.35,14203.75,14255.6,24.5,.17,1324092884,61575.86,22.18,3.3,1.1
Nifty 500,10-08-2026,23732.75,23777.4,23667.4,23743.2,31.1,.13,2032959114,85842.48,23.22,3.37,1.03
Nifty Midcap 50,10-08-2026,18208.95,18336.75,18155.75,18298.9,126.3,.7,274739856,16543.73,36.3,4.56,.57
NIFTY Midcap 100,10-08-2026,63628.5,63986.7,63397.05,63855.7,392.15,.62,827750867,26179.49,31.18,4.54,.57
NIFTY Smallcap 100,10-08-2026,19840.7,19931.1,19793.25,19813.95,-53.85,-.27,404789071,14465.28,32.02,3.59,.57
Nifty50 Dividend Points,10-08-2026,-,-,-,187.67,0.0,-,-,-,-,-,-
Nifty Auto,10-08-2026,29696.15,29865.5,29576.1,29620.05,-27.85,-.09,66354374,5423.48,32.47,4.59,1.05
Nifty Bank,10-08-2026,57812.3,58015.85,57527.75,57686.95,-59.5,-.1,172005195,7495.11,13.71,1.75,.79
Nifty Energy,10-08-2026,38844.8,38847.85,38579.35,38748.15,-1.7,0,300772793,9482.67,15.23,2.25,1.88
Nifty Financial Services,10-08-2026,26489.15,26555.4,26349.6,26545.3,79.3,.3,148860251,13014.89,16.37,2.48,1.06
Nifty FMCG,10-08-2026,49421.75,49558.3,49188.3,49363.6,-71.6,-.14,28679933,2066.45,34.33,8.24,.95
Nifty IT,10-08-2026,31611.55,31955,31546.4,31631.45,83.75,.27,25519554,3696.16,20.18,5.56,2.54
Nifty Media,10-08-2026,1565.95,1567.65,1548.1,1559.45,4.5,.29,23541207,373.75,39.2,1.64,1.03
Nifty Metal,10-08-2026,13220.45,13296.45,13158.3,13226.7,36.85,.28,144902138,4908.12,16.82,2.77,1.64
Nifty MNC,10-08-2026,33841.05,33949.55,33745.05,33875.3,168.2,.5,60198464,6497.59,36.79,7.55,1.49
Nifty Pharma,10-08-2026,26588.25,26770.85,26401.3,26479.55,-62.25,-.23,29352405,3984.66,41.29,5.07,.53
Nifty PSU Bank,10-08-2026,8818.1,8856.8,8621.45,8639.8,-146.4,-1.67,95966722,2983.14,7.84,1.19,.74
Nifty Realty,10-08-2026,887.35,903.2,881.05,897.95,12.0,1.35,9639834,823.4,38.36,3.98,.53
Nifty India Consumption,10-08-2026,12196.5,12251.15,12173.55,12229.45,32.1,.26,82130169,10757.07,39.99,7.36,.78
Nifty Commodities,10-08-2026,9996.75,10022.7,9957.25,10011.4,19.75,.2,183112472,7906.72,15.89,2.12,1.63
Nifty Dividend Opportunities 50,10-08-2026,6073.15,6076.85,6018.95,6032.5,-30.25,-.5,387676484,14916.03,13.79,2.58,2.24
Nifty Infrastructure,10-08-2026,9498.45,9501.15,9447.8,9465.85,-38.3,-.4,205099064,9405.86,23.44,2.82,1.07
Nifty PSE,10-08-2026,9921,9922.65,9824.4,9850.75,-71.6,-.72,158210679,4835.05,11.28,1.93,2.72
Nifty Services Sector,10-08-2026,31299.7,31363.7,31177.05,31310.15,44.95,.14,186364904,17263.26,19.39,2.94,1.37
Nifty50 Shariah,10-08-2026,4439.5,4453.95,4427.45,4435.5,0.4,.01,51133214,5718.73,24.66,4.09,1.7
Nifty500 Shariah,10-08-2026,7176.95,7193.35,7157.75,7169.85,7.8,.11,512777797,29027.4,29.4,4.63,1.11
Nifty Low Volatility 50,10-08-2026,25214.6,25269.8,25155.1,25232.0,25.45,.1,169198022,21338.18,26.96,4.44,1.25
Nifty Alpha 50,10-08-2026,56213.35,56503.45,56034.8,56242.35,225.4,.4,675902155,23368.41,24.17,5.03,.71
Nifty High Beta 50,10-08-2026,4505.5,4536.65,4491.75,4517.45,7.35,.16,700200991,20104.83,21.81,3.47,.82
Nifty100 Equal Weight,10-08-2026,35632.15,35679.2,35525.4,35629.7,24.85,.07,496342017,35396.37,21.47,3.39,1.19
Nifty100 Liquid 15,10-08-2026,7724.8,7733.3,7677.55,7710.8,-13.35,-.17,109987026,8457.31,25.42,3.11,1
Nifty CPSE,10-08-2026,6489.55,6490.8,6454.25,6473.1,-11.55,-.18,70583329,2165.59,12.6,2.06,2.88
Nifty50 Value 20,10-08-2026,12148,12163.85,12083.2,12103.75,-26.85,-.22,187454554,13235.36,15.04,2.06,1.74
Nifty Midcap Liquid 15,10-08-2026,17053.6,17327.4,17034.55,17272.7,256.85,1.51,170773699,9952,38.67,5.1,.51
Nifty Shariah 25,10-08-2026,8234,8254.75,8205.2,8224.45,-1.35,-.02,77005882,7009.1,27.61,4.85,1.67
India VIX,10-08-2026,12.155,12.915,10.815,12.25,0.09,.74,-,-,-,-,-
Nifty Growth Sectors 15,10-08-2026,11831.95,11906.6,11822,11856.9,32.65,.28,28200491,7701.25,28.95,6.79,1.43
Nifty50 TR 1x Inverse,10-08-2026,175.2,175.7,174.95,175.2,-0.05,-.03,-,-,-,-,-
Nifty50 TR 2x Leverage,10-08-2026,18926.7,18987.2,18818.95,18930.55,13.05,.07,-,-,-,-,-
Nifty50 PR 1x Inverse,10-08-2026,215.9,216.55,215.55,215.9,0.0,0,-,-,-,-,-
Nifty50 PR 2x Leverage,10-08-2026,12423.4,12463.15,12352.7,12425.95,8.15,.07,-,-,-,-,-
NIFTY100 Quality 30,10-08-2026,5790.35,5805.45,5781.8,5796.75,9.05,.16,66359942,8003.73,27.88,7.1,1.64
Nifty Retail,10-08-2026,-,-,-,3133.21,15.17,.49,205783240,5357.02,229.79,8.14,.1
Nifty500 Healthcare,10-08-2026,21772.65,21896.15,21638.1,21691.35,-42.65,-.2,47202950,6290.64,46.1,5.82,.42
Nifty MidSmallcap400 50:50,10-08-2026,21037.35,21119.2,20979.75,21054.8,42.15,.2,1536617097,50446.11,32.13,4.03,.6
