Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,13-05-2025,24864.05,24973.8,24547.5,24578.35,-346.35,-1.39,422977876,34576.66,22.08,3.64,1.13
Nifty Next 50,13-05-2025,65128.3,65472.15,64903.2,65065.8,-12.75,-.02,364589962,15469.2,21.55,4.07,1.42
Nifty 100,13-05-2025,25333.25,25438.2,25059.5,25087.1,-294.3,-1.16,787567838,50045.86,21.99,3.7,1.18
Nifty 200,13-05-2025,13715.25,13766.55,13588.75,13604.9,-128.9,-.94,1961657428,77563.51,23.27,3.85,1.12
Nifty 500,13-05-2025,22491.5,22575.7,22317.5,22349.4,-162.0,-.72,2588028924,100344.03,24.23,3.89,1.06
Nifty Midcap 50,13-05-2025,15746,15822.2,15677.4,15729.2,6.05,.04,839172935,14888.57,39.13,5.39,.76
NIFTY Midcap 100,13-05-2025,55495.9,55796.5,55265.2,55520.7,104.65,.19,1174089590,27517.65,32.93,4.79,.84
NIFTY Smallcap 100,13-05-2025,16791.15,16913.55,16732.05,16903.4,136.1,.81,353512737,13748.64,30.42,4.13,.75
Nifty50 Dividend Points,13-05-2025,-,-,-,4.91,0.0,-,-,-,-,-,-
Nifty Auto,13-05-2025,23293.05,23500.15,23046.95,23167.25,-233.2,-1,39961879,4604.09,22.42,4.9,.88
Nifty Bank,13-05-2025,55233.5,55499.65,54888.5,54940.85,-442.0,-.8,190035885,9256.83,13.82,2.34,.67
Nifty Energy,13-05-2025,34750.85,34894.55,34501.95,34549.25,-185.05,-.53,344382527,8471.52,15.96,2.54,2.27
Nifty Financial Services,13-05-2025,26409.1,26543.3,26177.15,26206.0,-291.6,-1.1,103606652,11284.06,17.35,3.03,.51
Nifty FMCG,13-05-2025,57061.3,57363.6,56208.8,56334.15,-767.25,-1.34,33895182,2887.13,44.65,10.78,1.98
Nifty IT,13-05-2025,38326.4,38326.4,37304.95,37354.6,-927.95,-2.42,36649336,5828.32,27.91,7.73,2.79
Nifty Media,13-05-2025,1590.35,1618.7,1577.15,1616.5,26.4,1.66,34423199,564.04,-,1.31,.97
Nifty Metal,13-05-2025,8907.9,8928.1,8814.8,8834.65,-79.6,-.89,125054962,3242.71,19.48,2.56,2.35
Nifty MNC,13-05-2025,27556.3,27664.9,27418.95,27484.15,-66.0,-.24,24982592,3865.16,33.48,8.85,1.86
Nifty Pharma,13-05-2025,21226.3,21589.1,21225.8,21359.75,257.05,1.22,30294693,4086.37,31.8,5.24,.65
Nifty PSU Bank,13-05-2025,6464.3,6605.6,6461.3,6572.5,101.1,1.56,201128018,3191.35,6.66,1.27,2.26
Nifty Realty,13-05-2025,872.6,877.4,860.65,866.3,-6.3,-.72,10436214,1095.57,42.66,5.01,.43
Nifty India Consumption,13-05-2025,11513.6,11576.2,11374.15,11396.55,-140.25,-1.22,112104791,10864.4,43.32,8.9,1.01
Nifty Commodities,13-05-2025,8639.25,8656.8,8533.55,8549.25,-94.9,-1.1,210051170,8893.73,18.28,2.27,2.11
