Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,02-06-2025,24669.7,24754.4,24526.15,24716.6,-34.1,-.14,311100908,25091.04,22.29,3.62,1.16
Nifty Next 50,02-06-2025,66782.65,67097.4,66637.95,67039.8,278.5,.42,279291749,10755.6,21.96,4.19,1.29
Nifty 100,02-06-2025,25277.05,25368.05,25158.8,25333.65,-10.6,-.04,590392657,35846.63,22.23,3.71,1.18
Nifty 200,02-06-2025,13766.8,13826.15,13710.5,13808.05,9.65,.07,2382932154,59129.55,23.54,3.87,1.12
Nifty 500,02-06-2025,22758.6,22863.35,22664.15,22834.5,32.55,.14,3889942785,89672.83,24.62,3.95,1.06
Nifty Midcap 50,02-06-2025,15980.2,16128.95,15922.65,16114.35,115.45,.72,1212748029,12676.91,39.18,5.52,.77
NIFTY Midcap 100,02-06-2025,57390.05,57840.4,57197,57775.55,355.55,.62,1792539497,23282.92,33.05,4.95,.81
NIFTY Smallcap 100,02-06-2025,17890.7,18121.1,17790.45,18095.55,212.25,1.19,879084340,18718.13,31.86,4.38,.72
Nifty50 Dividend Points,02-06-2025,-,-,-,55.81,0.0,-,-,-,-,-,-
Nifty Auto,02-06-2025,23274.1,23373.4,23147.2,23327.05,1.45,.01,41114945,4093.76,24.33,4.94,.93
Nifty Bank,02-06-2025,55598.25,55966.3,55400.55,55903.4,153.7,.28,211302101,8722.91,14.67,2.34,.68
Nifty Energy,02-06-2025,35931.3,36040.3,35818.55,35933.8,54.75,.15,880618012,11341.53,16.76,2.64,2.18
Nifty Financial Services,02-06-2025,26386.1,26491,26226.5,26448.4,-50.85,-.19,89712263,9283.96,17.47,2.99,.54
Nifty FMCG,02-06-2025,55350.15,55827.6,55348.15,55732.55,449.55,.81,32739373,2918.6,44.05,10.67,2.56
Nifty IT,02-06-2025,37147.85,37172.6,36770.15,37061.85,-259.9,-.7,18967225,3247.62,27.7,7.62,2.56
Nifty Media,02-06-2025,1710.2,1729.9,1697.35,1716.75,5.45,.32,26727175,397.4,511.38,1.39,.92
Nifty Metal,02-06-2025,9130.75,9161.2,9047.95,9128.55,-64.7,-.7,112116516,3166.61,19.36,2.64,1.95
Nifty MNC,02-06-2025,28090.8,28269.9,28061.9,28232.15,116.35,.41,27124928,3661.41,34.07,9.12,1.67
Nifty Pharma,02-06-2025,21445.5,21465.55,21261,21394.1,-47.95,-.22,12384770,1867.98,30.59,5.25,.65
Nifty PSU Bank,02-06-2025,7010.45,7151.7,6985.3,7125.95,149.95,2.15,515917986,6573.19,7.22,1.31,2.17
Nifty Realty,02-06-2025,951.5,972.8,943,971.25,21.9,2.31,18317176,1949.92,47.7,5.62,.37
Nifty India Consumption,02-06-2025,11373.15,11459.85,11368,11445.45,62.3,.55,115420613,10416.63,40.86,8.92,1.17
Nifty Commodities,02-06-2025,8562.6,8574.5,8507.6,8565.6,-18.25,-.21,163858348,7061.68,18.06,2.28,2.01
Nifty Dividend Opportunities 50,02-06-2025,5987.95,6012.25,5962.85,6003.2,7.2,.12,403056222,14802.3,14.86,3,3.25
Nifty Infrastructure,02-06-2025,8954.8,8995.2,8903.25,8981.15,10.8,.12,134241510,9774.22,23.5,3.24,1.03
Nifty PSE,02-06-2025,9870.9,9926.8,9841.8,9904.9,36.95,.37,161925994,4693.9,12.7,2.21,3.12
Nifty Services Sector,02-06-2025,32511.7,32639.6,32336.3,32594.8,-35.15,-.11,211585527,16390.75,20.96,3.76,.99
Nifty50 Shariah,02-06-2025,4708.2,4715.45,4683.6,4709.5,-3.0,-.06,28824091,4859.68,26.22,5.62,2.17
Nifty500 Shariah,02-06-2025,7034.7,7050,7016.9,7042.1,4.05,.06,519308887,23996.62,31.32,5.48,1.39
Nifty Low Volatility 50,02-06-2025,24659.4,24696.5,24565.9,24667.1,-27.05,-.11,107736401,16689.05,33.94,6.01,1.12
Nifty Alpha 50,02-06-2025,51188.5,51624.95,50954.2,51511.9,332.65,.65,884565528,24922.68,41.06,8.18,.55
Nifty High Beta 50,02-06-2025,3718.6,3763.35,3705.4,3752.35,34.55,.93,1001604270,14348.59,16.8,2.35,1.38
Nifty100 Equal Weight,02-06-2025,32101.9,32220.95,32021.7,32185.1,58.75,.18,590392657,35846.63,23.63,3.89,1.24
Nifty100 Liquid 15,02-06-2025,6851.4,6885.45,6817.05,6865.7,-13.05,-.19,161912598,9544.2,19.88,3.13,1.07
Nifty CPSE,02-06-2025,6456.65,6482.2,6435.85,6469.2,18.6,.29,110692620,2966.78,13.7,2.34,3.21
Nifty50 Value 20,02-06-2025,12743.85,12770.9,12658.65,12748.75,-21.7,-.17,141447699,10720.13,17.09,3.25,2.43
Nifty Midcap Liquid 15,02-06-2025,14961.8,15083.85,14902.5,15064.45,96.45,.64,601492404,6944.85,39.45,6.58,.54
Nifty Shariah 25,02-06-2025,8123.55,8142.45,8101.4,8133.2,4.0,.05,41221571,6508.24,26.74,5.43,2.08
India VIX,02-06-2025,16.0775,17.7275,16.0775,17.16,1.08,6.72,-,-,-,-,-
Nifty Growth Sectors 15,02-06-2025,11204.55,11227.2,11170.4,11209.2,9.2,.08,25981331,5529.31,34.31,7,1.47
Nifty50 TR 1x Inverse,02-06-2025,170,171,169.45,169.7,0.3,.18,-,-,-,-,-
Nifty50 TR 2x Leverage,02-06-2025,19997.2,20134.85,19763.6,20073.55,-64.7,-.32,-,-,-,-,-
Nifty50 PR 1x Inverse,02-06-2025,206.15,207.35,205.45,205.8,0.4,.19,-,-,-,-,-
