Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,08-07-2025,25427.85,25548.05,25424.15,25522.5,61.2,.24,210410530,21947.32,22.97,3.66,1.28
Nifty Next 50,08-07-2025,68820.95,68987.25,68368.35,68719.05,-6.75,-.01,171128675,9597.08,22.02,3.95,1.34
Nifty 100,08-07-2025,26052.3,26149.5,26028.35,26126.05,51.5,.2,381539205,31544.4,22.81,3.71,1.29
Nifty 200,08-07-2025,14204.85,14245.05,14174.55,14233.25,19.2,.14,1254256130,50356.85,24.12,3.88,1.21
Nifty 500,08-07-2025,23540.6,23600.35,23469.95,23572.55,21.35,.09,2930217619,72719.4,25.29,3.98,1.12
Nifty Midcap 50,08-07-2025,16820.15,16847.8,16644,16776.1,-35.05,-.21,660009640,11899.17,40.31,5.66,.77
NIFTY Midcap 100,08-07-2025,59536.75,59669.35,58975.75,59415.45,-100.3,-.17,872716925,18812.46,33.48,4.99,.82
NIFTY Smallcap 100,08-07-2025,18958.15,19053.75,18751.45,18895.2,-54.95,-.29,282105266,10341.12,33.36,4.49,.69
Nifty50 Dividend Points,08-07-2025,-,-,-,131.28,0.0,-,-,-,-,-,-
Nifty Auto,08-07-2025,23958.7,23994.5,23681.3,23852.9,-91.0,-.38,27008890,2834.08,24.89,4.71,1.09
Nifty Bank,08-07-2025,56942.55,57303.3,56923.05,57256.3,307.1,.54,105496181,6733.82,15.18,2.32,.95
Nifty Energy,08-07-2025,36553.85,36755.25,36415.65,36605.85,73.45,.2,937318113,8533.78,16.28,2.58,2.26
Nifty Financial Services,08-07-2025,26802.6,27041.9,26795.5,27016.85,183.4,.68,79805626,8951.4,17.89,3.01,.88
Nifty FMCG,08-07-2025,55624.35,55753,55283,55504.0,-148.85,-.27,25320355,2503.65,41.9,10.65,2.03
Nifty IT,08-07-2025,38837,39238.2,38732.55,38983.25,116.3,.3,18496692,3090.07,28.79,7.57,2.79
Nifty Media,08-07-2025,1747.8,1748.1,1717.25,1741.55,-2.0,-.11,25563089,378.19,601.18,2.06,.81
Nifty Metal,08-07-2025,9524.25,9560.2,9483.8,9517.4,-4.75,-.05,54418175,1506.65,19.34,2.66,2.13
