Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,27-09-2024,26248.25,26277.35,26151.4,26178.95,-37.1,-.14,490332370,55420.63,24.34,3.87,1.16
Nifty Next 50,27-09-2024,77201.8,77918,77053.95,77813.25,726.3,.94,826144084,41324.34,27.65,4.77,1.23
Nifty 100,27-09-2024,27283.25,27335.65,27228.25,27253.85,-2.4,-.01,1316476454,96744.97,25.35,4.03,1.14
Nifty 200,27-09-2024,14806.15,14833.75,14770.2,14784.8,-4.55,-.03,3109711743,122033.69,27.26,4.15,1.07
Nifty 500,27-09-2024,24529.55,24573.4,24469,24489.55,-7.35,-.03,4199366008,151284.67,28.03,4.23,1.03
Nifty Midcap 50,27-09-2024,16975.45,17066.75,16956.45,16987.9,40.6,.24,1505383045,13506.86,48.88,5.45,.7
NIFTY Midcap 100,27-09-2024,60584.05,60696.35,60275.3,60381.15,-88.0,-.15,1793235289,25288.72,45.07,4.97,.67
NIFTY Smallcap 100,27-09-2024,19314.25,19401.85,19210.9,19242.0,-19.3,-.1,652442715,14225.45,29.96,4.07,.8
Nifty50 Dividend Points,27-09-2024,-,-,-,194.25,0.0,-,-,-,-,-,-
Nifty Auto,27-09-2024,27477.7,27696.1,27382.65,27610.75,114.5,.42,79775658,8715.42,27.14,5.65,.79
Nifty Bank,27-09-2024,54338.7,54338.7,53763.2,53834.3,-541.05,-1,217415265,12546.22,15.62,2.49,.87
Nifty Energy,27-09-2024,44148.65,44665.85,43936.7,44545.0,399.95,.91,277295199,13091.93,16.45,2.52,2.19
Nifty Financial Services,27-09-2024,25127.05,25127.05,24873.2,24907.95,-247.5,-.98,128626962,15337.54,17.74,2.98,.87
Nifty FMCG,27-09-2024,65967,66427.7,65530.65,65845.45,-311.45,-.47,74215121,7777.59,51.74,12.68,1.62
Nifty IT,27-09-2024,42738.55,43377.95,42270.55,42312.6,151.7,.36,46471370,10673.03,34.58,8.7,1.84
Nifty Media,27-09-2024,2147.65,2152.15,2108.1,2114.8,-33.2,-1.55,59450738,568.12,-,2.35,.38
Nifty Metal,27-09-2024,10058.85,10167.4,10043.65,10064.6,78.9,.79,240754548,7713.19,33.32,2.9,2.06
Nifty MNC,27-09-2024,32603.45,32801.25,32483.9,32735.55,145.2,.45,52109413,8473.66,49.3,10.3,1.65
Nifty Pharma,27-09-2024,23268.55,23557.45,23257.35,23519.1,268.2,1.15,43713739,8220.58,39.05,5.7,.58
Nifty PSU Bank,27-09-2024,6820.3,6873.1,6795.65,6853.75,49.1,.72,268260611,4267.13,8.37,1.33,2.15
Nifty Realty,27-09-2024,1123.65,1128.5,1101.65,1117.8,-13.5,-1.19,14010343,1890.08,60.78,6.42,.34
Nifty India Consumption,27-09-2024,13008.05,13057.6,12954.75,12998.3,-40.35,-.31,197356355,28525.15,56.9,9.96,.88
Nifty Commodities,27-09-2024,9756.3,9853.55,9743.25,9827.55,99.75,1.03,430738045,20668.39,21.03,2.6,1.91
Nifty Dividend Opportunities 50,27-09-2024,6976.5,7012.65,6973.65,6982.7,34.25,.49,1045888811,37664.54,19.93,3.75,2.41
Nifty Infrastructure,27-09-2024,9648.8,9704.2,9589.45,9689.1,25.8,.27,348723230,20987.4,25.69,3.4,1.15
Nifty PSE,27-09-2024,11152.55,11331.4,11131.3,11304.35,167.65,1.51,680402669,21164.95,13.21,2.52,2.89
Nifty Services Sector,27-09-2024,33769,33791.15,33443.25,33477.95,-237.85,-.71,419691972,35708.86,23.67,3.88,1.09
Nifty50 Shariah,27-09-2024,-,-,-,5677.88,29.39,.52,85159725,13073.37,30.09,6.7,1.71
Nifty500 Shariah,27-09-2024,-,-,-,8238.86,28.23,.34,820048515,58767.18,38.27,6.8,1.07
Nifty Low Volatility 50,27-09-2024,-,-,-,26605.13,51.85,.2,332200723,42362.04,35.08,5.58,.98
Nifty Alpha 50,27-09-2024,60515.5,60718.45,60355.75,60558.25,152.45,.25,841659843,33302.12,31.47,5.06,.71
Nifty High Beta 50,27-09-2024,-,-,-,4163.6,27.61,.67,2012208320,23107.08,21.1,2.14,1.45
Nifty100 Equal Weight,27-09-2024,35623.65,35794,35564.7,35730.7,145.7,.41,1316476454,96744.97,27.49,4.47,1.12
Nifty100 Liquid 15,27-09-2024,7183.2,7205.25,7156.3,7197.15,10.3,.14,160255145,15941.55,22.27,3.43,.82
Nifty CPSE,27-09-2024,7247.55,7310.45,7207.35,7289.85,34.55,.48,466351182,13454.77,14.92,2.75,2.71
Nifty50 Value 20,27-09-2024,14663.5,14731.65,14573.2,14589.3,-2.35,-.02,320554646,20912.35,21.64,3.87,1.94
Nifty Midcap Liquid 15,27-09-2024,14535.25,14615.05,14509.95,14529.75,9.65,.07,94058524,4570.13,41.41,4.45,.61
Nifty Shariah 25,27-09-2024,-,-,-,9449.53,46.27,.49,343129878,19735.27,31.12,6.49,1.62
India VIX,27-09-2024,12.0025,12.08,10.5025,11.96,-0.04,-.33,-,-,-,-,-
Nifty Growth Sectors 15,27-09-2024,12976.85,13065.05,12952.4,12970.45,68.7,.53,76877610,12433.03,35.95,8.9,1.7
Nifty50 TR 1x Inverse,27-09-2024,156.3,156.85,156.1,156.7,0.25,.16,-,-,-,-,-
Nifty50 TR 2x Leverage,27-09-2024,23663.3,23715.35,23490.75,23538.45,-71.1,-.3,-,-,-,-,-
Nifty50 PR 1x Inverse,27-09-2024,188.35,189.05,188.15,188.85,0.3,.16,-,-,-,-,-
Nifty50 PR 2x Leverage,27-09-2024,16261.8,16297.55,16143.2,16176.0,-48.85,-.3,-,-,-,-,-
NIFTY100 Quality 30,27-09-2024,6309.1,6342.2,6293.25,6319.6,29.8,.47,362426957,34871.78,36.18,9.49,1.55
Nifty500 Multicap Momentum Quality 50,27-09-2024,-,-,-,49292.44,243.44,.5,347783245,17246.65,23.9,5.82,1.38
NIFTY100 ESG,27-09-2024,5251.25,5264.8,5237.5,5243.45,4.4,.08,993524062,83688.93,26.48,4.61,1.11
NIFTY50 Equal Weight,27-09-2024,33641.35,33780.95,33588,33676.9,95.85,.29,490332370,55420.63,26.02,4.27,1.24
Nifty500 Equal Weight,27-09-2024,-,-,-,15274.33,-14.38,-.09,4199366008,151284.67,33.7,4.39,.87
Nifty 50 Futures Index,27-09-2024,-,-,-,7279.25,10.03,.14,-,-,-,-,-
Nifty 50 Arbitrage,27-09-2024,-,-,-,2373.15,-4.18,-.18,-,-,-,-,-
Nifty 50 Futures TR Index,27-09-2024,-,-,-,28187.74,44.31,.16,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,27-09-2024,-,-,-,35505.52,-49.45,-.14,15723825,2945.38,35.71,4.83,1.2
Nifty India Corporate Group Index - Aditya Birla Group,27-09-2024,-,-,-,8627.04,48.6,.57,1164619367,3980.19,726.29,3.9,.49
Nifty India Corporate Group Index - Tata Group,27-09-2024,-,-,-,20451.42,86.86,.43,152432558,16656.31,39.7,8.97,1.11
Nifty India Corporate Group Index - Tata Group 25% Cap,27-09-2024,18705.55,18764.95,18613.8,18662.8,74.5,.4,137502640,15698.39,41.91,7.16,.88
Nifty Private Bank,27-09-2024,27234.75,27253.7,26926,26960.25,-281.45,-1.03,148677702,10358.19,16.32,2.42,.7
Nifty Smallcap 250,27-09-2024,18488.5,18538.95,18370.5,18399.85,-35.1,-.19,1052400918,25984.94,31.76,4.25,.84
Nifty Smallcap 50,27-09-2024,9272.95,9325.3,9212.2,9230.65,-20.4,-.22,197050032,7439.03,27.51,3.84,.83
Nifty MidSmallcap 400,27-09-2024,21042.7,21075.95,20962.55,20976.85,-18.35,-.09,2882889554,54539.7,39.29,4.91,.74
Nifty Midcap 150,27-09-2024,22410.55,22434.55,22323.85,22360.85,-7.0,-.03,1830488636,28554.77,45.13,5.36,.69
