date,sector,close
2025-01-01,NIFTY EV & NEW AGE AUTOMOTIVE,2992.4
2025-01-01,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,17697.35
2025-01-01,NIFTY INDIA TOURISM,9224.8
2025-01-01,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,50536.7
2025-01-01,NIFTY100 LOW VOLATILITY 30,19250.95
2025-01-01,NIFTY ALPHA LOW-VOLATILITY 30,27346.1
2025-01-01,NIFTY QUALITY LOW-VOLATILITY 30,16933.45
2025-01-01,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,22759.3
2025-01-01,NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,20388.25
2025-01-01,NIFTY200 QUALITY 30,20832.55
2025-01-01,NIFTY MIDCAP150 QUALITY 50,24490.65
2025-01-01,NIFTY200 MOMENTUM 30,32911.4
2025-01-01,NIFTY INDIA MANUFACTURING,13897.85
2025-01-01,NIFTY100 ESG SECTOR LEADERS,3958.25
2025-01-01,NIFTY200 ALPHA 30,26511.25
2025-01-01,NIFTY MIDCAP150 MOMENTUM 50,64644.85
2025-01-01,NIFTY SMALLCAP250 QUALITY 50,29433.4
2025-01-01,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,51722.35
2025-01-01,NIFTY500 MOMENTUM 50,57480.15
2025-01-01,NIFTY200 VALUE 30,12429.35
2025-01-01,NIFTY TOP 10 EQUAL WEIGHT,9348.1
2025-01-01,NIFTY 8-13 YR G-SEC,2763.49
2025-01-01,NIFTY 4-8 YR G-SEC INDEX,2983.99
2025-01-01,NIFTY 11-15 YR G-SEC INDEX,3055.14
2025-01-01,NIFTY 15 YR AND ABOVE G-SEC INDEX,3370.18
2025-01-01,NIFTY COMPOSITE G-SEC INDEX,2858.26
2025-01-01,NIFTY 10 YR BENCHMARK G-SEC,2443.04
2025-01-01,NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE),888.75
2025-01-01,NIFTY 1D RATE INDEX,2373.55
2025-01-01,NIFTY50 USD,9609.33
2026-01-01,NIFTY NEXT 50,69675.4
2026-01-01,NIFTY 100,26723.25
2026-01-01,NIFTY 200,14560.25
2026-01-01,NIFTY MIDCAP 50,17342.7
2026-01-01,NIFTY MIDCAP 100,60750.45
2026-01-01,NIFTY SMALLCAP 100,17704.9
2026-01-01,NIFTY50 DIVIDEND POINTS,249.14
2026-01-01,NIFTY AUTO,28480.55
2026-01-01,NIFTY BANK,59711.55
2026-01-01,NIFTY ENERGY,35507.65
