date,close
2021-01-01,19.56
2021-01-04,20.03
2021-01-05,20.46
2021-01-06,21.0
2021-01-07,20.62
2021-01-08,20.64
2021-01-11,22.38
2021-01-12,22.85
2021-01-13,23.29
2021-01-14,23.03
2021-01-15,24.01
2021-01-18,24.4
2021-01-19,22.9
2021-01-20,21.55
2021-01-21,22.18
2021-01-22,22.42
2021-01-25,23.25
2021-01-27,24.39
2021-01-28,24.29
2021-01-29,25.34
2021-02-01,23.32
2021-02-02,23.35
2021-02-03,23.75
2021-02-04,23.12
2021-02-05,23.42
2021-02-08,23.96
2021-02-09,24.27
2021-02-10,23.95
2021-02-11,23.05
2021-02-12,23.05
2021-02-15,21.48
2021-02-16,21.78
2021-02-17,21.51
2021-02-18,21.54
2021-02-19,22.25
2021-02-22,25.47
2021-02-23,25.23
2021-02-24,24.17
2021-02-25,22.89
2021-02-26,28.14
2021-03-01,25.63
2021-03-02,23.61
2021-03-03,22.09
2021-03-04,24.15
2021-03-05,25.56
2021-03-08,24.68
2021-03-09,22.5
2021-03-10,20.75
2021-03-12,21.71
2021-03-15,21.23
2021-03-16,20.19
2021-03-17,20.16
2021-03-18,20.08
2021-03-19,19.99
2021-03-22,20.49
2021-03-23,20.67
2021-03-24,22.46
2021-03-25,22.7
2021-03-26,20.65
2021-03-30,20.65
2021-03-31,20.65
2021-04-01,19.99
2021-04-05,21.22
2021-04-06,20.84
2021-04-07,20.25
2021-04-08,20.31
2021-04-09,19.79
2021-04-12,23.0
2021-04-13,20.46
2021-04-15,20.89
2021-04-16,20.4
2021-04-19,22.49
2021-04-20,22.43
2021-04-22,23.03
2021-04-23,22.69
2021-04-26,23.5
2021-04-27,23.08
2021-04-28,22.58
2021-04-29,23.31
2021-04-30,23.03
2021-05-03,23.69
2021-05-04,23.01
2021-05-05,21.96
2021-05-06,22.04
2021-05-07,20.82
2021-05-10,20.23
2021-05-11,19.83
2021-05-12,20.08
2021-05-14,20.27
2021-05-17,19.61
2021-05-18,19.24
2021-05-19,19.32
2021-05-20,19.65
2021-05-21,19.08
2021-05-24,19.13
2021-05-25,18.84
2021-05-26,20.87
2021-05-27,19.91
2021-05-28,17.4
2021-05-31,16.89
2021-06-01,17.39
2021-06-02,17.21
2021-06-03,15.75
2021-06-04,15.94
2021-06-07,15.57
2021-06-08,15.23
2021-06-09,14.75
2021-06-10,15.0
2021-06-11,14.1
2021-06-14,14.72
2021-06-15,14.61
2021-06-16,14.87
2021-06-17,15.29
2021-06-18,14.8
2021-06-21,15.06
2021-06-22,14.74
2021-06-23,15.37
2021-06-24,15.1
2021-06-25,13.37
2021-06-28,13.4
2021-06-29,13.0
2021-06-30,13.05
2021-07-01,12.84
2021-07-02,12.09
2021-07-05,12.07
2021-07-06,12.28
2021-07-07,12.21
2021-07-08,13.56
2021-07-09,12.94
2021-07-12,12.99
2021-07-13,12.62
2021-07-14,12.59
2021-07-15,12.27
2021-07-16,11.71
2021-07-19,12.68
2021-07-20,13.21
2021-07-22,11.89
2021-07-23,11.76
2021-07-26,12.45
2021-07-27,13.23
2021-07-28,13.69
2021-07-29,12.95
2021-07-30,12.8
2021-08-02,12.81
2021-08-03,13.75
2021-08-04,13.21
2021-08-05,12.87
2021-08-06,12.61
2021-08-09,12.61
2021-08-10,12.71
2021-08-11,12.71
2021-08-12,12.37
2021-08-13,12.99
2021-08-16,13.46
2021-08-17,13.41
2021-08-18,12.91
2021-08-20,14.02
2021-08-23,13.69
2021-08-24,13.19
2021-08-25,13.5
2021-08-26,13.54
2021-08-27,13.41
2021-08-30,13.32
2021-08-31,14.52
2021-09-01,14.19
2021-09-02,14.24
2021-09-03,14.54
2021-09-06,15.11
2021-09-07,14.9
2021-09-08,14.41
2021-09-09,13.94
2021-09-13,14.03
2021-09-14,13.58
2021-09-15,13.73
2021-09-16,14.41
2021-09-17,15.23
2021-09-20,17.49
2021-09-21,16.52
2021-09-22,16.49
2021-09-23,16.6
2021-09-24,16.92
2021-09-27,18.05
2021-09-28,18.54
2021-09-29,18.84
2021-09-30,18.4
2021-10-01,17.21
