symbol,last_session,days_stale
AXISBPSETF,2026-04-28,133
OMKARCHEM,2026-04-28,133
SASTASUNDR,2026-04-29,132
GSPL,2026-05-11,120
CIGNITITEC,2026-05-14,117
EFCIL-RE,2026-05-18,113
VISASTEEL,2026-05-19,112
AVAILFC,2026-06-03,97
AVG-RE,2026-06-04,96
SANCO,2026-06-04,96
ESSEN-RE3,2026-06-05,95
WIMPLAST,2026-06-08,92
MIRCELECTR,2026-06-18,82
SHAH-RE1,2026-06-19,81
RELTD-RE,2026-06-19,81
GUJGASLTD,2026-06-30,70
AXISGOLD,2026-07-02,68
AXISHCETF,2026-07-02,68
AXISILVER,2026-07-02,68
AXISNIFTY,2026-07-02,68
AXISBNKETF,2026-07-02,68
AXISTECETF,2026-07-02,68
AXISVALUE,2026-07-02,68
AXSENSEX,2026-07-02,68
AXISCETF,2026-07-02,68
AURIGROW,2026-07-07,63
LYPSAGEMS,2026-07-13,57
SUMEET-RE,2026-07-15,55
GANGAFO-RE,2026-07-15,55
JBCHEPHARM,2026-07-16,54
AMIRCHAND,2026-07-17,53
ASHIKA,2026-07-24,46
WINSOME,2026-07-30,40
SABEVENTS,2026-08-04,35
SRPL,2026-08-10,29
SHANTI-RE,2026-08-18,21
GENESYS-RE,2026-08-18,21
RAJVIR,2026-08-24,15
KALYANI,2026-08-28,11
