date,close
2025-07-28,24680.9
2025-07-29,24821.1
2025-07-30,24855.05
2025-07-31,24768.35
2025-08-01,24565.35
2025-08-04,24722.75
2025-08-05,24649.55
2025-08-06,24574.2
2025-08-07,24596.15
2025-08-08,24363.3
2025-08-11,24585.05
2025-08-12,24487.4
2025-08-13,24619.35
2025-08-14,24631.3
2025-08-18,24876.95
2025-08-19,24980.65
2025-08-20,25050.55
2025-08-21,25083.75
2025-08-22,24870.1
2025-08-25,24967.75
2025-08-26,24712.05
2025-08-28,24500.9
2025-08-29,24426.85
2025-09-01,24625.05
2025-09-02,24579.6
2025-09-03,24715.05
2025-09-04,24734.3
2025-09-05,24741.0
2025-09-08,24773.15
2025-09-09,24868.6
2025-09-10,24973.1
2025-09-11,25005.5
2025-09-12,25114.0
2025-09-15,25069.2
2025-09-16,25239.1
2025-09-17,25330.25
2025-09-18,25423.6
2025-09-19,25327.05
2025-09-22,25202.35
2025-09-23,25169.5
2025-09-24,25056.9
2025-09-25,24890.85
2025-09-26,24654.7
2025-09-29,24634.9
2025-09-30,24611.1
2025-10-01,24836.3
2025-10-03,24894.25
2025-10-06,25077.65
2025-10-07,25108.3
2025-10-08,25046.15
2025-10-09,25181.8
2025-10-10,25285.35
2025-10-13,25227.35
2025-10-14,25145.5
2025-10-15,25323.55
2025-10-16,25585.3
2025-10-17,25709.85
2025-10-20,25843.15
2025-10-21,25868.6
2025-10-23,25891.4
2025-10-24,25795.15
2025-10-27,25966.05
2025-10-28,25936.2
2025-10-29,26053.9
2025-10-30,25877.85
2025-10-31,25722.1
2025-11-03,25763.35
2025-11-04,25597.65
2025-11-06,25509.7
2025-11-07,25492.3
2025-11-10,25574.35
2025-11-11,25694.95
2025-11-12,25875.8
2025-11-13,25879.15
2025-11-14,25910.05
2025-11-17,26013.45
2025-11-18,25910.05
2025-11-19,26052.65
2025-11-20,26192.15
2025-11-21,26068.15
2025-11-24,25959.5
2025-11-25,25884.8
2025-11-26,26205.3
2025-11-27,26215.55
2025-11-28,26202.95
2025-12-01,26175.75
2025-12-02,26032.2
2025-12-03,25986.0
2025-12-04,26033.75
2025-12-05,26186.45
2025-12-08,25960.55
2025-12-09,25839.65
2025-12-10,25758.0
2025-12-11,25898.55
2025-12-12,26046.95
2025-12-15,26027.3
2025-12-16,25860.1
2025-12-17,25818.55
2025-12-18,25815.55
2025-12-19,25966.4
2025-12-22,26172.4
2025-12-23,26177.15
2025-12-24,26142.1
2025-12-26,26042.3
2025-12-29,25942.1
2025-12-30,25938.85
2025-12-31,26129.6
2026-01-01,26146.55
2026-01-02,26328.55
2026-01-05,26250.3
2026-01-06,26178.7
2026-01-07,26140.75
2026-01-08,25876.85
2026-01-09,25683.3
2026-01-12,25790.25
2026-01-13,25732.3
2026-01-14,25665.6
2026-01-16,25694.35
2026-01-19,25585.5
2026-01-20,25232.5
2026-01-21,25157.5
2026-01-22,25289.9
2026-01-23,25048.65
2026-01-27,25175.4
2026-01-28,25342.75
2026-01-29,25418.9
2026-01-30,25320.65
2026-02-02,25088.4
2026-02-03,25727.55
2026-02-04,25776.0
2026-02-05,25642.8
2026-02-06,25693.7
2026-02-09,25867.3
2026-02-10,25935.15
2026-02-11,25953.85
2026-02-12,25807.2
2026-02-13,25471.1
2026-02-16,25682.75
2026-02-17,25725.4
2026-02-18,25819.35
2026-02-19,25454.35
2026-02-20,25571.25
2026-02-23,25713.0
2026-02-24,25424.65
2026-02-25,25482.5
2026-02-26,25496.55
2026-02-27,25178.65
2026-03-02,24865.7
2026-03-04,24480.5
2026-03-05,24765.9
2026-03-06,24450.45
2026-03-09,24028.05
2026-03-10,24261.6
2026-03-11,23866.85
2026-03-12,23639.15
2026-03-13,23151.1
2026-03-16,23408.8
2026-03-17,23581.15
2026-03-18,23777.8
2026-03-19,23002.15
2026-03-20,23114.5
2026-03-23,22512.65
2026-03-24,22912.4
2026-03-25,23306.45
2026-03-27,22819.6
2026-03-30,22331.4
2026-04-01,22679.4
2026-04-02,22713.1
2026-04-06,22968.25
2026-04-07,23123.65
2026-04-08,23997.35
2026-04-09,23775.1
2026-04-10,24050.6
2026-04-13,23842.65
2026-04-15,24231.3
2026-04-16,24196.75
2026-04-17,24353.55
2026-04-20,24364.85
2026-04-21,24576.6
2026-04-22,24378.1
2026-04-23,24173.05
2026-04-24,23897.95
2026-04-27,24092.7
2026-04-28,23995.7
2026-04-29,24177.65
2026-04-30,23997.55
2026-05-04,24119.3
2026-05-05,24032.8
2026-05-06,24330.95
2026-05-07,24326.65
2026-05-08,24176.15
2026-05-11,23815.85
2026-05-12,23379.55
2026-05-13,23412.6
2026-05-14,23689.6
2026-05-15,23643.5
2026-05-18,23649.95
2026-05-19,23618.0
2026-05-20,23659.0
2026-05-21,23654.7
2026-05-22,23719.3
2026-05-25,24031.7
2026-05-26,23913.7
2026-05-27,23907.15
2026-05-29,23547.75
2026-06-01,23382.6
2026-06-02,23483.55
2026-06-03,23405.6
2026-06-04,23416.55
2026-06-05,23366.7
2026-06-08,23123.0
2026-06-09,23242.1
2026-06-10,23214.95
2026-06-11,23161.6
2026-06-12,23622.9
2026-06-15,23853.9
2026-06-16,23989.15
2026-06-17,24085.7
2026-06-18,24168.0
2026-06-19,24013.1
2026-06-22,24102.9
2026-06-23,23824.1
2026-06-24,24021.65
2026-06-25,24056.0
2026-06-29,23946.25
2026-06-30,23865.75
2026-07-01,24005.85
2026-07-02,24175.7
2026-07-03,24270.85
2026-07-06,24430.35
2026-07-07,24398.7
2026-07-08,23882.05
2026-07-09,23962.8
2026-07-10,24206.9
2026-07-13,24211.0
2026-07-14,24052.05
2026-07-15,24078.5
2026-07-16,24072.75
2026-07-17,24334.3
2026-07-20,24238.5
2026-07-21,24187.7
2026-07-22,23996.25
2026-07-23,23869.6
2026-07-24,23767.45
2026-07-27,23995.95
2026-07-28,23985.35
2026-07-29,24250.2
2026-07-30,24317.15
2026-07-31,24383.6
2026-08-03,24774.3
2026-08-04,24614.9
2026-08-05,24624.65
2026-08-06,24636.0
2026-08-07,24570.65
2026-08-10,24583.8
2026-08-11,24471.7
2026-08-12,24435.95
2026-08-13,24395.85
2026-08-14,24366.0
2026-08-17,24287.65
2026-08-18,24154.9
2026-08-19,24078.3
2026-08-20,24231.85
2026-08-21,24252.0
2026-08-24,24219.05
2026-08-25,24334.55
2026-08-26,24207.75
2026-08-27,24090.85
2026-08-28,24175.65
