symbol,sector,tier
360ONE,Financial Services ex-Bank,A
ABB,Capital Goods,A
ACC,Construction Materials,A
ACMESOLAR,Power,A
AIAENG,Capital Goods,A
APLAPOLLO,Capital Goods,A
AUBANK,Private Bank,A
AWL,Fast Moving Consumer Goods,A
AADHARHFC,Financial Services ex-Bank,A
AARTIIND,Chemicals,A
AAVAS,Financial Services ex-Bank,A
ABBOTINDIA,Healthcare,A
ACE,Capital Goods,A
ACUTAAS,Healthcare,A
ADANIENSOL,Power,A
ADANIENT,Metals & Mining,A
ADANIGREEN,Power,A
ADANIPORTS,Services,A
ADANIPOWER,Power,A
ATGL,Oil Gas & Consumable Fuels,A
ABCAPITAL,Financial Services ex-Bank,A
ABFRL,Consumer Services,A
ABLBL,Consumer Services,A
ABREL,Realty,A
ABSLAMC,Financial Services ex-Bank,A
CPPLUS,Capital Goods,A
AEGISLOG,Oil Gas & Consumable Fuels,A
AEGISVOPAK,Oil Gas & Consumable Fuels,A
AFCONS,Construction,A
AFFLE,Information Technology,A
AJANTPHARM,Healthcare,A
ALKEM,Healthcare,A
ABDL,Fast Moving Consumer Goods,A
ARE&M,Automobile and Auto Components,A
AMBER,Consumer Durables,A
AMBUJACEM,Construction Materials,A
ANANDRATHI,Financial Services ex-Bank,A
ANANTRAJ,Realty,A
ANGELONE,Financial Services ex-Bank,A
ANTHEM,Healthcare,A
ANURAS,Chemicals,A
APARINDS,Capital Goods,A
APOLLOHOSP,Healthcare,A
APOLLOTYRE,Automobile and Auto Components,A
APTUS,Financial Services ex-Bank,A
ASAHIINDIA,Automobile and Auto Components,A
ASHOKLEY,Capital Goods,A
ASIANPAINT,Consumer Durables,A
ASTERDM,Healthcare,A
ASTRAL,Capital Goods,A
ATHERENERG,Automobile and Auto Components,A
ATUL,Chemicals,A
AUROPHARMA,Healthcare,A
AIIL,Financial Services ex-Bank,A
DMART,Consumer Services,A
AXISBANK,Private Bank,A
BEML,Capital Goods,A
BLS,Consumer Services,A
BSE,Financial Services ex-Bank,A
BAJAJ-AUTO,Automobile and Auto Components,A
BAJFINANCE,Financial Services ex-Bank,A
BAJAJFINSV,Financial Services ex-Bank,A
BAJAJHLDNG,Financial Services ex-Bank,A
BAJAJHFL,Financial Services ex-Bank,A
BALKRISIND,Automobile and Auto Components,A
BALRAMCHIN,Fast Moving Consumer Goods,A
BANDHANBNK,Private Bank,A
BANKBARODA,PSU Bank,A
BANKINDIA,PSU Bank,A
MAHABANK,PSU Bank,A
BATAINDIA,Consumer Durables,A
BAYERCROP,Chemicals,A
BELRISE,Automobile and Auto Components,A
BERGEPAINT,Consumer Durables,A
BDL,Capital Goods,A
BEL,Capital Goods,A
BHARATFORG,Automobile and Auto Components,A
BHEL,Capital Goods,A
BPCL,Oil Gas & Consumable Fuels,A
BHARTIARTL,Telecommunication,A
BHARTIHEXA,Telecommunication,A
BIKAJI,Fast Moving Consumer Goods,A
GROWW,Financial Services ex-Bank,A
BIOCON,Healthcare,A
BSOFT,Information Technology,A
BLUEDART,Services,A
BLUEJET,Healthcare,A
BLUESTARCO,Consumer Durables,A
BBTC,Fast Moving Consumer Goods,A
BOSCHLTD,Automobile and Auto Components,A
FIRSTCRY,Consumer Services,A
BRIGADE,Realty,A
BRITANNIA,Fast Moving Consumer Goods,A
MAPMYINDIA,Information Technology,A
CCL,Fast Moving Consumer Goods,A
CESC,Power,A
CGPOWER,Capital Goods,A
CIEINDIA,Automobile and Auto Components,A
CRISIL,Financial Services ex-Bank,A
CANFINHOME,Financial Services ex-Bank,A
CANBK,PSU Bank,A
CANHLIFE,Financial Services ex-Bank,A
CAPLIPOINT,Healthcare,A
CGCL,Financial Services ex-Bank,A
CARBORUNIV,Capital Goods,A
CARTRADE,Consumer Services,A
CASTROLIND,Oil Gas & Consumable Fuels,A
CEATLTD,Automobile and Auto Components,A
CEMPRO,Construction,A
CENTRALBK,PSU Bank,A
CDSL,Financial Services ex-Bank,A
CHALET,Consumer Services,A
CHAMBLFERT,Chemicals,A
CHENNPETRO,Oil Gas & Consumable Fuels,A
CHOICEIN,Financial Services ex-Bank,A
CHOLAHLDNG,Financial Services ex-Bank,A
CHOLAFIN,Financial Services ex-Bank,A
CIPLA,Healthcare,A
CUB,Private Bank,A
CLEAN,Chemicals,A
COALINDIA,Oil Gas & Consumable Fuels,A
COCHINSHIP,Capital Goods,A
COFORGE,Information Technology,A
COHANCE,Healthcare,A
COLPAL,Fast Moving Consumer Goods,A
CAMS,Financial Services ex-Bank,A
CONCORDBIO,Healthcare,A
CONCOR,Services,A
COROMANDEL,Chemicals,A
CRAFTSMAN,Automobile and Auto Components,A
CREDITACC,Financial Services ex-Bank,A
CROMPTON,Consumer Durables,A
CUMMINSIND,Capital Goods,A
CYIENT,Information Technology,A
DLF,Realty,A
DOMS,Fast Moving Consumer Goods,A
DABUR,Fast Moving Consumer Goods,A
DALBHARAT,Construction Materials,A
DATAPATTNS,Capital Goods,A
DEEPAKFERT,Chemicals,A
DEEPAKNTR,Chemicals,A
DELHIVERY,Services,A
DEVYANI,Consumer Services,A
DIVISLAB,Healthcare,A
DIXON,Consumer Durables,A
LALPATHLAB,Healthcare,A
DRREDDY,Healthcare,A
EIDPARRY,Fast Moving Consumer Goods,A
EIHOTEL,Consumer Services,A
EICHERMOT,Automobile and Auto Components,A
ELECON,Capital Goods,A
ELGIEQUIP,Capital Goods,A
EMAMILTD,Fast Moving Consumer Goods,A
EMCURE,Healthcare,A
EMMVEE,Capital Goods,A
ENDURANCE,Automobile and Auto Components,A
ENGINERSIN,Construction,A
ERIS,Healthcare,A
ESCORTS,Capital Goods,A
ETERNAL,Consumer Services,A
EXIDEIND,Automobile and Auto Components,A
NYKAA,Consumer Services,A
FEDERALBNK,Private Bank,A
FACT,Chemicals,A
FINCABLES,Capital Goods,A
FSL,Services,A
FIVESTAR,Financial Services ex-Bank,A
FORCEMOT,Automobile and Auto Components,A
FORTIS,Healthcare,A
GAIL,Oil Gas & Consumable Fuels,A
GVT&D,Capital Goods,A
GMRAIRPORT,Services,A
GABRIEL,Automobile and Auto Components,A
GALLANTT,Capital Goods,A
GRSE,Capital Goods,A
GICRE,Financial Services ex-Bank,A
GILLETTE,Fast Moving Consumer Goods,A
GLAND,Healthcare,A
GLAXO,Healthcare,A
GLENMARK,Healthcare,A
MEDANTA,Healthcare,A
GODIGIT,Financial Services ex-Bank,A
GPIL,Capital Goods,A
GODFRYPHLP,Fast Moving Consumer Goods,A
GODREJCP,Fast Moving Consumer Goods,A
GODREJPROP,Realty,A
GRANULES,Healthcare,A
GRAPHITE,Capital Goods,A
GRASIM,Construction Materials,A
GRAVITA,Metals & Mining,A
GESHIP,Services,A
FLUOROCHEM,Chemicals,A
GMDCLTD,Metals & Mining,A
HEG,Capital Goods,A
HBLENGINE,Capital Goods,A
HCLTECH,Information Technology,A
HDBFS,Financial Services ex-Bank,A
HDFCAMC,Financial Services ex-Bank,A
HDFCBANK,Private Bank,A
HDFCLIFE,Financial Services ex-Bank,A
HFCL,Telecommunication,A
HAVELLS,Consumer Durables,A
HEROMOTOCO,Automobile and Auto Components,A
HEXT,Information Technology,A
HSCL,Chemicals,A
HINDALCO,Metals & Mining,A
HAL,Capital Goods,A
HINDCOPPER,Metals & Mining,A
HINDPETRO,Oil Gas & Consumable Fuels,A
HINDUNILVR,Fast Moving Consumer Goods,A
HINDZINC,Metals & Mining,A
POWERINDIA,Capital Goods,A
HOMEFIRST,Financial Services ex-Bank,A
HONASA,Fast Moving Consumer Goods,A
HONAUT,Capital Goods,A
HUDCO,Financial Services ex-Bank,A
HYUNDAI,Automobile and Auto Components,A
ICICIBANK,Private Bank,A
ICICIGI,Financial Services ex-Bank,A
ICICIAMC,Financial Services ex-Bank,A
ICICIPRULI,Financial Services ex-Bank,A
IDBI,Private Bank,A
IDFCFIRSTB,Private Bank,A
IFCI,Financial Services ex-Bank,A
IIFL,Financial Services ex-Bank,A
IRB,Construction,A
IRCON,Construction,A
ITCHOTELS,Consumer Services,A
ITC,Fast Moving Consumer Goods,A
ITI,Telecommunication,A
INDGN,Healthcare,A
INDIACEM,Construction Materials,A
INDIAMART,Consumer Services,A
INDIANB,PSU Bank,A
IEX,Financial Services ex-Bank,A
INDHOTEL,Consumer Services,A
IOC,Oil Gas & Consumable Fuels,A
IOB,PSU Bank,A
IRCTC,Consumer Services,A
IRFC,Financial Services ex-Bank,A
IREDA,Financial Services ex-Bank,A
IGL,Oil Gas & Consumable Fuels,A
INDUSTOWER,Telecommunication,A
INDUSINDBK,Private Bank,A
NAUKRI,Consumer Services,A
INFY,Information Technology,A
INOXWIND,Capital Goods,A
INTELLECT,Information Technology,A
INDIGO,Services,A
IGIL,Services,A
IKS,Information Technology,A
IPCALAB,Healthcare,A
JKCEMENT,Construction Materials,A
JBMA,Automobile and Auto Components,A
JKTYRE,Automobile and Auto Components,A
JMFINANCIL,Financial Services ex-Bank,A
JSWCEMENT,Construction Materials,A
JSWDULUX,Consumer Durables,A
