symbol,sector,tier
JSWENERGY,Energy,A
JPPOWER,Energy,A
MGL,Energy,A
NHPC,Energy,A
NLCINDIA,Energy,A
NTPCGREEN,Energy,A
NTPC,Energy,A
NAVA,Energy,A
ONGC,Energy,A
OIL,Energy,A
PETRONET,Energy,A
POWERGRID,Energy,A
RELIANCE,Energy,A
RPOWER,Energy,A
SJVN,Energy,A
ENRIN,Energy,A
SIEMENS,Energy,A
SUZLON,Energy,A
TATAPOWER,Energy,A
THERMAX,Energy,A
TORNTPOWER,Energy,A
ADANIGREEN,Infrastructure,A
ADANIPORTS,Infrastructure,A
AMBUJACEM,Infrastructure,A
APOLLOHOSP,Infrastructure,A
ASHOKLEY,Infrastructure,A
BHARATFORG,Infrastructure,A
BPCL,Infrastructure,A
BHARTIARTL,Infrastructure,A
CGPOWER,Infrastructure,A
CUMMINSIND,Infrastructure,A
DLF,Infrastructure,A
FORTIS,Infrastructure,A
GAIL,Infrastructure,A
GRASIM,Infrastructure,A
HINDPETRO,Infrastructure,A
INDHOTEL,Infrastructure,A
IOC,Infrastructure,A
INDUSTOWER,Infrastructure,A
INDIGO,Infrastructure,A
LT,Infrastructure,A
MAXHEALTH,Infrastructure,A
NTPC,Infrastructure,A
ONGC,Infrastructure,A
POWERGRID,Infrastructure,A
RELIANCE,Infrastructure,A
MOTHERSON,Infrastructure,A
SHREECEM,Infrastructure,A
SUZLON,Infrastructure,A
TATAPOWER,Infrastructure,A
ULTRACEMCO,Infrastructure,A
BEL,PSE,A
BHEL,PSE,A
BPCL,PSE,A
COALINDIA,PSE,A
CONCOR,PSE,A
GAIL,PSE,A
HAL,PSE,A
HINDPETRO,PSE,A
IOC,PSE,A
IRCTC,PSE,A
IRFC,PSE,A
NHPC,PSE,A
NMDC,PSE,A
NTPC,PSE,A
ONGC,PSE,A
OIL,PSE,A
PFC,PSE,A
POWERGRID,PSE,A
RECLTD,PSE,A
RVNL,PSE,A
BEL,CPSE,A
COALINDIA,CPSE,A
COCHINSHIP,CPSE,A
NBCC,CPSE,A
NHPC,CPSE,A
NLCINDIA,CPSE,A
NTPC,CPSE,A
ONGC,CPSE,A
OIL,CPSE,A
POWERGRID,CPSE,A
SJVN,CPSE,A
APLAPOLLO,Commodities,A
ADANIENSOL,Commodities,A
ADANIGREEN,Commodities,A
ADANIPOWER,Commodities,A
AMBUJACEM,Commodities,A
BPCL,Commodities,A
COALINDIA,Commodities,A
GRASIM,Commodities,A
HINDALCO,Commodities,A
HINDPETRO,Commodities,A
IOC,Commodities,A
JSWENERGY,Commodities,A
JSWSTEEL,Commodities,A
JINDALSTEL,Commodities,A
NHPC,Commodities,A
NMDC,Commodities,A
NTPC,Commodities,A
ONGC,Commodities,A
OIL,Commodities,A
PIIND,Commodities,A
PIDILITIND,Commodities,A
RELIANCE,Commodities,A
SRF,Commodities,A
SHREECEM,Commodities,A
TATAPOWER,Commodities,A
TATASTEEL,Commodities,A
TORNTPOWER,Commodities,A
UPL,Commodities,A
ULTRACEMCO,Commodities,A
VEDL,Commodities,A
ADANIPOWER,Consumption,A
APOLLOHOSP,Consumption,A
ASIANPAINT,Consumption,A
DMART,Consumption,A
BAJAJ-AUTO,Consumption,A
BHARTIARTL,Consumption,A
BRITANNIA,Consumption,A
DLF,Consumption,A
DIXON,Consumption,A
EICHERMOT,Consumption,A
ETERNAL,Consumption,A
GODREJCP,Consumption,A
HAVELLS,Consumption,A
HEROMOTOCO,Consumption,A
HINDUNILVR,Consumption,A
ITC,Consumption,A
INDHOTEL,Consumption,A
NAUKRI,Consumption,A
INDIGO,Consumption,A
M&M,Consumption,A
MARUTI,Consumption,A
MAXHEALTH,Consumption,A
NESTLEIND,Consumption,A
TVSMOTOR,Consumption,A
TATACONSUM,Consumption,A
TATAPOWER,Consumption,A
TITAN,Consumption,A
TRENT,Consumption,A
UNITDSPR,Consumption,A
VBL,Consumption,A
